trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,217.7198156000013,None,t,68.37304640000002,217.7198156000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
,,,,,,,,,,None,286.111003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
0,0,0,0,,,,,,,,,,0,1,3,b,27,1,2.294664843639333,3.1963008326951,None,286.31096780000007,None,289.56666340000083,None,289.56666340000083,None,289.57754029999944,None,None,289.56666340000083,None,['b'],[0.2970138999990013],291.49429020000025,None,b,2.2970138999990013,1,1,1.0,293.79202460000124,None,None,293.79202460000124,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,2.92731383428727,2.10421507306074,None,295.5939427000012,None,297.71438280000075,None,297.71438280000075,None,297.71069909999954,None,None,297.71438280000075,None,['b'],[0.9567337999978918],299.69412830000147,None,b,2.9567337999978918,0,0,0.5,302.60660870000174,None,None,302.60660870000174,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
2,0,2,0,,,,,,,,,,2,3,2,b,63,1,4.46924002178158,1.36309078069689,None,304.4111126000007,None,305.79894670000067,None,305.79894670000067,None,305.7945868000001,None,None,305.79894670000067,None,['b'],[0.13012530000014522],307.77733700000135,None,b,2.130125300000145,1,1,0.6666666666666666,312.2307055000001,None,None,312.2307055000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
3,0,3,0,,,,,,,,,,0,0,1,z,63,0,2.792365600763554,1.78643585472448,None,314.04417860000103,None,315.8490537000016,None,315.8490537000016,None,315.860551500001,None,['z'],315.8490537000016,None,None,,317.84436500000083,None,z,1.7721237999994628,1,0,0.75,320.65017680000165,None,None,320.65017680000165,None,[1.7721237999994628],,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
4,0,4,0,,,,,,,,,,3,0,3,b,9,1,3.76873691643126,1.27538462653558,None,322.46112340000036,None,323.7486875000013,None,323.7486875000013,None,323.7605529000004,None,None,323.7486875000013,None,['b'],[0.372057999999015],325.7273578000004,None,b,2.372057999999015,1,1,0.8,329.49291130000165,None,None,329.49291130000165,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
5,0,5,0,,,,,,,,,,2,3,2,b,63,1,3.3728785608729996,1.25920145784721,None,331.294349400001,None,332.5594507000005,None,332.5594507000005,None,332.5610895000004,None,None,332.5594507000005,None,['z'],[0.6938549999995303],334.5440230000004,None,z,2.6938549999995303,0,0,0.6666666666666666,337.9068490000009,None,None,337.9068490000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,3.71372710086949,0.952147612306987,None,339.7108242000013,None,340.6820002000004,None,340.6820002000004,None,340.69394240000037,None,None,340.6820002000004,None,['b'],[0.5673690000003262],342.6608268,None,b,2.567369000000326,0,0,0.5714285714285714,346.35874220000005,None,None,346.35874220000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,2.678526077912375,1.90743690794447,None,348.1607760000006,None,350.0844571000016,None,350.0844571000016,None,350.0939912000005,None,None,350.0844571000016,None,['b'],[0.020847099998718477],352.06073470000047,None,b,2.0208470999987185,1,1,0.625,354.72127940000064,None,None,354.72127940000064,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
8,0,8,0,,,,,,,,,,0,1,0,b,63,1,4.7533305109883095,1.34668860557497,None,356.5278949000003,None,357.89809200000127,None,357.89809200000127,None,357.91063049999974,None,None,357.89809200000127,None,['b'],[0.560082499998316],359.87751260000005,None,b,2.560082499998316,1,1,0.6666666666666666,364.61584680000124,None,None,364.61584680000124,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
9,0,9,0,,,,,,,,,,2,1,3,z,27,1,3.2062024266105302,1.21250262048173,None,366.4276875000014,None,367.66514970000026,None,367.66514970000026,None,367.67722149999935,None,None,367.66514970000026,None,['z'],[0.2782262000000628],369.6443491000009,None,z,2.278226200000063,1,1,0.7,372.83670170000005,None,None,372.83670170000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
10,0,10,0,,,,,,,,,,1,3,2,z,63,1,2.629554641171433,1.53243550275999,None,374.64409049999995,None,376.200024400001,None,376.200024400001,None,376.21093299999956,None,['z'],376.200024400001,None,None,,378.1940856000001,None,z,1.7886053999991418,1,1,0.7272727272727273,380.83393530000103,None,None,380.83393530000103,None,[1.7886053999991418],,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
11,0,11,0,,,,,,,,,,0,1,0,b,63,1,3.02234236141277,2.49839527409216,None,382.6442781000005,None,385.1656681000004,None,385.1656681000004,None,385.17740580000026,None,None,385.1656681000004,None,['b'],[0.32751249999819265],387.14351390000047,None,b,2.3275124999981927,1,1,0.75,390.1432100000002,None,None,390.1432100000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
12,0,12,0,,,,,,,,,,3,0,1,b,63,1,2.526044641065533,1.64421109900286,None,391.94496920000165,None,393.5934846,None,393.5934846,None,393.59424259999963,None,None,393.5934846,None,['b'],[1.2404931999990367],395.57746790000056,None,b,3.2404931999990367,1,1,0.7692307692307693,398.0932330000014,None,None,398.0932330000014,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
13,0,13,0,,,,,,,,,,1,1,2,z,9,1,4.190022164497369,1.53122835510861,None,399.9044644000005,None,401.450054500001,None,401.450054500001,None,401.46094250000095,None,None,401.450054500001,None,['z'],[0.15195540000058827],403.42782200000147,None,z,2.1519554000005883,1,1,0.7857142857142857,407.60686520000127,None,None,407.60686520000127,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
14,0,14,0,,,,,,,,,,3,1,0,z,63,1,2.342239579230602,1.38289892513751,None,409.4112576000007,None,410.81388700000025,None,410.81388700000025,None,410.8109256000002,None,['z'],410.81388700000025,None,None,,412.79454540000006,None,z,1.2813029999997525,1,1,0.8,415.14382190000106,None,None,415.14382190000106,None,[1.2813029999997525],,,,,,,,,,,,,,,,,,,,,CBC_1019,003,4,3,1,18,0.9,2023-06-28_17h50.15.634,MSI_AV_v3,2022.1.1,59.748435188568344,
