trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,46.76169000000118,None,t,70.18293390000144,46.76169000000118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
,,,,,,,,,,None,116.96380090000093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
0,0,0,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.742099981,3.274187802,None,117.16387540000142,None,120.5369496000003,None,120.5369496000003,None,120.54690766000168,None,None,120.5369496000003,None,['b'],[0.650129100000413],122.43045520000123,None,b,2.650129100000413,1,1,1.0,125.17734700000074,None,None,125.17734700000074,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
1,0,1,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,1.556335756,0.789129603,None,127.18054340000162,None,128.01776100000097,None,128.01776100000097,None,128.0136745000018,None,None,128.01776100000097,None,['b'],[0.7815465999992739],129.96392520000154,None,b,2.781546599999274,0,0,0.5,131.51211050000165,None,None,131.51211050000165,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
2,0,2,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,3.622505815,2.349749758,None,133.51401370000167,None,135.88419560000148,None,135.88419560000148,None,135.88051922000088,None,None,135.88419560000148,None,['z'],[1.3912564999991446],137.8648531000017,None,z,3.3912564999991446,0,0,0.3333333333333333,141.47024880000026,None,None,141.47024880000026,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.518459073,2.071213329,None,143.4809724000006,None,145.57857910000166,None,145.57857910000166,None,145.58051856000165,None,None,145.57857910000166,None,['z'],[0.4263801999986754],147.5473318000004,None,z,2.4263801999986754,0,0,0.25,150.045720600001,None,None,150.045720600001,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
4,0,4,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.242058058,2.962224669,None,152.04733640000086,None,155.0352868000009,None,155.0352868000009,None,155.04711606000055,None,None,155.0352868000009,None,['z'],[0.5599724999992759],157.01389950000157,None,z,2.559972499999276,1,1,0.4,159.25221870000132,None,None,159.25221870000132,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,1.899747326,2.210349838,None,161.26420870000038,None,163.48432520000097,None,163.48432520000097,None,163.4806481200005,None,None,163.48432520000097,None,['z'],[1.1377124000009644],165.46436330000142,None,z,3.1377124000009644,1,1,0.5,167.35081880000143,None,None,167.35081880000143,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
6,0,6,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,3.956662465,1.53162701,None,169.36402350000026,None,170.93027800000164,None,170.93027800000164,None,170.93061336000173,None,None,170.93027800000164,None,['b'],[1.1180022999997163],172.89710370000103,None,b,3.1180022999997163,1,1,0.5714285714285714,176.8471182000012,None,None,176.8471182000012,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
7,0,7,0,,,,,,,,,,2,1.0,2.0,z,9.0,1.0,1.90573091,3.321420384,None,178.8474102,None,182.18393500000093,None,182.18393500000093,None,182.1805963200015,None,None,182.18393500000093,None,['z'],[1.295755499999359],184.16401450000012,None,z,3.295755499999359,1,1,0.625,186.05048530000022,None,None,186.05048530000022,None,,,,,,,,,,,,,,,,,,,CBC_1005,003,6,3,6,6,0.95,2023-06-03_14h15.22.631,MSI_AV_v3,2022.1.1,60.027216339886664,
