trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,155.26289150000048,None,t,89.38540410000041,155.26289150000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
,,,,,,,,,,None,244.66654160000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
0,0,0,0,,,,,,,,,,2,0,1,z,63,1,2.666404967794728,0.979776149765883,None,244.8665058000006,None,245.9929843,None,245.9929843,None,245.9989322100003,None,['z'],[1.7637328000000707],245.9929843,None,None,247.8538023000001,None,z,1.7637328000000707,1,1,1.0,250.52493030000005,None,None,250.52493030000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,3.26539063535182,3.4543169006169,None,252.31631890000062,None,255.8267435000007,None,255.8267435000007,None,255.83273575999993,None,['b'],[1.6945826000001034],255.8267435000007,None,None,257.76705370000036,None,b,1.6945826000001034,0,0,0.5,261.0321958000004,None,None,261.0321958000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
2,0,2,0,,,,,,,,,,2,1,3,b,27,1,3.76873691643126,1.94858485820231,None,262.8333467000002,None,264.80741579999994,None,264.80741579999994,None,264.8168704400006,None,['z'],[1.6007564999999886],264.80741579999994,None,None,266.80335900000046,None,z,1.6007564999999886,0,0,0.3333333333333333,270.5707078000005,None,None,270.5707078000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
3,0,3,0,,,,,,,,,,3,3,2,z,63,1,2.2759877950103027,2.15533949826702,None,272.38286080000034,None,274.5817138000002,None,274.5817138000002,None,274.58373045000053,None,None,,274.5817138000002,None,['b'],276.5319618000003,None,b,2.8385935999995127,0,0,0.25,278.7931804,None,None,278.7931804,None,[0.8385935999995127],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
4,0,4,0,,,,,,,,,,3,2,0,b,27,1,3.02234236141277,1.18065738546375,None,280.59973790000004,None,281.79256609999993,None,281.79256609999993,None,281.7994467300004,None,None,,281.79256609999993,None,['b'],283.7821025000003,None,b,2.366277699999955,1,1,0.4,286.78866480000033,None,None,286.78866480000033,None,[0.3662776999999551],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
5,0,5,0,,,,,,,,,,0,3,0,z,9,1,3.7500315165247198,2.09887870490381,None,288.5998147999999,None,290.7480278000003,None,290.7480278000003,None,290.7499848500006,None,None,,290.7480278000003,None,['z'],292.6999297000002,None,z,2.044855699999971,1,1,0.5,296.432194,None,None,296.432194,None,[0.044855699999970966],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
6,0,6,0,,,,,,,,,,3,3,2,z,63,1,3.6438386551209,1.36309078069689,None,298.2330359000007,None,299.6042360000001,None,299.6042360000001,None,299.61601023,None,None,,299.6042360000001,None,None,301.5996846000007,None,[],[],0,3,0.42857142857142855,305.22261609999987,None,None,305.22261609999987,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,4.190022164497369,2.49839527409216,['z'],307.0324005000002,None,309.52347929999996,None,309.52347929999996,None,309.53260703000063,None,None,,309.52347929999996,None,['z'],311.51631460000044,None,z,2.2193807999992714,0,0,0.375,315.6874514000001,None,None,315.6874514000001,None,[0.2193807999992714],[1.122496900000442],,,,,,,,,,,,,,,,,,,,,,CBC_1122,001,4,2,5,3,0.95,2024-08-25_13h40.21.283,MSI_AV_v3,2022.1.1,59.86880350384423,
