trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.11514536789087,1.94858485820231,None,474.1205654000005,None,476.0545021300015,476.0545021300015,476.07020223000035,None,[],['b'],[2.2118011999973533],478.04965210000046,None,b,4.211801199997353,1,1,0.4411764705882353,None,482.15215910000006,None,482.15215910000006,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
34,0,34,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,4.82531807167306,1.25817747924478,None,483.9535061000006,None,485.18748653000074,485.18748653000074,485.20429153000003,None,[],['z'],[1.1232494999985647],487.19409240000095,None,z,3.1232494999985647,1,1,0.45714285714285713,None,492.0271636000016,None,492.0271636000016,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
35,0,35,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.6391747348430608,1.78643585472448,None,493.83774640000047,None,495.6044351299999,495.6044351299999,495.6209578300015,None,[],['z'],[0.5635763999998744],497.6264308000009,None,z,2.5635763999998744,1,1,0.4722222222222222,None,500.26820990000124,None,500.26820990000124,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
36,0,36,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.02234236141277,2.22427187882546,None,502.0700134000017,None,504.2705447300006,504.2705447300006,504.28659913000155,None,[],['z'],[0.6248632999995607],506.2848362000004,None,z,2.6248632999995607,0,0,0.4594594594594595,None,509.3076912000015,None,509.3076912000015,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
37,0,37,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.433630701072358,1.1243895841892,None,511.1213232000009,None,512.2200554300009,512.2200554300009,512.2365989300008,None,[],['b'],[0.36023779999959515],514.2146162000008,None,b,2.360237799999595,1,1,0.47368421052631576,None,516.6395631000014,None,516.6395631000014,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
38,0,38,0,,,,,,,,,,2,3.0,0.0,z,9.0,1.0,3.2062024266105302,2.49839527409216,None,518.4543213000015,None,520.9382343300015,520.9382343300015,520.9542971300009,None,[],['b'],[0.6185680999988108],522.9408294000004,None,b,2.618568099998811,0,0,0.46153846153846156,None,526.1436127000015,None,526.1436127000015,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
39,0,39,0,,,,,,,,,,3,3.0,2.0,z,63.0,0.0,3.26539063535182,1.53122835510861,None,527.9547146000004,None,529.4710709300009,529.4710709300009,529.4877493300003,None,[],['b'],[0.8007781999986037],531.4750002000001,None,b,2.8007781999986037,0,1,0.45,None,534.7468250000002,None,534.7468250000002,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
40,0,40,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.92731383428727,1.21250262048173,None,536.5545771000016,None,537.7541033300015,537.7541033300015,537.7703294300002,None,[],['z'],[1.026003099997979],539.7582060000004,None,z,3.026003099997979,1,1,0.4634146341463415,None,542.6810126,None,542.6810126,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
41,0,41,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.76873691643126,2.78346932462847,None,544.4877577000007,None,547.2539583300015,547.2539583300015,547.2705542300002,None,[],['b'],[1.1270934999993187],549.2550538000014,None,b,3.1270934999993187,1,1,0.47619047619047616,None,553.0279147000001,None,553.0279147000001,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
42,0,42,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.592312596923728,0.952147612306987,None,554.8380792000007,None,555.7704945300004,555.7704945300004,555.7868894300002,None,[],['z'],[0.9698095999974612],557.7645398000004,None,z,2.969809599997461,0,0,0.46511627906976744,None,560.3417589000001,None,560.3417589000001,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
43,0,43,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.342239579230602,1.12425433982333,None,562.1544843000011,None,563.2535716300001,563.2535716300001,563.26997633,None,[],None,,565.2469411000002,None,None,[],0,3,0.45454545454545453,None,567.5794246000005,None,567.5794246000005,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,569.3968723000016,None,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3712713000004,None,None,574.3712713000004,579.3545189000015,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 0, 3, 1]",0.5454545454545454,0.36363636363636365,0.36363636363636365,0.5454545454545454,,,,,,,,,,,,
