trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.592312596923728,1.36309078069689,None,395.2914142999998,None,396.64150726999986,396.64150726999986,396.65823936999976,b,['b'],1.7494218000010733,[1.7494218000010733],None,398.6855556999999,None,b,1.7494218000010733,1,1,0.5217391304347826,None,401.2872469999993,None,401.2872469999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
23,0,23,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.01714354611405,3.4543169006169,None,403.09028450000005,None,406.5249467699993,406.5249467699993,406.5415051699999,z,['z'],1.1739336000000549,[1.1739336000000549],None,408.54556669999965,None,z,1.1739336000000549,1,1,0.5416666666666666,None,412.5699459999996,None,412.5699459999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
24,0,24,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.31929419319838,0.917519910446003,None,414.37479540000004,None,415.2745783699999,415.2745783699999,415.2915550699997,b,['b'],1.0898117000006096,[1.0898117000006096],None,417.3186593999999,None,b,1.0898117000006096,1,1,0.56,None,420.63744640000004,None,420.63744640000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
25,0,25,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.82531807167306,0.974903167432984,None,422.44150529999933,None,423.3914975699997,423.3914975699997,423.4080078699996,None,[],,,['b'],425.3947436999997,None,b,2.4891478000008647,1,1,0.5769230769230769,None,430.23364589999983,None,430.23364589999983,None,[0.48914780000086466],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
26,0,26,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.61004669244928,1.96568735158996,None,432.04136579999977,None,433.9910954699996,433.9910954699996,434.0069219699996,None,[],,,['z'],435.98625939999965,None,z,3.7043449000011606,0,0,0.5555555555555556,None,440.59945809999954,None,440.59945809999954,None,[1.7043449000011606],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
27,0,27,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.517541937862754,1.94858485820231,None,442.40799889999926,None,444.3404186699997,444.3404186699997,444.35708176999987,z,['z'],1.5579631000009613,[1.5579631000009613],None,446.37623170000006,None,z,1.5579631000009613,1,1,0.5714285714285714,None,448.90454469999986,None,448.90454469999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
28,0,28,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.294664843639333,2.40378712856304,None,450.7082357999998,None,453.09147896999974,453.09147896999974,453.10792026999997,None,[],,,None,455.09676880000006,None,None,[],0,3,0.5517241379310345,None,457.3837236999998,"['z', 'z', 'z', 'z']",457.3837236999998,None,,"[0.16015430000061315, 0.6261464000008345, 0.8889234000007491, 1.1843460000009145]",,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
29,0,29,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.629554641171433,1.25817747924478,None,459.19146459999956,None,460.4250206699996,460.4250206699996,460.44175496999986,None,[],,,['b'],462.42945019999934,None,b,2.5558994000011808,0,0,0.5333333333333333,None,465.0622909999993,None,465.0622909999993,None,[0.5558994000011808],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
30,0,30,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.35133458220192,1.53122835510861,None,466.87484349999977,None,468.39139506999953,468.39139506999953,468.40815596999954,None,[],,,['z'],470.3953191999999,None,z,2.450901400001385,1,1,0.5483870967741935,None,473.74828249999973,None,473.74828249999973,None,[0.4509014000013849],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
31,0,31,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,4.52047235037039,2.10421507306074,None,475.55836289999934,None,477.6406736699998,477.6406736699998,477.6570936699997,None,[],,,['z'],479.63784469999973,None,z,3.592161100001249,0,0,0.53125,None,484.15119909999976,None,484.15119909999976,None,[1.592161100001249],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
32,0,32,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.12485271162806,2.15533949826702,None,485.9580898999993,None,488.09142476999995,488.09142476999995,488.10806376999943,z,['z'],1.137573800001519,[1.137573800001519],None,490.1047185999996,None,z,1.137573800001519,1,1,0.5454545454545454,None,494.2372458,None,494.2372458,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
