trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,32.818133200000375,None,t,82.57437359999949,32.818133200000375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
,,,,,,,,,,None,115.41383909999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.3728785608729996,1.53243550275999,None,115.61394759999985,None,117.13076341999995,117.13076341999995,117.14749162000017,b,['b'],1.6086432000001878,[1.6086432000001878],None,119.15121689999978,None,b,1.6086432000001878,0,0,0.0,None,122.56690520000029,None,122.56690520000029,None,,,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.53337421950507,3.24569326556923,None,124.34675770000013,None,127.56397822000027,127.56397822000027,127.58082082000028,None,[],,,"['b', 'z']",129.56647880000037,None,b,3.0241704999998547,1,1,0.5,None,134.09280200000012,None,134.09280200000012,None,"[1.0241704999998547, 2.1755342999995264]",,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
2,0,2,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,3.26539063535182,2.10421507306074,None,135.8973702000003,None,137.98068422000023,137.98068422000023,137.99738631999998,None,[],,,"['b', 'z']",139.98262009999962,None,b,2.4743606999991243,0,0,0.3333333333333333,None,143.24211079999986,None,143.24211079999986,None,"[0.47436069999912434, 1.8266185999991649]",,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
3,0,3,0,,,,,,,,,,2,2.0,1.0,z,9.0,1.0,3.71372710086949,1.18065738546375,None,145.04717749999963,None,146.21372631999992,146.21372631999992,146.2302765199999,None,[],,,"['b', 'z']",148.2156871999996,None,b,2.579422099999647,0,0,0.25,None,151.93091809999987,None,151.93091809999987,None,"[0.5794220999996469, 2.1107935999998517]",,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
4,0,4,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,2.6391747348430608,3.1963008326951,None,153.73032890000013,None,156.91373661999995,156.91373661999995,156.93047481999992,None,[],,,['b'],158.91729130000022,None,b,3.1965770999995584,1,1,0.4,None,161.55483360000017,None,161.55483360000017,None,[1.1965770999995584],,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.61004669244928,2.22427187882546,None,163.36341040000025,None,165.56378571999966,165.56378571999966,165.58091612000015,None,[],,,"['z', 'b', 'b']",167.56324919999952,None,z,5.154930200000308,0,0,0.3333333333333333,None,172.17236219999995,None,172.17236219999995,None,"[3.154930200000308, 3.567527600000176, 4.304087800000161]",,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
6,0,6,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,3.68371079902891,0.979776149765883,None,173.98065580000002,None,174.93063661999958,174.93063661999958,174.9473734199998,None,[],,,['z'],176.95600579999973,None,z,2.698762199999692,1,1,0.42857142857142855,None,180.64788859999953,None,180.64788859999953,None,[0.6987621999996918],,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
7,0,7,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.77034425507967,2.6299100644723,None,182.44700019999982,None,185.04758561999978,185.04758561999978,185.0639209199996,None,[],,,"['b', 'z']",187.0498662,None,b,3.7116416999997455,0,0,0.375,None,191.82754169999953,None,191.82754169999953,None,"[1.7116416999997455, 1.745760099999643]",,,,,,,,,,,,,,,,,,,,,CBC_1o24,001,3,1,0,23,0.95,2023-07-05_15h02.58.307,MSI_TV_v3,2022.1.1,60.16235412881282,
