trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
15,0,15,0,,,,,,,,,,2,3,0,z,9,1,2.92731383428727,1.34668860557497,None,311.9880776000009,None,313.32193222000006,313.32193222000006,313.33857512000014,b,['b'],1.5510345999991841,[1.5510345999991841],None,315.3634634000009,None,b,1.5510345999991841,0,0,0.375,None,318.299629000001,None,318.299629000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
16,0,16,0,,,,,,,,,,1,3,2,b,63,1,2.517541937862754,1.94858485820231,None,320.1049494000017,None,322.0383565200007,322.0383565200007,322.05503782000034,None,[],,,['z'],324.04285620000155,None,z,2.5526835000000574,0,0,0.35294117647058826,None,326.5588179000006,None,326.5588179000006,None,[0.5526835000000574],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
17,0,17,0,,,,,,,,,,0,2,0,b,27,1,4.52047235037039,3.06992456303453,None,328.3718789000013,None,331.4220619200003,331.4220619200003,331.4386248200006,z,['z'],1.9851576000000932,[1.9851576000000932],None,333.46438710000075,None,z,1.9851576000000932,0,0,0.3333333333333333,None,337.9822415000017,None,337.9822415000017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
18,0,18,0,,,,,,,,,,2,1,0,z,63,1,3.6438386551209,3.24569326556923,None,339.788225100001,None,343.0215703200009,343.0215703200009,343.0381675200004,b,['b'],1.436202900000353,[1.436202900000353],None,345.0655751000013,None,b,1.436202900000353,0,0,0.3157894736842105,None,348.71640580000167,None,348.71640580000167,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
19,0,19,0,,,,,,,,,,3,0,1,z,63,0,4.01714354611405,2.09887870490381,None,350.5219108000001,None,352.6049525200013,352.6049525200013,352.62162042000074,z,['z'],1.2719521999988501,[1.2719521999988501],None,354.6481222000002,None,z,1.2719521999988501,1,0,0.35,None,358.66560520000166,None,358.66560520000166,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
20,0,20,0,,,,,,,,,,1,1,3,z,27,1,3.76873691643126,1.52290599571961,None,360.4720034000002,None,361.97212932000167,361.97212932000167,361.98846722000036,None,[],,,['b'],363.9768305000016,None,b,2.4045188999989477,0,0,0.3333333333333333,None,367.74345430000176,None,367.74345430000176,None,[0.40451889999894775],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
21,0,21,0,,,,,,,,,,0,2,3,b,63,1,2.629554641171433,2.78346932462847,None,369.5552103000009,None,372.32186602000166,372.32186602000166,372.3385619200015,None,[],,,['z'],374.32681590000175,None,z,2.8275240999992093,0,0,0.3181818181818182,None,376.9588695000002,None,376.9588695000002,None,[0.8275240999992093],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
22,0,22,0,,,,,,,,,,3,1,0,b,63,1,4.7533305109883095,2.15533949826702,['b'],378.7717181000007,None,380.90502912000176,380.90502912000176,380.9217075200011,z,['z'],1.1970530999988114,[1.1970530999988114],None,382.9473186000014,None,z,1.1970530999988114,0,0,0.30434782608695654,None,387.69907690000036,['b'],387.69907690000036,None,,[1.0734907999976713],[0.21645770000031916],,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
23,0,23,0,,,,,,,,,,2,2,0,z,27,1,3.71372710086949,0.979776149765883,None,389.5052829000015,None,390.47193812000097,390.47193812000097,390.48893242000105,b,['b'],1.250335199998517,[1.250335199998517],None,392.5147233000007,None,b,1.250335199998517,0,0,0.2916666666666667,None,396.23048650000055,['z'],396.23048650000055,None,,[1.2608017000002292],,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
24,0,24,0,,,,,,,,,,1,2,3,z,63,1,2.2759877950103027,0.80788063606262,None,398.0386176000011,None,398.8220737200007,398.8220737200007,398.83856562000057,None,[],,,['z'],400.825920700001,None,z,2.31154449999849,1,1,0.32,None,403.1122415000009,None,403.1122415000009,None,[0.3115444999984902],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
