trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,2.792365600763554,0.77703640172831,None,461.00064100000054,None,461.7891251000001,None,461.7891251000001,None,461.79969833999934,None,['b'],461.7891251000001,None,None,,463.78253249999943,None,b,1.5328783000004478,1,1,0.35,466.5743929,None,None,466.5743929,None,[1.5328783000004478],,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
20,0,20,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.02234236141277,3.4543169006169,['z'],468.38378639999974,None,471.8525398999991,None,471.8525398999991,None,471.84979962999915,None,None,471.8525398999991,None,['z'],[1.7619148000012501],473.8339063000003,None,z,3.76191480000125,1,1,0.38095238095238093,476.85546429999886,None,None,476.85546429999886,None,,[3.399636599999212],,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
21,0,21,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.433630701072358,1.90743690794447,None,478.6667655000001,None,480.5900146999993,None,480.5900146999993,None,480.5997807400003,None,None,480.5900146999993,None,['b'],[0.17428350000045612],482.56679540000005,None,b,2.174283500000456,1,1,0.4090909090909091,484.9883056999988,None,None,484.9883056999988,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
22,0,22,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.76873691643126,0.761758675042088,None,486.8002299,None,487.58583309999995,None,487.58583309999995,None,487.5831577299994,None,None,487.58583309999995,None,['z'],[0.4011473999998998],489.5667111999992,None,z,2.4011473999999,1,1,0.43478260869565216,493.31673369999953,None,None,493.31673369999953,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
23,0,23,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.7500315165247198,1.1243895841892,None,495.11701019999964,None,496.23958850000054,None,496.23958850000054,None,496.2488973300004,None,None,496.23958850000054,None,['b'],[0.6255263000002742],498.2174826999999,None,b,2.625526300000274,0,0,0.4166666666666667,501.9598358000003,None,None,501.9598358000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
24,0,24,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.7134565917469198,0.917519910446003,None,503.7668130999991,None,504.70569179999984,None,504.70569179999984,None,504.7166239399998,None,None,504.70569179999984,None,['z'],[1.0786117000006925],506.6834665000006,None,z,3.0786117000006925,1,1,0.44,509.3855602000003,None,None,509.3855602000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
25,0,25,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.31929419319838,3.1963008326951,None,511.1995695000005,None,514.3932593999998,None,514.3932593999998,None,514.4001514299997,None,None,514.3932593999998,None,['b'],[1.1342989000004309],516.3841168999988,None,b,3.134298900000431,1,1,0.46153846153846156,519.7012735999997,None,None,519.7012735999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
26,0,26,0,,,,,,,,,,0,2.0,1.0,z,9.0,1.0,2.693348633324513,1.94858485820231,['z'],521.5005330999993,None,523.4721977999998,None,523.4721977999998,None,523.4672974299991,None,['z'],523.4721977999998,None,None,,525.4613109999991,None,z,1.2463229000004503,1,1,0.48148148148148145,528.158797099999,None,None,528.158797099999,None,[1.2463229000004503],[0.41031240000120306],,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
27,0,27,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.77034425507967,1.38289892513751,None,529.9673463999989,None,531.371882899999,None,531.371882899999,None,531.3672607299994,None,None,531.371882899999,None,['b'],[1.6232840000011493],533.3509400000003,None,b,3.6232840000011493,1,1,0.5,538.1054163999997,None,None,538.1054163999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
28,0,28,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.517541937862754,1.21250262048173,None,539.9176213999999,None,541.1530340999998,None,541.1530340999998,None,541.1505385300005,None,None,541.1530340999998,None,['z'],[0.17735279999942577],543.1341704999995,None,z,2.1773527999994258,0,0,0.4827586206896552,545.6375494999993,None,None,545.6375494999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
