trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,31.285724899999877,None,t,64.7106578999992,31.285724899999877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
,,,,,,,,,,None,96.02122620000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
0,0,0,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.82531807167306,2.22427187882546,None,96.22130470000047,None,98.58044659999996,None,98.58044659999996,None,98.58761616999945,None,None,98.58044659999996,None,['b'],[0.433123799999521],100.43769380000049,None,b,2.433123799999521,1,1,1.0,105.25333290000071,None,None,105.25333290000071,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.02234236141277,2.40378712856304,None,107.05454000000009,None,109.50424280000061,None,109.50424280000061,None,109.5045417500005,None,None,109.50424280000061,None,['b'],[0.8951436999996076],111.45488389999991,None,b,2.8951436999996076,1,1,1.0,114.47047160000056,None,None,114.47047160000056,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,3.71372710086949,1.53122835510861,None,116.27157680000073,None,117.89290380000057,None,117.89290380000057,None,117.90414245999982,None,None,117.89290380000057,None,['z'],[1.9474084999992556],119.80448410000008,None,z,3.9474084999992556,1,1,1.0,123.49910460000046,None,None,123.49910460000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.92731383428727,1.25920145784721,None,125.30454570000074,None,126.57792049999989,None,126.57792049999989,None,126.58773117999989,None,['b'],126.57792049999989,None,None,,128.55731860000014,None,b,1.8458691999994699,0,0,0.75,131.4767795000007,None,None,131.4767795000007,None,[1.8458691999994699],,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
4,0,4,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.6391747348430608,0.80788063606262,None,133.28713570000036,None,134.15869750000002,None,134.15869750000002,None,134.1709888899997,None,None,134.15869750000002,None,['b'],[0.7124176999986958],136.08740490000037,None,b,2.7124176999986958,1,1,0.8,138.71763680000004,None,None,138.71763680000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
5,0,5,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.190022164497369,3.4543169006169,None,140.52093480000076,None,143.97340970000005,None,143.97340970000005,None,143.97039784000043,None,None,143.97340970000005,None,['b'],[0.40549559999999474],145.95477860000028,None,b,2.4054955999999947,0,0,0.6666666666666666,150.1268415000004,None,None,150.1268415000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.01714354611405,1.34668860557497,None,151.93801640000038,None,153.3082428000007,None,153.3082428000007,None,153.3045735100002,None,['b'],153.3082428000007,None,None,,155.3069561000002,None,b,1.8841549999988274,1,1,0.7142857142857143,159.32053919999998,None,None,159.32053919999998,None,[1.8841549999988274],,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.31929419319838,3.1424449555106,None,161.12146980000034,None,164.2597077999999,None,164.2597077999999,None,164.27052531000007,None,None,164.2597077999999,None,['b'],[0.31698079999932816],166.23803750000025,None,b,2.316980799999328,0,0,0.625,169.54197730000033,None,None,169.54197730000033,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
8,0,8,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,2.433630701072358,2.96653053743745,None,171.35486910000054,None,174.3259590000007,None,174.3259590000007,None,174.33719800999987,None,None,174.3259590000007,None,['b'],[0.12879249999878084],176.30515689999993,None,b,2.128792499998781,1,1,0.6666666666666666,178.73399670000072,None,None,178.73399670000072,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1064,002,5,1,3,17,0.95,2024-01-28_10h00.06.405,MSI_AV_v3,2022.1.1,59.978072016931435,
