trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_3.rt,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.5548461999997,None,t,53.805593600000975,28.5548461999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
,,,,,,,,,,None,82.37904789999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
0,0,0,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,3.68371079902891,1.18065738546375,None,82.57892889999948,None,83.72881356999987,83.72881356999987,83.74623136999962,None,[],['z'],[0.5716393000002427],85.73645459999989,None,z,2.5716393000002427,1,1,1.0,None,89.42897579999953,None,89.42897579999953,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
1,0,1,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,3.2062024266105302,0.979776149765883,None,91.22969569999896,None,92.19646696999898,92.19646696999898,92.2131710699994,None,[],['b'],[1.6314785999993546],94.20145039999898,None,b,3.6314785999993546,0,0,0.5,None,97.41891229999874,None,97.41891229999874,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
2,0,2,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.82320408183943,2.96653053743745,None,99.22991189999902,None,102.17972136999906,102.17972136999906,102.19642546999948,None,[],['b'],[1.2141545000004044],104.18401809999978,None,b,3.2141545000004044,1,1,0.6666666666666666,None,107.01141779999944,None,107.01141779999944,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
3,0,3,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.35133458220192,2.49839527409216,None,108.81284279999909,None,111.29670907000018,111.29670907000018,111.31301286999933,None,[],['z'],[1.0821509999996124],113.29623850000007,None,z,3.0821509999996124,1,1,0.75,None,116.65670000000046,None,116.65670000000046,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
4,0,4,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.76873691643126,1.52290599571961,None,118.46344709999994,None,119.96317547000017,119.96317547000017,119.97978436999965,None,[],['z'],[0.7808013000003484],121.96933609999996,None,z,2.7808013000003484,1,1,0.8,None,125.7416177999994,None,125.7416177999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
5,0,5,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,3.73326136168326,0.80788063606262,None,127.54680989999997,None,128.3301654699988,128.3301654699988,128.34687956999898,None,[],['b'],[1.7913732999995773],130.33684189999894,None,b,3.7913732999995773,1,1,0.8333333333333334,None,134.0738993999994,None,134.0738993999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
6,0,6,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.77034425507967,1.12425433982333,None,135.88036039999952,None,136.97986546999874,136.97986546999874,136.99643676999932,None,[],['z'],[1.8296385000003283],138.98498319999908,None,z,3.8296385000003283,1,1,0.8571428571428571,None,143.7633956999989,None,143.7633956999989,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
7,0,7,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.61004669244928,2.6299100644723,None,145.56346289999874,None,148.17996916999965,148.17996916999965,148.19653716999875,None,[],['b'],[0.9187050000009549],150.18414249999933,None,b,2.918705000000955,1,1,0.875,None,154.79605939999874,None,154.79605939999874,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,002,6,1,3,15,0.95,2024-08-25_14h42.34.932,MSI_TV_v3,2022.1.1,59.972856285176135,
