trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,3,1.0,2.0,b,9.0,1.0,2.517541937862754,1.12425433982333,None,444.4471130999991,None,445.58655439999893,None,445.58655439999893,None,445.5974370199994,None,None,445.58655439999893,None,['b'],[0.6787372000017058],447.56396119999954,None,b,2.678737200001706,1,1,0.5185185185185185,450.07172270000046,None,None,450.07172270000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
27,0,27,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,2.294664843639333,0.80788063606262,None,451.8796893999988,None,452.69702419999885,None,452.69702419999885,None,452.69704729000017,None,None,452.69702419999885,None,None,,454.68065489999935,None,[],[],0,3,0.5,456.9631472000001,None,None,456.9631472000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
28,0,28,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.678526077912375,1.36309078069689,None,458.7640193999996,None,460.15274659999886,None,460.15274659999886,None,460.16412882000003,None,['b'],460.15274659999886,None,None,,462.1333023999996,None,b,1.4421557000023313,0,0,0.4827586206896552,464.82057989999885,None,None,464.82057989999885,None,[1.4421557000023313],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
29,0,29,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.2759877950103027,1.78643585472448,None,466.63045989999955,None,468.4345637000006,None,468.4345637000006,None,468.4308095900005,None,None,468.4345637000006,None,"['z', 'b']","[0.217479100001583, 0.30832420000115235]",470.4138351999991,None,z,2.217479100001583,0,0,0.4666666666666667,472.68287620000046,None,None,472.68287620000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
30,0,30,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.2062024266105302,1.21250262048173,None,474.49748530000033,None,475.73670459999994,None,475.73670459999994,None,475.74744281999955,None,['z'],475.73670459999994,None,None,,477.7340110999994,None,z,1.496033500001431,1,1,0.4838709677419355,480.9547690999989,None,None,480.9547690999989,None,[1.496033500001431],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
31,0,31,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.666404967794728,3.40155979865722,None,482.76406399999905,None,486.1851745999993,None,486.1851745999993,None,486.1808311899994,None,None,486.1851745999993,None,['z'],[0.515932200001771],488.1641600999992,None,z,2.515932200001771,1,1,0.5,490.81232889999956,None,None,490.81232889999956,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
32,0,32,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.52047235037039,1.90743690794447,None,492.6143880999989,None,494.5361515000004,None,494.5361515000004,None,494.5475854199987,None,None,494.5361515000004,None,['b'],[1.247881100000086],496.514224999999,None,b,3.247881100000086,1,1,0.5151515151515151,501.0282731999996,None,None,501.0282731999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
33,0,33,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.6391747348430608,3.1963008326951,None,502.83007279999947,None,506.03611009999986,None,506.03611009999986,None,506.04762881999994,None,None,506.03611009999986,None,['z'],[2.040101800001139],508.01377779999893,None,z,4.040101800001139,0,0,0.5,510.6323238999994,None,None,510.6323238999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
34,0,34,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.02234236141277,0.979776149765883,None,512.4476223000001,None,513.4339870000003,None,513.4339870000003,None,513.4304226600002,None,None,513.4339870000003,None,['b'],[1.9733840000008058],515.4142991999997,None,b,3.973384000000806,0,0,0.4857142857142857,518.4259681999993,None,None,518.4259681999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
35,0,35,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.7500315165247198,1.1243895841892,None,520.2309552999996,None,521.369584099999,None,521.369584099999,None,521.3810553199993,None,['b'],521.369584099999,None,None,,523.3492021000002,None,b,1.327572500000315,0,0,0.4722222222222222,527.1035133000005,None,None,527.1035133000005,None,[1.327572500000315],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
