trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,31.688842899999145,None,t,47.79124839999895,31.688842899999145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
,,,,,,,,,,None,79.51189929999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
0,0,0,0,,,,,,,,,,3,1,0,b,63,1,1.109698721,2.128027194,None,79.72559399999955,None,81.82560816000023,81.82560816000023,81.84272745999897,b,['b'],1.9304147999991983,[1.9304147999991983],None,83.8674947999989,None,b,1.9304147999991983,1,1,1.0,None,85.01998049999929,None,85.01998049999929,None,,,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
1,0,1,0,,,,,,,,,,2,3,2,b,63,1,1.758742576,3.264468617,None,86.97575779999897,None,90.2255405599999,90.2255405599999,90.242138659999,None,[],,,['b'],92.22881909999887,None,b,2.3227709000002505,1,1,1.0,None,93.98571759999868,None,93.98571759999868,None,[0.32277090000025055],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
2,0,2,0,,,,,,,,,,3,3,1,z,27,1,4.21669271,2.349749758,None,95.99244199999885,None,98.32552705999933,98.32552705999933,98.34210695999991,None,[],,,['z'],100.34776039999997,None,z,2.2796533000000636,1,1,1.0,None,104.58328719999918,None,104.58328719999918,None,[0.2796533000000636],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
3,0,3,0,,,,,,,,,,1,2,3,b,63,1,2.67601813,1.142638656,None,106.5922333999988,None,107.70895125999868,107.70895125999868,107.72568865999983,None,[],,,['z'],109.71005630000036,None,z,2.6172946999995474,0,0,0.75,None,112.41715719999956,None,112.41715719999956,None,[0.6172946999995474],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
4,0,4,0,,,,,,,,,,1,0,2,z,27,1,4.334629553,0.971483559,None,114.40893630000028,None,115.35881445999894,115.35881445999894,115.37539645999914,None,[],,,['z'],117.36107869999978,None,z,2.8031245000001945,1,1,0.8,None,121.69263679999858,None,121.69263679999858,None,[0.8031245000001945],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
5,0,5,0,,,,,,,,,,0,0,3,b,9,1,4.309752164,1.84422311,None,123.69231279999985,None,125.50899255999957,125.50899255999957,125.52546355999857,b,['b'],1.4679443999993964,[1.4679443999993964],None,127.55224939999971,None,b,1.4679443999993964,1,1,0.8333333333333334,None,131.85439679999945,None,131.85439679999945,None,,,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
6,0,6,0,,,,,,,,,,1,2,3,b,63,1,3.478547126,1.53162701,None,133.85893450000003,None,135.37565855999947,135.37565855999947,135.392311659999,None,[],,,['b'],137.3791024000002,None,b,3.3283192999988387,1,1,0.8571428571428571,None,140.87034270000004,None,140.87034270000004,None,[1.3283192999988387],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,1.556335756,2.7801224,None,142.8756056000002,None,145.64254315999915,145.64254315999915,145.65937156000018,z,['z'],1.5676465000015014,[1.5676465000015014],None,147.73061810000036,None,z,1.5676465000015014,1,1,0.875,None,149.2867785999988,None,149.2867785999988,None,,,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
8,0,8,0,,,,,,,,,,2,2,3,z,63,1,4.268032915,1.08099246,None,151.2922927999989,None,152.35897396000018,152.35897396000018,152.3756767599998,None,[],,,['b'],154.3614362999997,None,b,2.3433874000002106,0,0,0.7777777777777778,None,158.6382894999988,None,158.6382894999988,None,[0.3433874000002106],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
9,0,9,0,,,,,,,,,,1,3,2,z,63,1,2.742099981,1.411911144,None,160.64276280000013,None,162.04285715999958,162.04285715999958,162.05894645999888,None,[],,,['z'],164.06523019999986,None,z,2.8264249000003474,1,1,0.8,None,166.81582809999964,None,166.81582809999964,None,[0.8264249000003474],,,,,,,,,,,,,,,,,,CBC_1007,004,5,1,1,4,0.95,2023-06-21_16h08.10.582,MSI_TV_v3,2022.1.1,60.01676868490852,
