trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,23.10322769999948,None,t,70.49868609999976,23.10322769999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
,,,,,,,,,,None,93.63039890000073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
0,0,0,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.40017271499661,1.78643585472448,None,93.8297992000007,None,95.76068900000064,None,95.76068900000064,None,95.76359013999954,None,None,95.76068900000064,None,['z'],[0.5355531999994128],97.61352310000075,None,z,2.5355531999994128,0,0,0.0,102.01946839999982,None,None,102.01946839999982,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
1,0,1,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.12485271162806,1.27538462653558,None,103.81340099999943,None,105.15895180000007,None,105.15895180000007,None,105.16328937999987,None,None,105.15895180000007,None,['z'],[1.6574182999993354],107.07904960000087,None,z,3.6574182999993354,1,1,0.5,111.19515300000057,None,None,111.19515300000057,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
2,0,2,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.46924002178158,1.34668860557497,None,112.99663169999985,None,114.37053080000078,None,114.37053080000078,None,114.38030886000014,None,None,114.37053080000078,None,['b'],[0.4463245000006282],116.34690179999961,None,b,2.446324500000628,1,1,0.6666666666666666,120.81270140000015,None,None,120.81270140000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
3,0,3,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.73326136168326,1.53243550275999,None,122.61278140000104,None,124.18201709999994,None,124.18201709999994,None,124.18031265999925,None,None,124.18201709999994,None,['b'],[0.6381614999991143],126.14689429999999,None,b,2.6381614999991143,1,1,0.75,129.87429619999966,None,None,129.87429619999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
4,0,4,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.3728785608729996,1.1243895841892,None,131.6804644999993,None,132.799504300001,None,132.799504300001,None,132.81244382000094,None,['z'],132.799504300001,None,None,,134.8171669000003,None,z,1.4788180999985343,1,1,0.8,138.19567459999962,None,None,138.19567459999962,None,[1.4788180999985343],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
5,0,5,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.666404967794728,1.90743690794447,None,139.99672289999944,None,141.91806680000082,None,141.91806680000082,None,141.930010460001,None,None,141.91806680000082,None,['b'],[0.4630641999992804],143.89728699999978,None,b,2.4630641999992804,0,0,0.6666666666666666,146.54649450000034,None,None,146.54649450000034,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,3.31929419319838,3.4543169006169,None,148.34588290000102,None,151.83313459999954,None,151.83313459999954,None,151.83018286000006,None,None,151.83313459999954,None,['z'],[0.9148076999990735],153.79647839999961,None,z,2.9148076999990735,0,0,0.5714285714285714,157.10734530000082,None,None,157.10734530000082,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
7,0,7,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,3.26539063535182,2.78346932462847,None,158.91325180000058,None,161.72060760000022,None,161.72060760000022,None,161.73061156000077,None,None,161.72060760000022,None,['z'],[0.15106249999917054],163.69584600000053,None,z,2.1510624999991705,1,1,0.625,166.94511670000065,None,None,166.94511670000065,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
8,0,8,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.76873691643126,2.6299100644723,None,168.74608649999936,None,171.3658830000004,None,171.3658830000004,None,171.3628325799993,None,None,171.3658830000004,None,['z'],[1.1126721000000543],173.3468716999996,None,z,3.1126721000000543,1,1,0.6666666666666666,177.09985890000098,None,None,177.09985890000098,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
9,0,9,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.72585056748869,0.979776149765883,None,178.9123985999995,None,179.90284670000074,None,179.90284670000074,None,179.91340055999936,None,['b'],179.90284670000074,None,None,,181.8996160000006,None,b,1.7366342000004806,1,1,0.7,186.62923240000055,None,None,186.62923240000055,None,[1.7366342000004806],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
10,0,10,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.7533305109883095,2.22427187882546,None,188.43023820000053,None,190.67066759999943,None,190.67066759999943,None,190.68067555999951,None,['z'],190.67066759999943,None,None,,192.6641978000007,None,z,1.931217800000013,0,0,0.6363636363636364,197.41958999999952,None,None,197.41958999999952,None,[1.931217800000013],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
11,0,11,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,2.693348633324513,1.21250262048173,None,199.22924199999943,None,200.45062099999996,None,200.45062099999996,None,200.44711892000103,None,None,200.45062099999996,None,['z'],[0.6130467999992106],202.4302802000002,None,z,2.6130467999992106,1,1,0.6666666666666666,205.11018719999993,None,None,205.11018719999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
12,0,12,0,,,,,,,,,,2,3.0,2.0,b,63.0,0.0,2.592312596923728,2.10421507306074,None,206.9127179999996,None,209.03580160000092,None,209.03580160000092,None,209.0468480599997,None,None,209.03580160000092,None,['b'],[0.7791907999999239],211.01360729999942,None,b,2.779190799999924,1,0,0.6923076923076923,213.59174610000082,None,None,213.59174610000082,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
13,0,13,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.61004669244928,2.40378712856304,None,215.39691660000062,None,217.82115010000052,None,217.82115010000052,None,217.83027036000058,None,None,217.82115010000052,None,['z'],[1.1164320999996562],219.79629270000078,None,z,3.116432099999656,1,1,0.7142857142857143,224.3993618000004,None,None,224.3993618000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
14,0,14,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.678526077912375,1.36309078069689,None,226.21358920000057,None,227.5851717000005,None,227.5851717000005,None,227.5963227200007,None,None,227.5851717000005,None,['z'],[1.1221212999989802],229.5639615,None,z,3.1221212999989802,0,0,0.6666666666666666,232.2329936999995,None,None,232.2329936999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
15,0,15,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.53337421950507,0.761758675042088,None,234.0470320000004,None,234.8174712,None,234.8174712,None,234.81339112000003,None,None,234.8174712,None,['b'],[1.3550240000004123],236.7969716000007,None,b,3.3550240000004123,1,1,0.6875,241.31696349999947,None,None,241.31696349999947,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
16,0,16,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.6391747348430608,2.15533949826702,None,243.13007409999955,None,245.30408460000035,None,245.30408460000035,None,245.3138803599999,None,['z'],245.30408460000035,None,None,,247.29911340000035,None,z,1.7602600999980496,1,1,0.7058823529411765,249.9385927000003,None,None,249.9385927000003,None,[1.7602600999980496],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
17,0,17,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.433630701072358,1.64421109900286,None,251.74698630000057,None,253.38395540000056,None,253.38395540000056,None,253.3961523199994,None,['z'],253.38395540000056,None,None,,255.37896659999933,None,z,1.5474014999999781,0,0,0.6666666666666666,257.8188234999998,None,None,257.8188234999998,None,[1.5474014999999781],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
18,0,18,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,2.91303524001082,0.917519910446003,None,259.6306502999996,None,260.5684763999998,None,260.5684763999998,None,260.58077846000054,None,None,260.5684763999998,None,['z'],[0.8501494999982242],262.54739040000095,None,z,2.850149499998224,1,1,0.6842105263157895,265.44171579999966,None,None,265.44171579999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
19,0,19,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,2.92731383428727,1.38289892513751,None,267.24716350000017,None,268.63366020000103,None,268.63366020000103,None,268.62992337999935,None,None,268.63366020000103,None,['b'],[0.496326799999224],270.6139686000006,None,b,2.496326799999224,0,0,0.65,273.5317209999994,None,None,273.5317209999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
20,0,20,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.7500315165247198,1.95130344756745,None,275.33051890000024,None,277.30080819999966,None,277.30080819999966,None,277.2972852199999,None,['z'],277.30080819999966,None,None,,279.2986536999997,None,z,1.9146947999997792,0,0,0.6190476190476191,283.0519256000007,None,None,283.0519256000007,None,[1.9146947999997792],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
21,0,21,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.68371079902891,1.53122835510861,None,284.8636287999998,None,286.4005440000001,None,286.4005440000001,None,286.41302422000064,None,None,286.4005440000001,None,['z'],[0.38374779999867314],288.39747949999946,None,z,2.383747799998673,1,1,0.6363636363636364,292.0607206000004,None,None,292.0607206000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
22,0,22,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.190022164497369,0.974903167432984,None,293.8638054000003,None,294.8508980000006,None,294.8508980000006,None,294.84719231999935,None,['z'],294.8508980000006,None,None,,296.8321106000003,None,z,1.6633141999991494,0,0,0.6086956521739131,301.03691439999966,None,None,301.03691439999966,None,[1.6633141999991494],,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
23,0,23,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,2.792365600763554,1.25920145784721,None,302.84725660000004,None,304.11762380000073,None,304.11762380000073,None,304.11397901999936,None,None,304.11762380000073,None,['b'],[1.3711022999996203],306.09730409999975,None,b,3.3711022999996203,1,1,0.625,308.87951539999995,None,None,308.87951539999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
24,0,24,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.496959177995529,1.18065738546375,None,310.6809592999998,None,311.8761410999996,None,311.8761410999996,None,311.8804044200004,None,None,311.8761410999996,None,['b'],[1.083755799998471],313.8636643000009,None,b,3.083755799998471,1,1,0.64,316.3462027000005,None,None,316.3462027000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
25,0,25,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.517541937862754,1.52290599571961,None,318.1473698000009,None,319.66826890000084,None,319.66826890000084,None,319.67986912,None,None,319.66826890000084,None,['b'],[0.9254959000008967],321.64745439999933,None,b,2.9254959000008967,0,0,0.6153846153846154,324.15860900000007,None,None,324.15860900000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
26,0,26,0,,,,,,,,,,3,1.0,2.0,b,9.0,1.0,4.11514536789087,3.1424449555106,None,325.96396409999943,None,329.1183731000001,None,329.1183731000001,None,329.1139476200004,None,None,329.1183731000001,None,['z'],[0.3060903000005055],331.0973128000005,None,z,2.3060903000005055,0,0,0.5925925925925926,335.1935572000002,None,None,335.1935572000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,001,2,2,6,4,0.95,2023-07-21_14h51.03.497,MSI_AV_v3,2022.1.1,60.02184795240846,
