trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,404.5686426000002,None,t,70.34683289999975,404.5686426000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
,,,,,,,,,,None,474.94171410000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.294664843639333,0.80788063606262,None,475.14177140000083,None,476.13972120000017,None,476.13972120000017,None,476.1415523000007,None,None,476.13972120000017,None,['z'],[0.6406656999997722],477.94177350000064,None,z,2.640665699999772,1,1,1.0,480.2349311000007,None,None,480.2349311000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.629554641171433,1.78643585472448,None,482.04199770000014,None,483.8644408,None,483.8644408,None,483.8591541000007,None,None,483.8644408,None,['b'],[0.805931399999281],485.8252886,None,b,2.805931399999281,1,1,1.0,488.44182440000077,None,None,488.44182440000077,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
2,0,2,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.11514536789087,1.60731937853708,None,490.24182550000023,None,491.9010038000006,None,491.9010038000006,None,491.9075374000002,None,None,491.9010038000006,None,['z'],[0.4409011999996437],493.8252547000002,None,z,2.4409011999996437,1,1,1.0,497.92925920000016,None,None,497.92925920000016,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,3.2062024266105302,2.40378712856304,None,499.7408847000006,None,502.1470825000006,None,502.1470825000006,None,502.15760020000056,None,None,502.1470825000006,None,['z'],[0.49580539999988105],504.1252178000004,None,z,2.495805399999881,1,1,1.0,507.31386460000067,None,None,507.31386460000067,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
4,0,4,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,2.433630701072358,3.4543169006169,None,509.1251533000004,None,512.5982067000004,None,512.5982067000004,None,512.6088631000003,None,None,512.5982067000004,None,['z'],[0.5988514000000578],514.5756007,None,z,2.5988514000000578,0,0,0.8,517.0011687000006,None,None,517.0011687000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
5,0,5,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.792365600763554,3.1963008326951,None,518.8093737000008,None,522.0548420000005,None,522.0548420000005,None,522.0585851000005,None,None,522.0548420000005,None,['z'],[0.8265572999989672],524.0088664000004,None,z,2.826557299998967,0,0,0.6666666666666666,526.7851969000003,None,None,526.7851969000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
6,0,6,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.52047235037039,2.10421507306074,None,528.5923030000004,None,530.7087105,None,530.7087105,None,530.7081872000002,None,None,530.7087105,None,['z'],[0.4874270999998771],532.6919514000001,None,z,2.487427099999877,1,1,0.7142857142857143,537.2010012000001,None,None,537.2010012000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
7,0,7,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.91303524001082,1.12425433982333,None,539.0084706000007,None,540.1486773000006,None,540.1486773000006,None,540.1586886000006,None,None,540.1486773000006,None,['b'],[0.9002927000001364],542.1252952000004,None,b,2.9002927000001364,0,0,0.625,545.0241720000004,None,None,545.0241720000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1139,001,2,3,0,20,0.95,2024-07-08_16h12.35.623,MSI_AV_v3,2022.1.1,59.99559632320143,
