trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,197.07725039999968,None,t,73.0228307999987,197.07725039999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
,,,,,,,,,,None,270.1305150999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
0,0,0,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.792365600763554,1.1243895841892,None,270.3305240999998,None,271.5898852999999,None,271.5898852999999,None,271.5959943500005,None,['z'],[1.602702299998782],271.5898852999999,None,None,273.45076589999917,None,z,1.602702299998782,1,1,1.0,276.24023060000036,None,None,276.24023060000036,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
1,0,1,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.71372710086949,2.78346932462847,None,278.03056130000004,None,280.8802405999995,None,280.8802405999995,None,280.8804220000005,None,['b'],[1.6797237999999197],280.8802405999995,None,None,282.8294953000004,None,b,1.6797237999999197,0,0,0.5,286.56809129999965,None,None,286.56809129999965,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
2,0,2,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.72585056748869,3.33124983260532,None,288.3639390999997,None,291.74914979999994,None,291.74914979999994,None,291.7469593500009,None,None,,291.74914979999994,None,['z'],293.69620140000006,None,z,2.415607799999634,0,0,0.3333333333333333,298.40960930000074,None,None,298.40960930000074,None,[0.41560779999963415],,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
3,0,3,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.12485271162806,0.80788063606262,None,300.2137483000006,None,301.03899620000084,None,301.03899620000084,None,301.04760610000045,None,['z'],[1.343161400000099],301.03899620000084,None,None,303.02990189999946,None,z,1.343161400000099,1,1,0.5,307.15497230000074,None,None,307.15497230000074,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
4,0,4,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.342239579230602,1.25817747924478,None,308.9640101999994,None,310.23733080000056,None,310.23733080000056,None,310.24722609999986,None,None,,310.23733080000056,None,"['z', 'b']",312.2138092999994,None,z,2.4438836999997875,1,1,0.6,314.53707009999926,None,None,314.53707009999926,None,"[0.4438836999997875, 1.2037215000000288]",,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
5,0,5,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.91303524001082,2.6299100644723,None,316.34737909999967,None,319.0013576000001,None,319.0013576000001,None,318.9974119499995,None,None,,319.0013576000001,None,['b'],320.9808654999997,None,b,2.413480699999127,1,1,0.6666666666666666,323.87633690000075,None,None,323.87633690000075,None,[0.41348069999912695],,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
6,0,6,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.53337421950507,3.24569326556923,None,325.68061990000024,None,328.9539205000001,None,328.9539205000001,None,328.96398220000043,None,['z'],[1.228900000000067],328.9539205000001,None,None,330.94661389999965,None,z,1.228900000000067,1,1,0.7142857142857143,335.48509510000076,None,None,335.48509510000076,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
7,0,7,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.46924002178158,2.10421507306074,None,337.29670780000015,None,339.43947690000095,None,339.43947690000095,None,339.44717305000086,None,None,,339.43947690000095,None,['b'],341.39756730000045,None,b,2.4708781000008457,1,1,0.75,345.8531559000003,None,None,345.8531559000003,None,[0.47087810000084573],,,,,,,,,,,,,,,,,,,,,,CBC_1048,3,4,3,3,1,0.95,2024-01-21_16h38.11.911,MSI_AV_v3,2022.1.1,59.9701948131236,
