trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,30.643033299998933,None,t,52.594214799995825,30.643033299998933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
,,,,,,,,,,None,83.26871759999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
0,0,0,0,,,,,,,,,,2,1,0,z,63,1,3.71372710086949,1.94858485820231,None,83.46880189999865,None,85.49155219999739,None,85.49155219999739,None,85.50221022999796,None,None,85.49155219999739,None,['b'],[0.15474869999889052],87.41862829999809,None,b,2.1547486999988905,0,0,0.0,91.13511609999841,None,None,91.13511609999841,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,2.294664843639333,1.18065738546375,None,92.9357815000003,None,94.13595349999741,None,94.13595349999741,None,94.13520867000007,None,None,94.13595349999741,None,['z'],[0.012515099999291124],96.11883529999977,None,z,2.012515099999291,0,0,0.0,98.40922829999909,None,None,98.40922829999909,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,2.526044641065533,3.40155979865722,None,100.21878319999814,None,103.63971709999896,None,103.63971709999896,None,103.635548569998,None,None,103.63971709999896,None,['b'],[0.5936750000000757],105.61874329999773,None,b,2.5936750000000757,1,1,0.3333333333333333,108.13111479999861,None,None,108.13111479999861,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
3,0,3,0,,,,,,,,,,2,1,0,z,63,1,3.73326136168326,1.78643585472448,None,109.93555129999731,None,111.74059660000057,None,111.74059660000057,None,111.75226545999759,None,None,111.74059660000057,None,['z'],[0.24361919999864767],113.71875379999983,None,z,2.2436191999986477,1,1,0.5,117.43314649999957,None,None,117.43314649999957,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
4,0,4,0,,,,,,,,,,1,3,1,z,27,1,3.3728785608729996,0.952147612306987,None,119.23538629999894,None,120.20418069999869,None,120.20418069999869,None,120.20240986999961,None,None,120.20418069999869,None,None,,122.18511740000031,None,[],[],0,3,0.4,125.54190249999738,None,['b'],125.54190249999738,None,[1.4843093999988923],,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,4.72585056748869,3.4543169006169,None,127.35252649999893,None,130.82458829999814,None,130.82458829999814,None,130.8357033599983,None,['b'],130.82458829999814,None,None,,132.81833959999858,None,b,1.4673032999999123,1,1,0.5,137.54115059999822,None,None,137.54115059999822,None,,[1.4673032999999123],,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
6,0,6,0,,,,,,,,,,3,2,3,z,63,0,4.11514536789087,3.24569326556923,None,139.35200059999988,None,142.6079088000006,None,142.6079088000006,None,142.6188490599976,None,None,142.6079088000006,None,['z'],[0.15687139999863575],144.58543309999732,None,z,2.1568713999986358,1,0,0.5714285714285714,148.68269230000078,None,None,148.68269230000078,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
7,0,7,0,,,,,,,,,,1,1,0,b,63,1,3.68371079902891,1.52290599571961,None,150.48528850000002,None,152.02331929999855,None,152.02331929999855,None,152.01920936999997,None,None,152.02331929999855,None,['b'],[0.7946134999983769],154.00228389999756,None,b,2.794613499998377,1,1,0.625,157.67799839999861,None,None,157.67799839999861,None,,,,,,,,,,,,,,,,,,,,CBC_1015,3,2,3,6,14,0.9,2023-06-25_15h52.10.699,MSI_AV_v3,2022.1.1,59.862890035804924,
