trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,193.69703689999915,None,t,72.08068880000064,193.69703689999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
,,,,,,,,,,None,265.8092453999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
0,0,0,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.7500315165247198,1.53122835510861,None,266.0089429999989,None,267.65197309999894,None,267.65197309999894,None,267.6584334999981,None,['z'],[1.5314237000002322],267.65197309999894,None,None,269.5645260000001,None,z,1.5314237000002322,1,1,1.0,273.3314711999992,None,None,273.3314711999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
1,0,1,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.190022164497369,1.1243895841892,None,275.12527129999944,None,276.2960003999997,None,276.2960003999997,None,276.29327589999957,None,None,,276.2960003999997,None,['b'],278.2426464,None,b,2.6401727000011306,0,0,0.5,282.42856140000004,None,None,282.42856140000004,None,[0.6401727000011306],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
2,0,2,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.26539063535182,3.40155979865722,None,284.24261379999916,None,287.66496169999846,None,287.66496169999846,None,287.6752750999996,None,None,,287.66496169999846,None,['b'],289.64258039999913,None,b,2.588472700001148,1,1,0.6666666666666666,292.8910546999996,None,None,292.8910546999996,None,[0.588472700001148],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
3,0,3,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.3728785608729996,1.43470440954152,None,294.69244979999894,None,296.15078259999973,None,296.15078259999973,None,296.15943069999884,None,['z'],[1.6091918999991321],296.15078259999973,None,None,298.1281975999991,None,z,1.6091918999991321,1,1,0.75,301.51828729999943,None,None,301.51828729999943,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
4,0,4,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,2.294664843639333,3.06992456303453,None,303.32513990000007,None,306.4111782,None,306.4111782,None,306.40924489999855,None,None,,306.4111782,None,['b'],308.3920772999991,None,b,2.584565900000598,0,0,0.6,310.6700925999994,None,None,310.6700925999994,None,[0.584565900000598],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
5,0,5,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.61004669244928,0.952147612306987,None,312.47601869999926,None,313.4307747999992,None,313.4307747999992,None,313.44172329999896,None,None,,313.4307747999992,None,['b'],315.40942989999894,None,b,2.6397061999996367,1,1,0.6666666666666666,320.00967109999874,None,None,320.00967109999874,None,[0.6397061999996367],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
6,0,6,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,3.76873691643126,2.09887870490381,None,321.80920159999914,None,323.9141123999998,None,323.9141123999998,None,323.92539979999896,None,None,,323.9141123999998,None,['z'],325.8927242999998,None,z,2.4049379999996745,1,1,0.7142857142857143,329.66081959999974,None,None,329.66081959999974,None,[0.4049379999996745],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
7,0,7,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,2.91303524001082,1.25817747924478,None,331.4750989999993,None,332.7669939999996,None,332.7669939999996,None,332.77623629999835,None,None,,332.7669939999996,None,['b'],334.7262792999991,None,b,2.6957110000003013,1,1,0.75,337.6354475999997,None,None,337.6354475999997,None,[0.6957110000003013],,,,,,,,,,,,,,,,,,,,,CBC_1042,003,5,2,3,19,0.95,2024-07-26_17h06.06.006,MSI_AV_v3,2022.1.1,59.79924198506714,
