trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,3.31929419319838,3.1963008326951,None,210.20657120000033,None,213.42253150000033,None,213.42253150000033,None,213.42367733000083,None,['b'],213.42253150000033,None,None,215.4203092000007,None,b,1.682453199999145,1,1,0.4166666666666667,218.7455117999998,None,None,218.7455117999998,None,[1.682453199999145],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
12,0,12,0,,,,,,,,,,2,2.0,3.0,z,63.0,0.0,3.68371079902891,2.10421507306074,None,220.55671059999986,None,222.67408989999967,None,222.67408989999967,None,222.67310993000046,None,None,222.67408989999967,None,['z'],224.65654200000063,None,z,2.3410954999981186,1,0,0.46153846153846156,228.3301061000002,None,None,228.3301061000002,None,,[0.3410954999981186],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
13,0,13,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.190022164497369,1.38289892513751,None,230.1402094999994,None,231.53964649999944,None,231.53964649999944,None,231.53957533000084,None,None,231.53964649999944,None,['z'],233.52322599999934,None,z,3.0831254000004265,0,0,0.42857142857142855,237.7072919000002,None,None,237.7072919000002,None,,[1.0831254000004265],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
14,0,14,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.01714354611405,1.36309078069689,None,239.50672900000063,None,240.89094149999983,None,240.89094149999983,None,240.89003223000054,None,['b'],240.89094149999983,None,None,242.88995609999984,None,b,1.1370180999983859,0,0,0.4,246.91126939999958,None,None,246.91126939999958,None,[1.1370180999983859],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
15,0,15,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,3.6438386551209,1.95130344756745,None,248.72336840000025,None,250.68942640000023,None,250.68942640000023,None,250.68996013000014,None,None,250.68942640000023,None,['z'],252.6733906999998,None,z,2.431408399999782,1,1,0.4375,256.3061596999996,None,None,256.3061596999996,None,,[0.431408399999782],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
16,0,16,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.629554641171433,2.40378712856304,None,258.1069480999995,None,260.52289290000044,None,260.52289290000044,None,260.5232448300003,None,None,260.52289290000044,None,['z'],262.50669820000076,None,z,3.101690299999973,0,0,0.4117647058823529,265.12224289999904,None,None,265.12224289999904,None,,[1.101690299999973],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
17,0,17,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.496959177995529,2.15533949826702,None,266.9235116,None,269.0917217999995,None,269.0917217999995,None,269.0901179300008,None,['b'],269.0917217999995,None,None,271.0907879999995,None,b,1.793169599999601,0,0,0.3888888888888889,273.59486130000005,None,None,273.59486130000005,None,[1.793169599999601],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
18,0,18,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,3.3728785608729996,3.1424449555106,None,275.4068081000005,None,278.5570853999998,None,278.5570853999998,None,278.55671603000064,None,['z'],278.5570853999998,None,None,280.55662739999934,None,z,1.5638144000004104,0,0,0.3684210526315789,283.9281508999993,None,None,283.9281508999993,None,[1.5638144000004104],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
19,0,19,0,,,,,,,,,,2,3.0,0.0,b,9.0,1.0,3.2062024266105302,0.761758675042088,None,285.74019020000014,None,286.50786809999954,None,286.50786809999954,None,286.50673322999955,None,None,286.50786809999954,None,['b'],288.49005319999924,None,b,3.3838156999991043,1,1,0.4,291.67978029999904,None,None,291.67978029999904,None,,[1.3838156999991043],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
20,0,20,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.53337421950507,1.90743690794447,None,293.4901926000002,None,295.40658110000004,None,295.40658110000004,None,295.40680662999966,None,None,295.40658110000004,None,['z'],297.3902195999999,None,z,2.502351799999815,1,1,0.42857142857142855,301.9160379999994,None,None,301.9160379999994,None,,[0.5023517999998148],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
21,0,21,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.11514536789087,1.43470440954152,None,303.72354239999913,None,305.1751332999993,None,305.1751332999993,None,305.1737088300006,None,['z'],305.1751332999993,None,None,307.1711482999999,None,z,1.7531758999994054,0,0,0.4090909090909091,311.29475620000085,None,None,311.29475620000085,None,[1.7531758999994054],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
22,0,22,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.792365600763554,3.06992456303453,None,313.10700759999963,None,316.1920831000007,None,316.1920831000007,None,316.1903477300011,None,['b'],316.1920831000007,None,None,318.19063149999965,None,b,1.5983704999998736,0,0,0.391304347826087,320.99121659999946,None,None,320.99121659999946,None,[1.5983704999998736],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
23,0,23,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,4.7533305109883095,1.78643585472448,None,322.79020259999925,None,324.59215609999956,None,324.59215609999956,None,324.5902037300011,None,['z'],324.59215609999956,None,None,326.5901921000004,None,z,1.923038799999631,1,1,0.4166666666666667,331.34595380000064,None,None,331.34595380000064,None,[1.923038799999631],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
24,0,24,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.6391747348430608,2.09887870490381,None,333.15726639999957,None,335.26716680000027,None,335.26716680000027,None,335.273359830001,None,['b'],335.26716680000027,None,None,337.2743382999997,None,b,1.5731163000000379,0,0,0.4,339.9102793000002,None,None,339.9102793000002,None,[1.5731163000000379],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
25,0,25,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.92731383428727,1.94858485820231,None,341.7237129999994,None,343.6853030000002,None,343.6853030000002,None,343.69007373000113,None,['z'],343.6853030000002,None,None,345.68980530000044,None,z,1.4436496999987867,0,0,0.38461538461538464,348.61123729999963,None,None,348.61123729999963,None,[1.4436496999987867],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
