trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,1,3,1,b,27,1,4.77723667052879,2.6299100644723,None,351.52932169999985,None,354.14597117999995,354.14597117999995,354.16259077999996,None,[],['b'],[2.8841652000000977],356.14931479999996,None,b,4.884165200000098,1,1,0.6333333333333333,None,360.9265164999997,None,360.9265164999997,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
30,0,30,0,,,,,,,,,,2,1,0,z,63,0,2.666404967794728,1.1243895841892,None,362.72932259999925,None,363.8292486799993,363.8292486799993,363.8459495799999,None,[],['z'],[0.5043556000000535],365.8332362000001,None,z,2.5043556000000535,1,0,0.6451612903225806,None,368.5057683999994,None,368.5057683999994,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
31,0,31,0,,,,,,,,,,1,3,2,b,63,1,2.693348633324513,2.96653053743745,None,370.3127900999998,None,373.26281067999946,373.26281067999946,373.2797783799998,None,[],['b'],[0.46445650000077876],375.26623440000003,None,b,2.4644565000007788,1,1,0.65625,None,377.9688288999996,None,377.9688288999996,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
32,0,32,0,,,,,,,,,,3,2,1,z,9,1,2.433630701072358,3.40155979865722,None,379.7785047999996,None,383.16281438,383.16281438,383.1792401799995,None,[],['z'],[1.454199900000276],385.1684464,None,z,3.454199900000276,1,1,0.6666666666666666,None,387.5969159999995,None,387.5969159999995,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
33,0,33,0,,,,,,,,,,2,1,0,z,63,1,2.92731383428727,1.52290599571961,None,389.39609010000004,None,390.8966742799995,390.8966742799995,390.91260927999986,None,[],['z'],[0.017315500000222528],392.90157629999976,None,z,2.0173155000002225,1,1,0.6764705882352942,None,395.8250189999999,None,395.8250189999999,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
34,0,34,0,,,,,,,,,,0,2,1,b,9,1,2.592312596923728,0.761758675042088,None,397.6288694999994,None,398.36311037999997,398.36311037999997,398.3794970800001,None,[],['b'],[0.3044242000005397],400.3600569,None,b,2.3044242000005397,1,1,0.6857142857142857,None,402.9567113999992,None,402.9567113999992,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
35,0,35,0,,,,,,,,,,3,1,0,b,63,1,3.3728785608729996,1.53122835510861,None,404.76278789999924,None,406.27936048000004,406.27936048000004,406.29620067999997,b,['b'],None,,408.2981325999999,None,b,1.7565566000002946,1,1,0.6944444444444444,None,411.6746108999996,None,411.6746108999996,None,1.7565566000002946,[1.7565566000002946],,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
36,0,36,0,,,,,,,,,,2,0,1,b,63,0,2.629554641171433,1.21250262048173,None,413.4786430999993,None,414.66284517999986,414.66284517999986,414.67937947999974,b,['b'],None,,416.70451389999926,None,b,1.8015851000000112,1,0,0.7027027027027027,None,419.3385638999998,None,419.3385638999998,None,1.8015851000000112,[1.8015851000000112],,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
37,0,37,0,,,,,,,,,,3,0,1,z,63,1,4.12485271162806,1.60731937853708,None,421.14509670000007,None,422.7294812799993,422.7294812799993,422.7461503799997,None,[],['z'],[0.8763037999997323],424.7334455,None,z,2.8763037999997323,1,1,0.7105263157894737,None,428.8704044999995,None,428.8704044999995,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
38,0,38,0,,,,,,,,,,1,1,3,z,27,1,4.61004669244928,1.36309078069689,None,430.67944309999984,None,432.0294943800001,432.0294943800001,432.04608698000004,None,[],['z'],[1.619001300000491],434.03438899999946,None,z,3.619001300000491,1,1,0.717948717948718,None,438.64817369999946,None,438.64817369999946,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
39,0,39,0,,,,,,,,,,0,3,2,z,63,1,3.7500315165247198,1.25817747924478,None,440.46305869999924,None,441.6965656799995,441.6965656799995,441.71260128000006,None,[],['z'],[0.5715468999997029],443.6973693,None,z,2.571546899999703,1,1,0.725,None,447.4562202999996,None,447.4562202999996,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
40,0,40,0,,,,,,,,,,2,0,2,b,27,1,3.35133458220192,3.1963008326951,None,449.2619638999995,None,452.42974728,452.42974728,452.4463114799993,None,[],['b'],[0.5082507000006444],454.4273248999998,None,b,2.5082507000006444,1,1,0.7317073170731707,None,457.7925876999998,None,457.7925876999998,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
41,0,41,0,,,,,,,,,,1,2,3,z,63,1,2.2759877950103027,1.53243550275999,None,459.5960937,None,461.1134253799993,461.1134253799993,461.1295236799998,None,[],['z'],[0.38407200000074226],463.1355283999992,None,z,2.3840720000007423,1,1,0.7380952380952381,None,465.4121978999992,None,465.4121978999992,None,,,,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
42,0,42,0,,,,,,,,,,3,1,3,b,27,0,3.76873691643126,1.78643585472448,None,467.2124954000001,None,468.9795878799997,468.9795878799997,468.9963283799999,b,['b'],None,,471.00729859999956,None,b,1.6284866000005422,1,0,0.7441860465116279,None,474.7625141999997,None,474.7625141999997,None,1.6284866000005422,[1.6284866000005422],,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
43,0,43,0,,,,,,,,,,0,3,2,z,63,1,2.91303524001082,3.33124983260532,None,476.5628737999996,None,479.87881768,479.87881768,479.8952504800001,z,['z'],None,,481.9126781999994,None,z,1.4112464000008913,1,1,0.75,None,484.82894229999965,None,484.82894229999965,None,1.4112464000008913,[1.4112464000008913],,,,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,486.6297061999994,None,,,,,,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.61314330000005,None,None,491.61314330000005,496.59643269999924,,,,,,,,,,CBC_1013,6,6,2,6,16,0.8,2023-06-25_11h49.37.760,MSI_TV_v3,2022.1.1,59.99552433396283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 3, 0, 1]",0.7272727272727273,0.45454545454545453,0.8181818181818182,1.0,,,,,,,,,,,,
