trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.rt,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
36,0,36,0,,,,,,,,,,0,0.0,2.0,r,27.0,1.0,3.35133458220192,3.06992456303453,None,409.3212746999998,None,412.40920539999934,None,412.40920539999934,None,412.40538993000024,None,None,412.40920539999934,None,None,,414.38810289999947,None,[],[],0,3,0.7567567567567568,417.76752919999944,None,['r'],417.76752919999944,None,,[1.211623299999701],,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
37,0,37,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,4.77034425507967,1.64421109900286,None,419.53889399999935,None,421.1915825999995,None,421.1915825999995,None,421.1888690299998,None,None,421.1915825999995,None,None,,423.17233769999984,None,[],[],0,3,0.7368421052631579,427.92792610000015,None,None,427.92792610000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
38,0,38,0,,,,,,,,,,2,0.0,3.0,b,9.0,1.0,4.72585056748869,1.36309078069689,None,429.73812,None,431.10776669999996,None,431.10776669999996,None,431.1062988299996,None,None,431.10776669999996,None,['b'],[0.40459439999904134],433.0891561999997,None,b,2.4045943999990413,1,1,0.7435897435897436,437.7973796999995,None,None,437.7973796999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
39,0,39,0,,,,,,,,,,0,2.0,3.0,b,63.0,0.0,4.61004669244928,1.94858485820231,None,439.6057393000001,None,441.5771916999993,None,441.5771916999993,None,441.5889124399999,None,None,441.5771916999993,None,['r'],[3.5917256000002453],443.5558995000001,None,r,5.591725600000245,0,1,0.725,448.16262219999953,None,None,448.16262219999953,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.2759877950103027,0.952147612306987,None,449.9728465999997,None,450.94361200000003,None,450.94361200000003,None,450.95557274000004,None,['b'],450.94361200000003,None,None,,452.92460070000016,None,b,1.7366489999994883,1,1,0.7317073170731707,455.2135998999993,None,None,455.2135998999993,None,[1.7366489999994883],,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
41,0,41,0,,,,,,,,,,1,2.0,3.0,r,63.0,1.0,2.7134565917469198,1.95130344756745,None,457.02272339999945,None,458.99542609999935,None,458.99542609999935,None,459.00570364000015,None,"['b', 'r']",458.99542609999935,None,None,,460.9919082999995,None,b,0.48867710000013176,0,0,0.7142857142857143,463.71229349999976,None,None,463.71229349999976,None,"[0.48867710000013176, 1.332681899999443]",,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
42,0,42,0,,,,,,,,,,0,3.0,2.0,r,63.0,1.0,3.7500315165247198,1.38289892513751,None,465.52190770000016,None,466.92671019999943,None,466.92671019999943,None,466.9228539299998,None,None,466.92671019999943,None,['r'],[0.9773687000006248],468.90581119999933,None,r,2.977368700000625,1,1,0.7209302325581395,472.6433471,None,None,472.6433471,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
43,0,43,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.82320408183943,3.33124983260532,None,474.4565944999995,None,477.8072431999999,None,477.8072431999999,None,477.8054956299998,None,None,477.8072431999999,None,['b'],[1.0244339999999283],479.7895473999997,None,b,3.0244339999999283,1,1,0.7272727272727273,482.60052670000005,None,None,482.60052670000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.9299019000000044,484.4061592999997,None,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.4060138999994,None,None,489.4060138999994,None,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,b,easy,"[0, 1, 2, 3]","[2, 3, 0, 1]",0.8181818181818182,0.8181818181818182,0.8181818181818182,0.45454545454545453,32,2,10,,,,,,,,,,,,
