trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,48.87556120000045,None,t,58.58686719999969,48.87556120000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
,,,,,,,,,,None,107.49417200000062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.2062024266105302,1.64421109900286,None,107.70937420000064,None,109.32721778999993,109.32721778999993,109.34413358999981,None,[],['z'],[1.7201052999998865],111.33665870000004,None,z,3.7201052999998865,0,0,0.0,None,114.58194040000035,None,114.58194040000035,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.91303524001082,0.952147612306987,None,116.36044450000009,None,117.29395549000046,117.29395549000046,117.31095869000009,None,[],['b'],[0.5333770999995977],119.30001590000029,None,b,2.5333770999995977,1,1,0.5,None,122.24246829999993,None,122.24246829999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.7134565917469198,1.21250262048173,None,124.04391959999975,None,125.22744488999987,125.22744488999987,125.24408408999997,None,[],['z'],[0.6949885000003633],127.23373790000005,None,z,2.6949885000003633,1,1,0.6666666666666666,None,129.94878860000063,None,129.94878860000063,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.666404967794728,3.40155979865722,None,131.7603568000004,None,135.14400789000055,135.14400789000055,135.16073738999975,None,[],['b'],[0.7262222999997903],137.15033519999997,None,b,2.7262222999997903,0,0,0.5,None,139.84298300000046,None,139.84298300000046,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
4,0,4,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.7533305109883095,2.78346932462847,None,141.6437673999999,None,144.41078239000043,144.41078239000043,144.42737679000047,None,[],['z'],[1.249236199999359],146.41528180000023,None,z,3.249236199999359,0,0,0.4,None,151.16851210000004,None,151.16851210000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
5,0,5,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.342239579230602,3.33124983260532,None,152.9775080999998,None,156.29334369000034,156.29334369000034,156.31027409000043,None,[],None,,158.29089490000024,None,None,[],0,3,0.3333333333333333,None,160.68418930000007,None,160.68418930000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.517541937862754,0.80788063606262,None,162.4440728999998,None,163.22738399,163.22738399,163.2441859900001,None,[],['z'],[1.5279688000000533],165.22966840000026,None,z,3.5279688000000533,0,0,0.2857142857142857,None,167.7572495000004,None,167.7572495000004,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.26539063535182,2.40378712856304,None,169.5607060000002,None,171.94413729000016,171.94413729000016,171.96052848999997,None,[],['z'],[1.3653124000002208],173.95460679999997,None,z,3.365312400000221,1,1,0.375,None,177.2231627000001,None,177.2231627000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,2,6,2,3,12,0.95,2024-07-26_14h50.42.748,MSI_TV_v3,2022.1.1,59.97817993836671,
