trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,1.90573091,2.495793893,None,564.8712887000002,None,567.3622031000014,None,567.3622031000014,None,567.3716730300011,None,None,,567.3622031000014,None,['z'],569.3554981000016,None,z,2.018983099998877,1,1,0.5263157894736842,571.2441777000004,None,None,571.2441777000004,None,[0.01898309999887715],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
38,0,38,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,1.874984683,0.971483559,None,573.2553863000012,None,574.2421084000016,None,574.2421084000016,None,574.2391993300016,None,None,,574.2421084000016,None,['b'],576.2219452000008,None,b,2.044365199999447,1,1,0.5384615384615384,578.0792218000006,None,None,578.0792218000006,None,[0.044365199999447213],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
39,0,39,0,,,,,,,,,,0,3.0,2.0,z,63.0,0.0,1.219965572,1.313600181,None,580.0884955000001,None,581.4287462000011,None,581.4287462000011,None,581.438814340001,None,None,,581.4287462000011,None,None,583.4055455000016,None,[],[],0,3,0.525,584.6114538000002,None,None,584.6114538000002,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
40,0,40,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,2.208904638,1.84422311,None,586.6228234999999,None,588.4797337,None,588.4797337,None,588.488918340001,None,['b'],[1.2475477000007231],588.4797337,None,None,590.4583694000012,None,b,1.2475477000007231,1,1,0.5365853658536586,592.6610688000001,None,None,592.6610688000001,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
41,0,41,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.309752164,3.274187802,None,594.6722625000002,None,597.9604253000016,None,597.9604253000016,None,597.9722454400016,None,['z'],[1.6744278999995004],597.9604253000016,None,None,599.9585953000005,None,z,1.6744278999995004,1,1,0.5476190476190477,604.2796939,None,None,604.2796939,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
42,0,42,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,1.556335756,2.210349838,None,606.2888735000015,None,608.4924545000013,None,608.4924545000013,None,608.504623830001,None,['b'],[1.8840321999996377],608.4924545000013,None,None,610.4906398000003,None,b,1.8840321999996377,1,1,0.5581395348837209,612.0625727000006,None,None,612.0625727000006,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
43,0,43,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,4.268032915,2.407383959,None,614.0721959000002,None,616.4925313000003,None,616.4925313000003,None,616.4889538300004,None,None,,616.4925313000003,None,['z'],618.4723531,None,z,2.465937799999665,1,1,0.5681818181818182,622.7268819000001,None,None,622.7268819000001,None,[0.465937799999665],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,624.7390811000005,None,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.7390488000001,None,None,629.7390488000001,None,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 2, 0, 3]",0.2727272727272727,0.18181818181818182,1.0,0.8181818181818182,,,,,,,,,,,,
