trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,327.98757430000023,None,t,67.06733040000017,327.98757430000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
,,,,,,,,,,None,395.0812120999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
0,0,0,0,,,,,,,,,,3,1,0,b,63,1,3.68371079902891,1.43470440954152,None,395.28126370000064,None,396.69810593999983,396.69810593999983,396.71472894000027,None,[],['z'],[0.08910120000018651],398.69330590000027,None,z,2.0891012000001865,0,0,0.0,None,402.3998026999998,None,402.3998026999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
1,0,1,0,,,,,,,,,,0,3,2,b,63,1,2.6391747348430608,0.952147612306987,None,404.19697799999994,None,405.1312204400004,405.1312204400004,405.1478482400001,None,[],"['b', 'b']","[0.9427248000001782, 1.6338777999999365]",407.13124250000055,None,b,2.942724800000178,1,1,0.5,None,409.7722844,None,409.7722844,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
2,0,2,0,,,,,,,,,,3,3,1,z,27,1,4.190022164497369,0.80788063606262,None,411.5805035000003,None,412.3646466399999,412.3646466399999,412.3811038400002,None,[],"['b', 'b', 'b']","[0.8738571999992928, 1.2314997999992556, 1.5398049999994328]",414.3584375999999,None,b,2.873857199999293,0,0,0.3333333333333333,None,418.5510148000003,None,418.5510148000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
3,0,3,0,,,,,,,,,,1,2,3,b,63,1,2.82320408183943,1.78643585472448,None,420.3646699000001,None,422.1303167400004,422.1303167400004,422.1469662399998,None,[],['z'],[0.4228047999995397],424.1220364999999,None,z,2.4228047999995397,0,0,0.25,None,426.9399080000003,None,426.9399080000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
4,0,4,0,,,,,,,,,,1,0,2,z,27,1,4.61004669244928,2.15533949826702,None,428.7479609000002,None,430.8815145399997,430.8815145399997,430.89819584000026,None,[],['b'],[0.06181769999966491],432.8823796000006,None,b,2.061817699999665,0,0,0.2,None,437.49454980000064,None,437.49454980000064,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
5,0,5,0,,,,,,,,,,2,0,3,b,9,1,3.71372710086949,1.96568735158996,None,439.29821249999986,None,441.24795914,441.24795914,441.2647193400001,None,[],['z'],[1.4376205999997183],443.2475209000004,None,z,3.4376205999997183,0,0,0.16666666666666666,None,446.95836750000035,None,446.95836750000035,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
6,0,6,0,,,,,,,,,,1,2,3,b,63,1,2.92731383428727,1.38289892513751,None,448.7647857000002,None,450.1302853400005,450.1302853400005,450.14694794000053,b,['b'],None,,452.15921140000046,None,b,1.68314349999946,1,1,0.2857142857142857,None,455.08047799999986,None,455.08047799999986,None,1.68314349999946,[1.68314349999946],,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
7,0,7,0,,,,,,,,,,2,1,0,z,63,1,2.91303524001082,1.60731937853708,None,456.88139219999994,None,458.4648116400006,458.4648116400006,458.4813719400002,None,[],"['b', 'b', 'b', 'b']","[0.5790135999995982, 0.958597999999256, 1.2676472999992257, 1.5668167999992875]",460.4589888999999,None,b,2.5790135999995982,0,0,0.25,None,463.3881046000006,None,463.3881046000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,4,1,3,1,17,0.95,2023-07-28_15h11.50.359,MSI_TV_v3,2022.1.1,59.64469654273084,
