trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
;;;;88.7895961;None;t;57.5791298;88.7895961;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
;;;;;;;;;;None;146.3882759;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
0;0;0;0;;;;;;;;;;0;0;1;z;63;1;4.825318072;1.363090781;None;146.5882874;None;147.9371984;147.9371984;147.9544551;None;[];['b'];[0.30246190000070783];149.9342653;None;b;2.3024619;0;0;0;None;154.7670347;None;154.7670347;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
1;0;1;0;;;;;;;;;;3;0;1;b;63;1;4.400172715;2.155339498;None;156.5713666;None;158.7050805;158.7050805;158.7216756;None;[];['b'];[0.6774855999992724];160.7080123;None;b;2.6774856;1;1;0.5;None;165.1121187;None;165.1121187;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
2;0;2;0;;;;;;;;;;2;2;3;z;63;1;2.927313834;0.777036402;None;166.9220051;None;167.671742;167.671742;167.6883471;None;[];['b'];[0.5760500000014872];169.6728465;None;b;2.57605;0;0;0.333333333;None;172.6052875;None;172.6052875;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
3;0;3;0;;;;;;;;;;0;2;1;z;9;1;3.022342361;3.069924563;None;174.4049228;None;177.4550455;177.4550455;177.4724801;None;[];['b'];[0.5355877000001783];179.4590993;None;b;2.5355877;0;0;0.25;None;182.4890744;None;182.4890744;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
4;0;4;0;;;;;;;;;;3;0;2;b;27;1;3.768736916;3.331249833;None;184.28833;None;187.6051711;187.6051711;187.6218206;None;[];['b'];[0.6058723000023747];189.6077821;None;b;2.6058723;1;1;0.4;None;193.3873325;None;193.3873325;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
5;0;5;0;;;;;;;;;;1;2;3;b;63;1;2.666404968;1.531228355;None;195.1888534;None;196.7042753;196.7042753;196.7211461;None;[];['z'];[0.5756628000017372];198.6995976;None;z;2.5756628;0;0;0.333333333;None;201.3676334;None;201.3676334;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
6;0;6;0;;;;;;;;;;2;1;3;z;27;1;2.342239579;1.21250262;None;203.1719072;None;204.3707339;204.3707339;204.3880522;None;[];['z'];[0.9212902000017493];206.3665934;None;z;2.9212902;1;1;0.428571429;None;208.70684;None;208.70684;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
7;0;7;0;;;;;;;;;;3;1;0;z;63;1;2.629554641;1.786435855;None;210.5218844;None;212.2886551;212.2886551;212.3051247;z;['z'];None;;214.3294286;None;z;1.3729785;1;1;0.5;None;216.9661798;None;216.9661798;None;1.3729785;[1.372978500001409];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
8;0;8;0;;;;;;;;;;1;2;0;b;27;1;4.753330511;3.196300833;None;218.7719769;None;221.9385766;221.9385766;221.9554878;None;[];['b'];[0.524361100000533];223.9418456;None;b;2.5243611;1;1;0.555555556;None;228.69852;None;228.69852;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
