trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,326.4605815,None,t,65.24925100000019,326.4605815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
,,,,,,,,,,None,391.7320391999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
0,0,0,0,,,,,,,,,,1,1,0,z,63,1,3.3728785608729996,2.09887870490381,None,391.9322054999998,None,394.01474062999966,394.01474062999966,394.03158472999974,b,['b'],1.799101100000371,[1.799101100000371],None,396.05197169999974,None,b,1.799101100000371,0,0,0.0,None,399.49561559999984,None,399.49561559999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
1,0,1,0,,,,,,,,,,0,3,2,b,63,1,3.2062024266105302,1.18065738546375,None,401.24875109999994,None,402.4152966299997,402.4152966299997,402.43213152999977,z,['z'],1.7874228000000585,[1.7874228000000585],None,404.4579755,None,z,1.7874228000000585,0,0,0.0,None,407.6585424,None,407.6585424,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,2.678526077912375,0.77703640172831,None,409.4654300999996,None,410.2154987299999,410.2154987299999,410.23221742999965,z,['z'],1.9500685000002704,[1.9500685000002704],None,412.2349543999999,None,z,1.9500685000002704,0,0,0.0,None,414.92633109999997,None,414.92633109999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
3,0,3,0,,,,,,,,,,1,1,0,z,63,1,3.31929419319838,1.12425433982333,None,416.73209419999966,None,417.8322637299997,417.8322637299997,417.8488600299996,None,[],,,['b'],419.8375188,None,b,2.2867215000001124,0,0,0.0,None,423.1603348999997,None,423.1603348999997,None,[0.28672150000011243],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
4,0,4,0,,,,,,,,,,3,3,1,z,27,1,2.496959177995529,3.1963008326951,None,424.9646700999997,None,428.1320806299999,428.1320806299999,428.1487780299998,None,[],,,['b'],430.1300683999998,None,b,2.9129132000002755,0,0,0.0,None,432.62535709999975,None,432.62535709999975,None,[0.9129132000002755],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,4.12485271162806,1.43470440954152,None,434.4323242999999,None,435.84886252999956,435.84886252999956,435.8657227299999,z,['z'],1.9728988000001664,[1.9728988000001664],None,437.8912585999997,None,z,1.9728988000001664,0,0,0.0,None,442.00918509999974,None,442.00918509999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
6,0,6,0,,,,,,,,,,0,2,3,z,63,1,2.342239579230602,3.33124983260532,None,443.81560649999983,None,447.13212372999976,447.13212372999976,447.14858452999977,None,[],,,['z'],449.1352777999996,None,z,2.282455700000355,1,1,0.14285714285714285,None,451.5318645999996,None,451.5318645999996,None,[0.28245570000035514],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
7,0,7,0,,,,,,,,,,3,1,0,b,63,1,3.76873691643126,2.49839527409216,None,453.29864739999994,None,455.76505382999983,455.76505382999983,455.78147712999987,b,['b'],1.6397400000000744,[1.6397400000000744],None,457.8011647999997,None,b,1.6397400000000744,1,1,0.25,None,461.57651699999997,None,461.57651699999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
