trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,210.97316050001245,None,t,62.27352119999705,210.97316050001245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
,,,,,,,,,,None,273.27730780000275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
0,0,0,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.2759877950103027,3.33124983260532,None,273.4771936000034,None,276.98025450001296,None,276.98025450001296,None,276.9764490200032,None,['z'],[1.4763165999902412],276.98025450001296,None,None,278.8256604000053,None,z,1.4763165999902412,0,0,0.0,281.11121250000724,None,None,281.11121250000724,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
1,0,1,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.7134565917469198,3.1424449555106,None,282.9094977000059,None,286.1182923000015,None,286.1182923000015,None,286.126710620003,None,None,,286.1182923000015,None,"['z', 'b']",288.0435507000075,None,z,2.3050453000032576,1,1,0.5,290.73578960000305,None,None,290.73578960000305,None,"[0.3050453000032576, 1.0528847999958089]",,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
2,0,2,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,3.6438386551209,0.761758675042088,None,292.5438728000008,None,293.320234800005,None,293.320234800005,None,293.32653938000294,None,['z'],[1.6465528999979142],293.320234800005,None,None,295.33133860000817,None,z,1.6465528999979142,0,0,0.3333333333333333,298.98311240000476,None,None,298.98311240000476,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.526044641065533,1.43470440954152,None,300.7927550000022,None,302.2762863000098,None,302.2762863000098,None,302.2770139000131,None,None,,302.2762863000098,None,['b'],304.2269953000068,None,b,2.002011799995671,1,1,0.5,306.75197010001284,None,None,306.75197010001284,None,[0.0020117999956710264],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
4,0,4,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.678526077912375,2.22427187882546,None,308.55949100000726,None,310.7839857000072,None,310.7839857000072,None,310.79324608000024,None,['z'],[1.4165764000063064],310.7839857000072,None,None,312.79544890001125,None,z,1.4165764000063064,1,1,0.6,315.4796836000023,None,None,315.4796836000023,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.31929419319838,1.52290599571961,None,317.2939677000104,None,318.8128166000097,None,318.8128166000097,None,318.80934142001206,None,None,,318.8128166000097,None,None,320.7940055000072,None,[],[],0,3,0.5,324.098962700009,None,['b'],324.098962700009,None,,[0.22524679999332875],,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
6,0,6,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,3.3728785608729996,1.21250262048173,None,325.91034720001335,None,327.1756461000041,None,327.1756461000041,None,327.1768239000012,None,['b'],[1.498660800003563],327.1756461000041,None,None,329.14863470000273,None,b,1.498660800003563,1,1,0.5714285714285714,332.51848040000186,None,None,332.51848040000186,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
7,0,7,0,,,,,,,,,,2,1.0,2.0,z,9.0,1.0,4.40017271499661,0.952147612306987,None,334.3274483000132,None,335.2974060000124,None,335.2974060000124,None,335.2939385800055,None,['b'],[1.4560318000003463],335.2974060000124,None,None,337.290239000009,None,b,1.4560318000003463,0,0,0.5,341.6930376000091,None,None,341.6930376000091,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
8,0,8,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.792365600763554,1.53122835510861,None,343.49417689999973,None,345.04740950000996,None,345.04740950000996,None,345.04374048001046,None,None,,345.04740950000996,None,['z'],347.02635120000923,None,z,4.7245550000079675,1,1,0.5555555555555556,349.82260260000476,None,None,349.82260260000476,None,[2.7245550000079675],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.12485271162806,1.1243895841892,None,351.62723820000247,None,352.76469070000167,None,352.76469070000167,None,352.7604173800137,None,['z'],[1.7445652000023983],352.76469070000167,None,None,354.74779140000464,None,z,1.7445652000023983,0,0,0.5,358.8684110000031,None,None,358.8684110000031,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
10,0,10,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.82320408183943,1.94858485820231,None,360.67688830000407,None,362.65265290001116,None,362.65265290001116,None,362.6606150400039,None,None,,362.65265290001116,None,['b'],364.62646840000525,None,b,2.980117099999916,1,1,0.5454545454545454,367.4458793000085,None,None,367.4458793000085,None,[0.9801170999999158],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,003,5,2,6,19,0.95,2024-08-09_17h20.03.010,MSI_AV_v3,2022.1.1,60.003120161558364,
