trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,4.77723667052879,2.49839527409216,None,582.2329929999996,None,584.7167425799998,584.7167425799998,584.7337653799996,None,[],['b'],[0.5740737000005538],586.7244879,None,b,2.574073700000554,0,0,0.3793103448275862,None,591.5080000999997,None,591.5080000999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
29,0,29,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.629554641171433,1.64421109900286,None,593.3170401999996,None,594.9331207799996,594.9331207799996,594.9504841799999,None,[],None,,596.9390939000004,None,None,[],0,3,0.36666666666666664,None,599.5621944000004,['z'],599.5621944000004,None,,,[0.3117165000003297],,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
30,0,30,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.592312596923728,1.43470440954152,None,601.3664522999998,None,602.7829581799997,602.7829581799997,602.7996824800002,None,[],None,,604.7895191999996,None,None,[],0,3,0.3548387096774194,None,607.3770151999997,None,607.3770151999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
31,0,31,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,4.01714354611405,3.40155979865722,None,609.1831539000004,None,612.5662060799996,612.5662060799996,612.5831751799997,None,[],['z'],[0.581656500000463],614.5703966000001,None,z,2.581656500000463,1,1,0.375,None,618.5838372999997,None,618.5838372999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
32,0,32,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.693348633324513,1.38289892513751,None,620.3833138,None,621.7501811800003,621.7501811800003,621.7668227799995,None,[],None,,623.7560950999996,None,None,[],0,3,0.36363636363636365,None,626.4437625999999,['z'],626.4437625999999,None,,,[1.0027485000000524],,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
33,0,33,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.52047235037039,1.25920145784721,None,628.2498808,None,629.48325088,629.48325088,629.49990738,z,['z'],None,,631.5276592999999,None,z,1.3335282999996707,1,1,0.38235294117647056,None,636.0629844000005,None,636.0629844000005,None,1.3335282999996707,[1.3335282999996707],,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
34,0,34,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.792365600763554,2.78346932462847,None,637.8666718000004,None,640.63326228,640.63326228,640.6500615799996,None,[],None,,642.6362152000002,None,None,[],0,3,0.37142857142857144,None,645.4247880000003,None,645.4247880000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
35,0,35,0,,,,,,,,,,2,2.0,1.0,b,9.0,1.0,4.46924002178158,3.33124983260532,None,647.2331725000004,None,650.5500724800004,650.5500724800004,650.5666393800002,z,['z'],None,,652.5964131999999,None,z,1.2378085000000283,0,0,0.3611111111111111,None,657.0783805000001,None,657.0783805000001,None,1.2378085000000283,[1.2378085000000283],,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
36,0,36,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.526044641065533,1.36309078069689,None,658.8832592999997,None,660.2170619799999,660.2170619799999,660.2330980799998,None,[],['b'],[0.7372057000002314],662.2202398999998,None,b,2.7372057000002314,1,1,0.3783783783783784,None,664.7406868999997,None,664.7406868999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
37,0,37,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.68371079902891,0.974903167432984,None,666.5501383999999,None,667.5000425799999,667.5000425799999,667.5167533800004,None,[],['z'],[0.49020070000005944],669.5051746999998,None,z,2.4902007000000594,1,1,0.39473684210526316,None,673.1812375999998,None,673.1812375999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
38,0,38,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.61004669244928,2.22427187882546,None,674.9832931999999,None,677.1834367800002,677.1834367800002,677.2000542799997,None,[],['z'],[0.7134672000001956],679.1881675000004,None,z,2.7134672000001956,0,0,0.38461538461538464,None,683.7878615999998,None,683.7878615999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
39,0,39,0,,,,,,,,,,2,3.0,2.0,z,63.0,0.0,4.40017271499661,1.90743690794447,None,685.6003093999998,None,687.4832291800003,687.4832291800003,687.49984898,None,[],['z'],[1.8615248000005522],689.4893510000002,None,z,3.861524800000552,1,0,0.4,None,693.8942422999999,None,693.8942422999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
40,0,40,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,2.294664843639333,1.53243550275999,None,695.6999487000003,None,697.2170169800002,697.2170169800002,697.2334366799996,None,[],['b'],[1.1140700000005381],699.2234700999998,None,b,3.114070000000538,1,1,0.4146341463414634,None,701.5185506999997,None,701.5185506999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
41,0,41,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.342239579230602,0.917519910446003,None,703.3333548,None,704.2335118800002,704.2335118800002,704.2500693800002,None,[],['z'],[1.267423900000722],706.2404124000004,None,z,3.267423900000722,1,1,0.42857142857142855,None,708.5755606000002,None,708.5755606000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
42,0,42,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.82531807167306,2.96653053743745,None,710.3838716,None,713.3334738800004,713.3334738800004,713.3500711799998,None,[],['z'],[0.9350856000000931],715.3409411000002,None,z,2.935085600000093,0,0,0.4186046511627907,None,720.1665488999997,None,720.1665488999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
43,0,43,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.76873691643126,1.95130344756745,None,721.9666955000002,None,723.9001879799998,723.9001879799998,723.9165694800004,None,[],None,,725.9029235999997,None,None,[],0,3,0.4090909090909091,None,729.6605826000005,None,729.6605826000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,731.4668961999996,None,,,,,,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.4502995000003,None,None,736.4502995000003,741.4332672999999,,,,,,,,,,,,,CBC_1138,001,4,3,4,19,0.95,2024-07-24_14h19.30.560,MSI_TV_v3,2022.1.1,60.119312788352005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 0, 2, 1]",0.36363636363636365,0.45454545454545453,0.2727272727272727,0.5454545454545454,18,6,20,,,,,,,,,,,,
