trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,224.63606460000028,None,t,66.4046729999991,224.63606460000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
,,,,,,,,,,None,291.0669429999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
0,0,0,0,,,,,,,,,,3,1,0,b,63,1,3.71372710086949,2.49839527409216,None,291.26687260000017,None,293.92648439999994,None,293.92648439999994,None,293.93340532000116,None,None,293.92648439999994,None,['b'],[2.6197339000000284],295.7672781000001,None,b,4.619733900000028,1,1,1.0,299.4936308000006,None,None,299.4936308000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
1,0,1,0,,,,,,,,,,2,3,2,b,63,1,2.294664843639333,1.18065738546375,None,301.30038090000016,None,302.5716233000003,None,302.5716233000003,None,302.5670391700007,None,None,302.5716233000003,None,['b'],[0.6062857999995686],304.4836731000005,None,b,2.6062857999995686,1,1,1.0,306.7679334000004,None,None,306.7679334000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
2,0,2,0,,,,,,,,,,3,3,1,z,27,1,3.3728785608729996,1.53122835510861,None,308.5830364000003,None,310.1206409000006,None,310.1206409000006,None,310.11666893000057,None,None,310.1206409000006,None,['z'],[0.5004070999993928],312.10012110000025,None,z,2.500407099999393,1,1,1.0,315.4692319000005,None,None,315.4692319000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
3,0,3,0,,,,,,,,,,0,2,3,b,63,1,4.77723667052879,0.974903167432984,None,317.28379060000043,None,318.29513450000013,None,318.29513450000013,None,318.30017235000014,None,None,318.29513450000013,None,['z'],[0.3490209000001414],320.2500458000004,None,z,2.3490209000001414,0,0,0.75,325.02496820000033,None,None,325.02496820000033,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
4,0,4,0,,,,,,,,,,0,0,2,z,27,1,2.678526077912375,2.09887870490381,None,326.83335570000054,None,328.94085540000015,None,328.94085540000015,None,328.9494728300004,None,['b'],328.94085540000015,None,None,,330.92433770000025,None,b,1.5399707999995371,0,0,0.6,333.6052567000006,None,None,333.6052567000006,None,[1.5399707999995371],,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
5,0,5,0,,,,,,,,,,1,0,3,b,9,1,3.73326136168326,1.94858485820231,None,335.4171210000004,None,337.40241140000035,None,337.40241140000035,None,337.40014814000045,None,None,337.40241140000035,None,['b'],[0.7294998999996096],339.36611580000044,None,b,2.7294998999996096,1,1,0.6666666666666666,343.0783007,None,None,343.0783007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
6,0,6,0,,,,,,,,,,0,2,3,b,63,1,4.11514536789087,2.10421507306074,None,344.8840994000002,None,346.9852286000005,None,346.9852286000005,None,346.98238152,None,None,346.9852286000005,None,['z'],[0.4288563999989492],348.96664320000036,None,z,2.428856399998949,0,0,0.5714285714285714,353.06993630000034,None,None,353.06993630000034,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
7,0,7,0,,,,,,,,,,1,1,0,z,63,1,4.61004669244928,1.64421109900286,None,354.88304270000026,None,356.54144090000045,None,356.54144090000045,None,356.55046824000095,None,None,356.54144090000045,None,['z'],[0.015475799999876472],358.5171831000007,None,z,2.0154757999998765,1,1,0.625,363.1263723000002,None,None,363.1263723000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
8,0,8,0,,,,,,,,,,2,2,3,z,63,1,2.2759877950103027,1.53243550275999,None,364.9331651000002,None,366.4693120000002,None,366.4693120000002,None,366.4668496300008,None,None,366.4693120000002,None,['b'],[0.497358699999495],368.4501682,None,b,2.497358699999495,0,0,0.5555555555555556,370.7140530000006,None,None,370.7140530000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
9,0,9,0,,,,,,,,,,0,3,2,z,63,1,4.12485271162806,1.21250262048173,None,372.5161200000002,None,373.740237,None,373.740237,None,373.75061024000064,None,None,373.740237,None,['b'],[0.5479687999995804],375.7171201000001,None,b,2.5479687999995804,0,0,0.5,379.8299689000005,None,None,379.8299689000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
10,0,10,0,,,,,,,,,,2,3,1,b,27,1,4.53337421950507,1.95130344756745,None,381.63385610000023,None,383.6077267999999,None,383.6077267999999,None,383.6172083400001,None,None,383.6077267999999,None,['z'],[0.9332447999995566],385.5826366000001,None,z,2.9332447999995566,0,0,0.45454545454545453,390.1092462000006,None,None,390.1092462000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
11,0,11,0,,,,,,,,,,1,0,1,b,63,0,2.693348633324513,1.60731937853708,None,391.91726629999994,None,393.54010000000017,None,393.54010000000017,None,393.5504177400002,None,['b'],393.54010000000017,None,None,,395.52255760000025,None,b,1.559849999999642,1,0,0.5,398.19931350000024,None,None,398.19931350000024,None,[1.559849999999642],,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
12,0,12,0,,,,,,,,,,0,3,2,z,63,1,2.629554641171433,2.22427187882546,None,400.0003690000003,None,402.2396475000005,None,402.2396475000005,None,402.25028074000096,None,None,402.2396475000005,None,['b'],[0.6528801999993448],404.2171377000004,None,b,2.6528801999993448,0,0,0.46153846153846156,406.84713290000036,None,None,406.84713290000036,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
13,0,13,0,,,,,,,,,,1,2,0,z,27,1,3.02234236141277,1.38289892513751,None,408.6499837000001,None,410.0578108999998,None,410.0578108999998,None,410.0670664400008,None,None,410.0578108999998,None,['z'],[0.006167099999402126],412.0335248000001,None,z,2.006167099999402,1,1,0.5,415.0453756000006,None,None,415.0453756000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
14,0,14,0,,,,,,,,,,3,1,0,b,63,1,4.52047235037039,1.43470440954152,None,416.85072540000056,None,418.3061312,None,418.3061312,None,418.3004422300008,None,None,418.3061312,None,['b'],[0.001666299999669718],420.2838023000004,None,b,2.0016662999996697,1,1,0.5333333333333333,424.7932369,None,None,424.7932369,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
15,0,15,0,,,,,,,,,,2,2,3,z,63,1,2.592312596923728,1.34668860557497,None,426.59923440000057,None,427.9560799000001,None,427.9560799000001,None,427.95066343000036,None,None,427.9560799000001,None,['b'],[1.0143923999994513],429.9344329000005,None,b,3.0143923999994513,0,0,0.5,432.5235014,None,None,432.5235014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
16,0,16,0,,,,,,,,,,3,2,1,z,9,1,3.6438386551209,0.917519910446003,None,434.3328076000007,None,435.26973350000026,None,435.26973350000026,None,435.2670253300001,None,['z'],435.26973350000026,None,None,,437.2666605000004,None,z,1.9424036999998862,1,1,0.5294117647058824,440.90922500000033,None,None,440.90922500000033,None,[1.9424036999998862],,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
17,0,17,0,,,,,,,,,,2,3,1,b,27,1,4.77034425507967,1.12425433982333,None,442.7172616000007,None,443.85356409999986,None,443.85356409999986,None,443.8507882300008,None,None,443.85356409999986,None,['b'],[0.675074400000085],445.8342947000001,None,b,2.675074400000085,1,1,0.5555555555555556,450.5955799000003,None,None,450.5955799000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
18,0,18,0,,,,,,,,,,1,1,0,z,63,1,2.92731383428727,3.1424449555106,None,452.4003510000002,None,455.5540522000001,None,455.5540522000001,None,455.55048793000043,None,None,455.5540522000001,None,['z'],[0.5252180999996199],457.5342347000005,None,z,2.52521809999962,1,1,0.5789473684210527,460.45204830000057,None,None,460.45204830000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
19,0,19,0,,,,,,,,,,1,0,1,b,63,1,2.342239579230602,0.979776149765883,None,462.2659328,None,463.2538957000006,None,463.2538957000006,None,463.25043633000024,None,None,463.2538957000006,None,['b'],[0.4757953999996971],465.233647,None,b,2.475795399999697,1,1,0.6,467.55889600000046,None,None,467.55889600000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
20,0,20,0,,,,,,,,,,0,0,2,z,27,1,4.82531807167306,2.78346932462847,None,469.36800780000067,None,472.1701339000001,None,472.1701339000001,None,472.16715903000005,None,['z'],472.1701339000001,None,None,,474.1662247000004,None,z,1.598946000000069,1,1,0.6190476190476191,478.9859118000004,None,None,478.9859118000004,None,[1.598946000000069],,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
21,0,21,0,,,,,,,,,,3,1,0,b,63,1,2.517541937862754,1.27538462653558,None,480.80090220000056,None,482.0834713000004,None,482.0834713000004,None,482.08338113000065,None,None,482.0834713000004,None,['b'],[0.049254499999733525],484.06714660000034,None,b,2.0492544999997335,1,1,0.6363636363636364,486.5834196000005,None,None,486.5834196000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
22,0,22,0,,,,,,,,,,0,0,2,z,27,1,2.433630701072358,3.24569326556923,None,488.38402080000014,None,491.6553893,None,491.6553893,None,491.6509318300003,None,None,491.6553893,None,['z'],[0.028207299999849056],493.63420360000055,None,z,2.028207299999849,1,1,0.6521739130434783,496.0483167000002,None,None,496.0483167000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1129,002,3,1,1,10,0.95,2024-09-25_15h04.08.990,MSI_AV_v3,2022.1.1,59.763182413380974,
