trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,38.31176020000203,None,t,59.3507314999988,38.31176020000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
,,,,,,,,,,None,97.69382980000228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,4.40017271499661,3.40155979865722,None,97.89398190000065,None,101.27708029000277,101.27708029000277,101.29353858999966,None,[],['z'],[0.3615277999997488],103.28714820000096,None,z,2.361527799999749,1,1,1.0,None,107.69180600000254,None,107.69180600000254,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,4.77034425507967,2.6299100644723,None,109.49279100000058,None,112.09278329000298,112.09278329000298,112.10964869000017,None,[],['z'],[1.9980481999955373],114.08946890000152,None,z,3.9980481999955373,1,1,1.0,None,118.8597925000031,None,118.8597925000031,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
2,0,2,0,,,,,,,,,,0,0,2,b,27,1,3.26539063535182,1.12425433982333,None,120.66061360000094,None,121.7606803900031,121.7606803900031,121.77731649000052,None,[],"['z', 'b']","[0.6808839999976044, 1.5167234999971697]",123.76544190000277,None,z,2.6808839999976044,0,0,0.6666666666666666,None,127.034589400002,None,127.034589400002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
3,0,3,0,,,,,,,,,,3,1,0,b,63,1,3.6438386551209,1.1243895841892,None,128.8440150000024,None,129.9428155900001,129.9428155900001,129.95948119000022,None,[],['b'],[1.4018440999971062],131.9385344000002,None,b,3.4018440999971062,1,1,0.75,None,135.58247269999993,None,135.58247269999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
4,0,4,0,,,,,,,,,,2,2,3,z,63,1,4.01714354611405,2.49839527409216,None,137.39317070000106,None,139.85973368999984,139.85973368999984,139.87650219000133,None,[],['z'],[2.34453979999671],141.8551109,None,z,4.34453979999671,1,1,0.8,None,145.8659613000018,None,145.8659613000018,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
5,0,5,0,,,,,,,,,,3,1,2,b,9,1,3.2062024266105302,1.78643585472448,None,147.67657250000047,None,149.44388649000174,149.44388649000174,149.46042518999965,None,[],['b'],[2.5949698999975226],151.44801790000201,None,b,4.594969899997523,1,1,0.8333333333333334,None,154.66830800000025,None,154.66830800000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
6,0,6,0,,,,,,,,,,2,1,3,z,27,1,3.71372710086949,0.917519910446003,None,156.47734830000263,None,157.3771757900009,157.3771757900009,157.39380529000263,None,[],['z'],[0.7155749999983527],159.38099910000165,None,z,2.7155749999983527,1,1,0.8571428571428571,None,163.09598390000247,None,163.09598390000247,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
7,0,7,0,,,,,,,,,,0,1,0,z,63,1,4.7533305109883095,1.90743690794447,None,164.91075990000172,None,166.7941705900026,166.7941705900026,166.81082179000222,None,[],['z'],[1.0121383999976388],168.80037660000016,None,z,3.0121383999976388,1,1,0.875,None,173.53724990000046,None,173.53724990000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1029,4,3,1,4,4,0.95,2023-07-21_17h25.06.255,MSI_TV_v3,2022.1.1,60.00657672155068,
