trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,2,0,2,z,27,1,3.71372710086949,2.40378712856304,None,383.48621029999777,None,385.86971615000004,385.86971615000004,385.88632635000033,None,[],['z'],[0.393412299999909],387.8758894999992,None,z,2.393412299999909,1,1,0.8055555555555556,None,391.5914706000003,None,391.5914706000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
36,0,36,0,,,,,,,,,,0,1,0,z,63,1,2.592312596923728,1.60731937853708,None,393.40236189999996,None,394.9849413499993,394.9849413499993,395.0013850499978,None,[],['z'],[0.7452986999996938],396.9810288000008,None,z,2.745298699999694,1,1,0.8108108108108109,None,399.5658268999978,None,399.5658268999978,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
37,0,37,0,,,,,,,,,,1,3,1,z,27,1,3.02234236141277,3.1424449555106,None,401.36950929999875,None,404.4859103499999,404.4859103499999,404.5025734499992,None,[],['z'],[1.166699299999891],406.4896950000002,None,z,3.166699299999891,1,1,0.8157894736842105,None,409.4986112000006,None,409.4986112000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
38,0,38,0,,,,,,,,,,2,2,3,b,63,0,2.517541937862754,0.917519910446003,None,411.3025811999978,None,412.202733249998,412.202733249998,412.219308450001,b,['b'],None,,414.2462850999982,None,b,1.7339236999978311,1,0,0.8205128205128205,None,416.7647345999976,None,416.7647345999976,None,1.7339236999978311,[1.7339236999978311],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
39,0,39,0,,,,,,,,,,3,2,3,z,63,1,2.92731383428727,3.1963008326951,None,418.5693341999977,None,421.7526975499983,421.7526975499983,421.76968174999786,z,['z'],None,,423.79738599999837,None,z,1.3998876000005112,1,1,0.825,None,426.73326570000063,None,426.73326570000063,None,1.3998876000005112,[1.3998876000005112],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
40,0,40,0,,,,,,,,,,1,1,0,b,63,1,2.666404967794728,1.53243550275999,None,428.53618749999805,None,430.05321485000024,430.05321485000024,430.0696229500005,None,[],['b'],[0.6008825000026263],432.0565370000004,None,b,2.6008825000026263,1,1,0.8292682926829268,None,434.734402099999,None,434.734402099999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
41,0,41,0,,,,,,,,,,0,0,2,b,27,1,4.52047235037039,1.52290599571961,None,436.5357444000001,None,438.0365522499975,438.0365522499975,438.0530820500004,None,[],['b'],[0.11295919999975013],440.0432132999995,None,b,2.11295919999975,1,1,0.8333333333333334,None,444.5590408999997,None,444.5590408999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
42,0,42,0,,,,,,,,,,3,0,3,z,9,1,2.7134565917469198,1.12425433982333,None,446.3697296999999,None,447.4695178499984,447.4695178499984,447.48598934999757,z,['z'],None,,449.5158784999985,None,z,1.2629971000023943,1,1,0.8372093023255814,None,452.2348194999977,None,452.2348194999977,None,1.2629971000023943,[1.2629971000023943],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,3.35133458220192,2.09887870490381,None,454.0367557999998,None,456.1190749499998,456.1190749499998,456.13609334999785,b,['b'],None,,458.1565109000003,None,b,1.2297929999986081,1,1,0.8409090909090909,None,461.50224869999874,None,461.50224869999874,None,1.2297929999986081,[1.2297929999986081],,,,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,463.3026351999979,None,,,,,,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.2862940999985,None,None,468.2862940999985,473.27001219999875,,,,,,,,,,,,,CBC_1143,4,6,3,5,0,0.8,2024-09-27_17h26.52.082,MSI_TV_v3,2022.1.1,59.98580735902263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 2, 3]",0.6363636363636364,0.7272727272727273,1.0,1.0,31,0,13,,,,,,,,,,,,
