trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,1,0,1,b,63,1,3.7500315165247198,3.33124983260532,None,346.82950209999944,None,350.18654779999997,None,350.18654779999997,None,350.19612633999935,None,['z'],350.18654779999997,None,['b'],352.1758839999993,None,z,1.2847866000001886,0,0,0.35714285714285715,355.9192747999996,None,None,355.9192747999996,None,[1.2847866000001886],[0.9557550999998057],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
28,0,28,0,,,,,,,,,,0,3,2,z,63,1,4.53337421950507,1.27538462653558,None,357.72934689999965,None,359.0204083999997,None,359.0204083999997,None,359.0294779399996,None,None,359.0204083999997,None,['z'],360.995946,None,z,4.155051600000661,1,1,0.3793103448275862,365.50929129999986,None,None,365.50929129999986,None,,[2.155051600000661],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
29,0,29,0,,,,,,,,,,3,3,1,b,27,1,4.01714354611405,2.10421507306074,None,367.3126208999993,None,369.43755169999986,None,369.43755169999986,None,369.44619883999934,None,None,369.43755169999986,None,['b'],371.41286129999935,None,b,2.510070100000121,1,1,0.4,375.42432029999964,None,None,375.42432029999964,None,,[0.5100701000001209],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
30,0,30,0,,,,,,,,,,1,1,0,z,63,1,3.31929419319838,1.78643585472448,None,377.22949639999933,None,379.0354391999999,None,379.0354391999999,None,379.04623073999977,None,['b'],379.0354391999999,None,None,381.0275697999996,None,b,1.3639569000006304,0,0,0.3870967741935484,384.35073399999965,None,None,384.35073399999965,None,[1.3639569000006304],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,4.77723667052879,2.78346932462847,None,386.1628065999994,None,388.96540749999986,None,388.96540749999986,None,388.9628754799999,None,None,388.96540749999986,None,None,390.94628509999984,None,[],[],0,3,0.375,395.7006427999995,None,['z'],395.7006427999995,None,,,[1.369015500000387],,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
32,0,32,0,,,,,,,,,,2,2,1,z,9,1,2.92731383428727,1.52290599571961,"['b', 'z', 'b']",397.51283969999986,None,399.0485073,None,399.0485073,None,399.0462314799991,None,None,399.0485073,None,['z'],401.02966839999954,None,z,2.212665200000629,1,1,0.3939393939393939,403.94409819999964,None,None,403.94409819999964,None,,[0.21266520000062883],,"[0.035390000000006694, 0.42633070000010775, 0.8247756999999183]",,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
33,0,33,0,,,,,,,,,,1,1,0,z,63,1,3.02234236141277,2.49839527409216,None,405.7462474999993,None,408.2680154999998,None,408.2680154999998,None,408.27961953999915,None,None,408.2680154999998,None,"['b', 'z', 'z', 'z']",410.2461945999994,None,b,2.4737134000006336,0,0,0.38235294117647056,413.25496440000006,None,['z'],413.25496440000006,None,,"[0.47371340000063356, 0.9355765000000247, 1.5858711000000767, 1.9419344000007186]",[1.2828521000001274],,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
34,0,34,0,,,,,,,,,,0,2,1,b,9,1,4.190022164497369,3.06992456303453,['z'],415.0629248999994,None,418.15130599999975,None,418.15130599999975,None,418.1469275799994,None,None,418.15130599999975,None,['z'],420.12967260000005,None,z,4.28428840000015,0,0,0.37142857142857144,424.3046177999995,None,None,424.3046177999995,None,,[2.2842884000001504],,[0.1985757000002195],,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
35,0,35,0,,,,,,,,,,2,1,0,b,63,1,2.517541937862754,0.952147612306987,None,426.11306909999985,None,427.0851972999999,None,427.0851972999999,None,427.0964545399997,None,['b'],427.0851972999999,None,None,429.0793862999999,None,b,1.5862282000007326,1,1,0.3888888888888889,431.60195719999956,None,None,431.60195719999956,None,[1.5862282000007326],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
36,0,36,0,,,,,,,,,,1,0,1,b,63,0,4.12485271162806,1.18065738546375,None,433.41303419999986,None,434.6170323999995,None,434.6170323999995,None,434.6129607799997,None,['b'],434.6170323999995,None,None,436.6113442999995,None,b,1.15217980000034,1,0,0.40540540540540543,440.7319483000001,None,None,440.7319483000001,None,[1.15217980000034],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
