trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.60840889999963,None,t,128.4115495999995,33.60840889999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
,,,,,,,,,,None,162.04303139999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,2.629554641171433,1.53122835510861,None,162.2424774000001,None,163.75980984999933,163.75980984999933,163.77637874999982,None,[],['z'],[0.49421890000030544],165.7707720999997,None,z,2.4942189000003054,1,1,1.0,None,168.4743023000001,None,168.4743023000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
1,0,1,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.82320408183943,1.64421109900286,None,170.22598459999972,None,171.85985794999942,171.85985794999942,171.87611194999954,None,[],['b'],[0.3982717999997476],173.86299580000014,None,b,2.3982717999997476,0,0,0.5,None,176.71522929999992,None,176.71522929999992,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
2,0,2,0,,,,,,,,,,3,2.0,1.0,b,9.0,1.0,2.693348633324513,1.94858485820231,None,178.50951709999936,None,180.44289884999944,180.44289884999944,180.45933234999939,z,['z'],None,,182.48666409999987,None,z,1.8988652999996702,0,0,0.3333333333333333,None,185.18770909999967,None,185.18770909999967,None,1.8988652999996702,[1.8988652999996702],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
3,0,3,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.7500315165247198,3.24569326556923,None,186.99305949999962,None,190.2095194499998,190.2095194499998,190.22614604999944,z,['z'],None,,192.25504509999973,None,z,1.8635340999999244,0,0,0.25,None,196.00349019999976,None,196.00349019999976,None,1.8635340999999244,[1.8635340999999244],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
4,0,4,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.342239579230602,1.96568735158996,None,197.80957409999974,None,199.75997974999973,199.75997974999973,199.7765166499994,None,[],['b'],[0.8305980999994063],201.7638393999996,None,b,2.8305980999994063,0,0,0.2,None,204.10758499999974,None,204.10758499999974,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
5,0,5,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.7134565917469198,0.80788063606262,None,205.90990299999976,None,206.69314914999995,206.69314914999995,206.7093222499998,None,[],['b'],[0.43771209999977145],208.69555089999994,None,b,2.4377120999997715,1,1,0.3333333333333333,None,211.41710429999966,None,211.41710429999966,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
6,0,6,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.2759877950103027,1.53243550275999,None,213.2261555999994,None,214.7430236499995,214.7430236499995,214.75997635000022,None,[],['z'],[0.8334168999990652],216.74891769999977,None,z,2.833416899999065,1,1,0.42857142857142855,None,219.03983479999988,None,219.03983479999988,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
7,0,7,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.82531807167306,2.40378712856304,None,220.8432933999993,None,223.22636404999957,223.22636404999957,223.24272035000013,b,['b'],None,,225.2742247999995,None,b,2.0064112999998542,1,1,0.5,None,230.1063820999998,None,230.1063820999998,None,2.0064112999998542,[2.0064112999998542],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
