trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,241.46978619999936,None,t,69.57633770000211,241.46978619999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
,,,,,,,,,,None,311.07323929999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
0,0,0,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,4.190022164497369,1.25920145784721,None,311.2733357999987,None,312.67462779999914,None,312.67462779999914,None,312.6727387899973,None,None,312.67462779999914,None,['b'],[0.5458149000023695],314.52340019999974,None,b,2.5458149000023695,1,1,1.0,318.7317058999997,None,None,318.7317058999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
1,0,1,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.77723667052879,2.10421507306074,None,320.5232417999996,None,322.70035049999933,None,322.70035049999933,None,322.70631242999843,None,None,322.70035049999933,None,['b'],[0.7762014000018098],324.62348199999906,None,b,2.77620140000181,0,0,0.5,329.4102619999994,None,None,329.4102619999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
2,0,2,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,4.46924002178158,3.1424449555106,None,331.2065647999989,None,334.3594381999992,None,334.3594381999992,None,334.35649426999953,None,['b'],334.3594381999992,None,None,,336.35971379999864,None,b,1.9372465000014927,1,1,0.6666666666666666,340.8304350999988,None,None,340.8304350999988,None,[1.9372465000014927],,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.678526077912375,2.15533949826702,None,342.6404965999991,None,344.84019719999924,None,344.84019719999924,None,344.83989074999954,None,['b'],344.84019719999924,None,None,,346.80899839999984,None,b,1.7001408000014635,1,1,0.75,349.4965465999994,None,None,349.4965465999994,None,[1.7001408000014635],,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
4,0,4,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.52047235037039,0.761758675042088,None,351.30662989999837,None,352.07925129999967,None,352.07925129999967,None,352.09011755999927,None,None,352.07925129999967,None,['z'],[0.3403063000005204],354.0574027999992,None,z,2.3403063000005204,1,1,0.8,358.5608125999988,None,None,358.5608125999988,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
5,0,5,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.2759877950103027,1.38289892513751,None,360.37354479999885,None,361.7779529999989,None,361.7779529999989,None,361.7897829599988,None,None,361.7779529999989,None,['z'],[1.5060350000021572],363.7568438999988,None,z,3.506035000002157,1,1,0.8333333333333334,366.02546469999834,None,None,366.02546469999834,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.7134565917469198,1.25817747924478,None,367.84033869999985,None,369.13597909999953,None,369.13597909999953,None,369.1405589499991,None,None,369.13597909999953,None,['b'],[0.11081240000203252],371.0898284999985,None,b,2.1108124000020325,1,1,0.8571428571428571,373.7987825,None,None,373.7987825,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
7,0,7,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.629554641171433,1.21250262048173,None,375.6067760999995,None,376.82737779999843,None,376.82737779999843,None,376.82336096999825,None,['z'],376.82737779999843,None,None,,378.82341149999957,None,z,1.9103376000002754,1,1,0.875,381.4636481999987,None,None,381.4636481999987,None,[1.9103376000002754],,,,,,,,,,,,,,,,,,,,,,,CBC_1041,3,3,3,6,18,0.95,2023-12-20_16h24.17.405,MSI_AV_v3,2022.1.1,60.01885792508106,
