trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,54.56294280000293,None,t,57.638006699999096,54.56294280000293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
,,,,,,,,,,None,112.22608130000299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
0,0,0,0,,,,,,,,,,2,0,1,b,63,1,2.517541937862754,2.40378712856304,None,112.42583210000157,None,114.80923175000244,114.80923175000244,114.82591375000011,z,['z'],1.720543399995222,[1.720543399995222],None,116.849285100001,None,z,1.720543399995222,0,0,0.0,None,119.39462730000014,None,119.39462730000014,None,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
1,0,1,0,,,,,,,,,,1,2,3,b,63,1,4.7533305109883095,2.09887870490381,None,121.17606240000168,None,123.25936595000276,123.25936595000276,123.27608105000145,b,['b'],1.5110698999997112,[1.5110698999997112],None,125.29925560000265,None,b,1.5110698999997112,1,1,0.5,None,130.05415260000154,None,130.05415260000154,None,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
2,0,2,0,,,,,,,,,,2,2,0,z,27,1,2.678526077912375,1.34668860557497,None,131.859178900002,None,133.19290705000202,133.19290705000202,133.2092428500011,None,[],,,['z'],135.1942471000002,None,z,2.8301197000000684,1,1,0.6666666666666666,None,137.87303720000273,None,137.87303720000273,None,[0.8301197000000684],,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
3,0,3,0,,,,,,,,,,0,0,1,z,63,1,2.592312596923728,0.77703640172831,None,139.6758512000015,None,140.42580865000235,140.42580865000235,140.4424285500001,None,[],,,['z'],142.43284520000088,None,z,2.7270171999989543,1,1,0.75,None,145.02492580000035,None,145.02492580000035,None,[0.7270171999989543],,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
4,0,4,0,,,,,,,,,,3,3,2,b,63,1,3.3728785608729996,1.95130344756745,None,146.82588620000024,None,148.7590615500023,148.7590615500023,148.77587045000217,None,[],,,['z'],150.7610932000025,None,z,2.4717493999960425,0,0,0.6,None,154.14306840000063,None,154.14306840000063,None,[0.4717493999960425],,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
5,0,5,0,,,,,,,,,,0,2,1,z,9,1,2.294664843639333,2.78346932462847,None,155.94256810000297,None,158.70958015000105,158.70958015000105,158.72576065000356,z,['z'],1.6976280999988376,[1.6976280999988376],None,160.77356110000255,None,z,1.6976280999988376,1,1,0.6666666666666666,None,163.0701509999999,None,163.0701509999999,None,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
6,0,6,0,,,,,,,,,,3,3,1,b,27,1,4.11514536789087,1.12425433982333,None,164.8761164000025,None,165.9759478500029,165.9759478500029,165.99263495000304,None,[],,,['b'],167.97840350000115,None,b,2.693089999997028,1,1,0.7142857142857143,None,172.10302020000017,None,172.10302020000017,None,[0.6930899999970279],,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,2.433630701072358,1.1243895841892,None,173.90929130000222,None,175.00933475000164,175.00933475000164,175.02589345000268,z,['z'],1.5824930999951903,[1.5824930999951903],None,177.0508673000004,None,z,1.5824930999951903,0,0,0.625,None,179.48648190000313,None,179.48648190000313,None,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
8,0,8,0,,,,,,,,,,2,1,0,z,63,1,4.53337421950507,1.64421109900286,None,181.29249970000092,None,182.90935765000285,182.90935765000285,182.92588765,b,['b'],1.8362258999950427,[1.8362258999950427],None,184.99820120000004,None,b,1.8362258999950427,0,0,0.5555555555555556,None,189.53572090000307,None,189.53572090000307,None,,,,,,,,,,,,,,,,,,,CBC_1013,003,4,2,0,12,0.95,2023-06-23_15h01.09.889,MSI_TV_v3,2022.1.1,59.9539433798481,
