trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
24,0,24,0,,,,,,,,,,0,3,2,z,63,1,4.268032915,2.502774076,None,300.8954555,None,303.3788554299996,303.3788554299996,303.39528932999985,None,[],,,['b'],305.38018679999914,None,b,2.6819976000024326,0,0,0.6,None,309.63606139999865,None,309.63606139999865,None,[0.6819976000024326],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
25,0,25,0,,,,,,,,,,3,3,2,b,63,1,1.610581685,1.448890429,None,311.6456466999989,None,313.0787242299999,313.0787242299999,313.0957269299985,None,[],,,['z'],315.0822176999991,None,z,2.5103471000002173,0,0,0.5769230769230769,None,316.6960264999998,None,316.6960264999998,None,[0.5103471000002173],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
26,0,26,0,,,,,,,,,,2,1,0,b,63,1,3.278108735,1.142638656,None,318.6960354999992,None,319.81207072999916,319.81207072999916,319.8288352299993,None,[],,,['z'],321.8362195999998,None,z,2.712027699999453,0,0,0.5555555555555556,None,325.1298571999996,None,325.1298571999996,None,[0.712027699999453],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
27,0,27,0,,,,,,,,,,1,2,0,z,27,1,2.67601813,0.977134615,None,327.1454232999986,None,328.0954419299984,328.0954419299984,328.11241052999924,None,[],,,['b'],330.1003176999984,None,b,3.0721651000003476,0,0,0.5357142857142857,None,332.77242399999886,None,332.77242399999886,None,[1.0721651000003476],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
28,0,28,0,,,,,,,,,,3,3,1,b,27,1,2.208904638,2.7801224,None,334.7784557999985,None,337.5458669299993,337.5458669299993,337.5627181299993,None,[],,,['b'],339.54979339999954,None,b,2.5765898000008747,1,1,0.5517241379310345,None,341.75862459999917,None,341.75862459999917,None,[0.5765898000008747],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
29,0,29,0,,,,,,,,,,1,0,1,b,63,1,1.595506577,1.915207301,None,343.7623924999989,None,345.66256122999823,345.66256122999823,345.6792708299987,None,[],,,['z'],347.6636845999983,None,z,2.5747119000006933,0,0,0.5333333333333333,None,349.2448945999986,None,349.2448945999986,None,[0.5747119000006933],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
30,0,30,0,,,,,,,,,,0,0,2,z,27,1,1.899747326,3.264468617,None,351.24557989999994,None,354.4957003299993,354.4957003299993,354.51245792999964,None,[],,,['z'],356.4966723999987,None,z,2.9581450000005134,1,1,0.5483870967741935,None,358.38725539999905,None,358.38725539999905,None,[0.9581450000005134],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,4.196249082,3.274187802,None,360.3958684999998,None,363.645697229999,363.645697229999,363.6624221299995,None,[],,,['b'],365.6506456999996,None,b,3.236824700001307,1,1,0.5625,None,369.8485050999989,None,369.8485050999989,None,[1.236824700001307],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
32,0,32,0,,,,,,,,,,2,0,1,z,63,1,3.869831913,2.935368129,None,371.8624399,None,374.77942142999984,374.77942142999984,374.7959317299998,None,[],,,['z'],376.7831738999994,None,z,2.2572218000022986,1,1,0.5757575757575758,None,380.65224149999995,None,380.65224149999995,None,[0.25722180000229855],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
33,0,33,0,,,,,,,,,,1,1,0,z,63,1,4.334629553,2.071213329,None,382.6626738999985,None,384.712432429999,384.712432429999,384.72902962999854,None,[],,,['b'],386.71112679999896,None,b,2.89667449999979,0,0,0.5588235294117647,None,391.0436359999985,None,391.0436359999985,None,[0.89667449999979],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
