trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,31.642008099999657,None,t,59.182800500002486,31.642008099999657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
,,,,,,,,,,None,90.84884160000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,2.517541937862754,1.90743690794447,None,91.04849459999969,None,92.93212115999995,92.93212115999995,92.94866595999702,None,[],['b'],[0.7988779000042996],94.9362473000001,None,b,2.7988779000042996,0,0,0.0,None,97.45086949999677,None,97.45086949999677,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,3.35133458220192,1.53243550275999,None,99.24847779999982,None,100.76540675999786,100.76540675999786,100.78225155999826,None,[],['z'],[0.3960514000027615],102.76826989999972,None,z,2.3960514000027615,0,0,0.0,None,106.10876749999807,None,106.10876749999807,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
2,0,2,0,,,,,,,,,,1,2,0,b,27,1,2.294664843639333,0.77703640172831,None,107.91548749999856,None,108.66558395999891,108.66558395999891,108.6818898599995,None,[],['b'],[0.9568537000050128],110.66881429999921,None,b,2.956853700005013,1,1,0.3333333333333333,None,112.9657077999982,None,112.9657077999982,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
3,0,3,0,,,,,,,,,,0,1,0,z,63,1,4.61004669244928,3.1963008326951,None,114.76536829999895,None,117.94902235999689,117.94902235999689,117.96501525999702,None,[],['z'],[0.2853690000047209],119.95144499999878,None,z,2.285369000004721,1,1,0.5,None,124.5630272999988,None,124.5630272999988,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
4,0,4,0,,,,,,,,,,2,3,1,z,27,1,3.73326136168326,1.78643585472448,None,126.3653467999975,None,128.1319666599993,128.1319666599993,128.14903545999914,None,[],['z'],[0.6219709000033617],130.13486059999923,None,z,2.6219709000033617,1,1,0.6,None,133.86005099999966,None,133.86005099999966,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
5,0,5,0,,,,,,,,,,1,2,3,b,63,1,4.52047235037039,1.64421109900286,None,135.66552509999747,None,137.28200465999907,137.28200465999907,137.2986878599986,None,[],['b'],[1.1123108000028878],139.28433959999893,None,b,3.112310800002888,1,1,0.6666666666666666,None,143.7931368999998,None,143.7931368999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
6,0,6,0,,,,,,,,,,3,2,3,z,63,0,4.12485271162806,1.18065738546375,None,145.59902409999995,None,146.76574505999815,146.76574505999815,146.78218935999757,None,[],['z'],[0.29855720000341535],148.7692634999985,None,z,2.2985572000034153,1,0,0.7142857142857143,None,152.89676429999963,None,152.89676429999963,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
7,0,7,0,,,,,,,,,,2,1,0,b,63,1,2.666404967794728,3.4543169006169,None,154.69883899999695,None,158.1317582599986,158.1317582599986,158.1489976599987,z,['z'],None,,160.1511182999966,None,z,1.7406165000029432,0,0,0.625,None,162.82676209999772,None,162.82676209999772,None,1.7406165000029432,[1.7406165000029432],,,,,,,,,,,,,,,,,,,,,,CBC_1027,4,3,3,6,2,0.9,2023-07-21_18h05.28.896,MSI_TV_v3,2022.1.1,59.84479849910837,
