trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,21.85984069999995,None,t,56.30632229999901,21.85984069999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
,,,,,,,,,,None,78.18735390000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
0,0,0,0,,,,,,,,,,3,1,3,b,27,1,4.01714354611405,1.25817747924478,None,78.38750170000003,None,79.76969030000055,None,79.76969030000055,None,79.77044930000011,None,None,79.76969030000055,None,['b'],[0.5217304999996486],81.63747349999994,None,b,2.5217304999996486,1,1,1.0,85.65617650000058,None,None,85.65617650000058,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,4.12485271162806,0.979776149765883,None,87.45309480000014,None,88.48226350000004,None,88.48226350000004,None,88.48722820000039,None,None,88.48226350000004,None,['b'],[0.5172575999995388],90.41985509999995,None,b,2.517257599999539,0,0,0.5,94.53814409999995,None,None,94.53814409999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
2,0,2,0,,,,,,,,,,0,3,2,b,63,1,2.342239579230602,1.36309078069689,None,96.3375715000002,None,97.7324191000007,None,97.7324191000007,None,97.73645350000079,None,None,97.7324191000007,None,['b'],[0.4944886999992377],99.68767750000006,None,b,2.4944886999992377,1,1,0.6666666666666666,102.02847170000041,None,None,102.02847170000041,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
3,0,3,0,,,,,,,,,,3,0,1,z,63,0,3.02234236141277,1.43470440954152,None,103.83720549999998,None,105.30835569999999,None,105.30835569999999,None,105.30386319999998,None,None,105.30835569999999,None,['z'],[0.36790189999919676],107.2711248000005,None,z,2.3679018999991968,1,0,0.75,110.28051790000063,None,None,110.28051790000063,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
4,0,4,0,,,,,,,,,,2,0,3,b,9,1,4.7533305109883095,1.53243550275999,None,112.08734200000072,None,113.66270390000045,None,113.66270390000045,None,113.67077580000023,None,None,113.66270390000045,None,['b'],[0.3355643999993845],115.61978060000001,None,b,2.3355643999993845,1,1,0.8,120.35119639999994,None,None,120.35119639999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
5,0,5,0,,,,,,,,,,0,3,2,b,63,1,2.517541937862754,1.53122835510861,None,122.15398690000075,None,123.69283130000076,None,123.69283130000076,None,123.7034619,None,None,123.69283130000076,None,['b'],[0.46220609999909357],125.68780719999995,None,b,2.4622060999990936,1,1,0.8333333333333334,128.1967704000008,None,None,128.1967704000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,3.26539063535182,2.49839527409216,None,130.0039981,None,132.52778670000043,None,132.52778670000043,None,132.53757100000004,None,None,132.52778670000043,None,['z'],[0.39193359999990207],134.50395130000015,None,z,2.391933599999902,1,1,0.8571428571428571,137.76208360000055,None,None,137.76208360000055,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,4.72585056748869,2.10421507306074,None,139.57077540000046,None,141.67316430000028,None,141.67316430000028,None,141.68644160000022,None,None,141.67316430000028,None,['z'],[0.5235311999995247],143.65441200000078,None,z,2.5235311999995247,0,0,0.75,148.36573240000052,None,None,148.36573240000052,None,,,,,,,,,,,,,,,,,,,,,,CBC_1040,2,5,3,1,17,0.9,2023-12-20_15h47.19.244,MSI_AV_v3,2022.1.1,60.3292407988771,
