trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,414.907383499999,None,t,71.28957139999966,414.907383499999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
,,,,,,,,,,None,486.2208282999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
0,0,0,0,,,,,,,,,,3,1,0,z,63,1,2.678526077912375,1.18065738546375,None,486.42038779999984,None,487.71441610000056,None,487.71441610000056,None,487.7200872900001,None,['b'],[1.2011967999997069],487.71441610000056,None,None,489.6049379999995,None,b,1.2011967999997069,0,0,0.0,492.3014155999999,None,None,492.3014155999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
1,0,1,0,,,,,,,,,,0,3,2,b,63,1,2.7134565917469198,0.80788063606262,None,494.1042174000004,None,494.91957959999945,None,494.91957959999945,None,494.91975962999965,None,['z'],[1.2455485000000408],494.91957959999945,None,None,496.90762359999917,None,z,1.2455485000000408,0,0,0.0,499.61963770000057,None,None,499.61963770000057,None,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,3.31929419319838,1.36309078069689,None,501.42028519999894,None,502.8214350999997,None,502.8214350999997,None,502.8205971400001,None,None,,502.8214350999997,None,['b'],504.7868556000003,None,b,2.2717902000013055,1,1,0.3333333333333333,508.0950010000006,None,None,508.0950010000006,None,[0.2717902000013055],,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
3,0,3,0,,,,,,,,,,3,1,0,z,63,1,2.792365600763554,1.53122835510861,None,509.9029213999993,None,511.4255432,None,511.4255432,None,511.43657922999915,None,None,,511.4255432,None,['b'],513.4041078,None,b,2.328296799999407,0,0,0.25,516.1770103999997,None,None,516.1770103999997,None,[0.3282967999994071],,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
4,0,4,0,,,,,,,,,,1,3,1,z,27,1,2.629554641171433,1.94858485820231,None,517.9875662999993,None,519.9755921999995,None,519.9755921999995,None,519.9707626399994,None,None,,519.9755921999995,None,['z'],521.9374902999998,None,z,2.1175623000008272,1,1,0.4,524.5645816999995,None,None,524.5645816999995,None,[0.11756230000082724],,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,4.46924002178158,1.53243550275999,None,526.3709467999988,None,527.9057354999995,None,527.9057354999995,None,527.9029225199988,None,['b'],[1.7180844000004072],527.9057354999995,None,None,529.9042120999993,None,b,1.7180844000004072,1,1,0.5,534.3779815999997,None,None,534.3779815999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
6,0,6,0,,,,,,,,,,0,2,3,z,63,1,3.71372710086949,3.33124983260532,None,536.1877022999988,None,539.5433740999988,None,539.5433740999988,None,539.5537434399993,None,['z'],[1.356954100000621],539.5433740999988,None,None,541.5376688000006,None,z,1.356954100000621,1,1,0.5714285714285714,545.2615911000003,None,None,545.2615911000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
7,0,7,0,,,,,,,,,,1,1,0,b,63,1,3.6438386551209,3.24569326556923,None,547.0708167000003,None,550.3254480999994,None,550.3254480999994,None,550.3375054400002,None,['z'],[1.7060119000007035],550.3254480999994,None,None,552.3253135000004,None,z,1.7060119000007035,0,0,0.5,555.9696630999997,None,None,555.9696630999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1044,1,5,1,6,21,0.95,2023-12-19_14h17.39.039,MSI_AV_v3,2022.1.1,59.88956364472731,
