trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,44.32699769999999,None,t,70.8795954999996,44.32699769999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
,,,,,,,,,,None,115.2316480999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
0,0,0,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.678526077912375,1.27538462653558,None,115.43179959999998,None,116.68256984999994,116.68256984999994,116.69918184999983,z,['z'],1.8055224999998245,[1.8055224999998245],None,118.71659199999976,None,z,1.8055224999998245,1,1,1.0,None,121.41801609999993,None,121.41801609999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
1,0,1,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.82320408183943,2.40378712856304,None,123.19964140000002,None,125.58174965000012,125.58174965000012,125.59812875000011,None,[],,,['b'],127.57255649999979,None,b,2.8212140000000545,1,1,1.0,None,130.39155290000008,None,130.39155290000008,None,[0.8212140000000545],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
2,0,2,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,4.82531807167306,0.77703640172831,None,132.1995477999999,None,132.94868525000015,132.94868525000015,132.9648857499999,None,[],,,['b'],134.93955360000018,None,b,2.539175499999601,0,0,0.6666666666666666,None,139.76934059999985,None,139.76934059999985,None,[0.539175499999601],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
3,0,3,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.31929419319838,1.96568735158996,None,141.5825074999998,None,143.53166135000015,143.53166135000015,143.54819754999994,None,[],,,None,145.52325669999982,None,None,[],0,3,0.5,None,148.8920653,None,148.8920653,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
4,0,4,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.6391747348430608,0.917519910446003,None,150.64925589999984,None,151.54904574999978,151.54904574999978,151.5657237500002,None,[],,,None,153.5397721999998,None,None,[],0,3,0.4,None,156.1818545000001,None,156.1818545000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
5,0,5,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.12485271162806,1.12425433982333,None,157.98280999999997,None,159.08276354999975,159.08276354999975,159.09938584999986,b,['b'],0.6841667999997298,[0.6841667999997298],None,161.09014309999975,None,b,0.6841667999997298,1,1,0.5,None,165.2281806000001,None,165.2281806000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
6,0,6,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,3.3728785608729996,0.952147612306987,None,167.03279889999976,None,167.96617845000014,167.96617845000014,167.98283044999994,z,['z'],1.5322874999997111,[1.5322874999997111],None,170.04810150000003,None,z,1.5322874999997111,1,1,0.5714285714285714,None,173.4268201,None,173.4268201,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
7,0,7,0,,,,,,,,,,2,2.0,1.0,b,9.0,1.0,4.53337421950507,2.49839527409216,None,175.23300840000002,None,177.71606254999983,177.71606254999983,177.73301574999982,None,[],,,['z'],179.72166749999997,None,z,2.8196748999998817,0,0,0.5,None,184.2474029,None,184.2474029,None,[0.8196748999998817],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
8,0,8,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.517541937862754,2.78346932462847,None,186.04948289999993,None,188.81604244999994,188.81604244999994,188.8326345500002,None,[],,,['b'],190.81232060000002,None,b,2.7438240999995287,1,1,0.5555555555555556,None,193.33176259999982,None,193.33176259999982,None,[0.7438240999995287],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
9,0,9,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.40017271499661,1.60731937853708,None,195.1329464999999,None,196.71576144999995,196.71576144999995,196.7325522499998,None,[],,,['z'],198.71168940000007,None,z,2.321862499999952,1,1,0.6,None,203.10457480000014,None,203.10457480000014,None,[0.321862499999952],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
10,0,10,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.68371079902891,2.6299100644723,None,204.91548120000016,None,207.51525775000005,207.51525775000005,207.5313685499998,None,[],,,['b'],209.5064014999998,None,b,2.6109071999999287,0,0,0.5454545454545454,None,213.19121899999982,None,213.19121899999982,None,[0.6109071999999287],,,,,,,,,,,,,,,,,,,,,,CBC_1022,001,1,1,2,21,0.95,2023-07-18_13h36.12.008,MSI_TV_v3,2022.1.1,59.73116198598648,
