trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.970325099999172,None,t,53.58210060000056,28.970325099999172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
,,,,,,,,,,None,82.57720979999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
0,0,0,0,,,,,,,,,,2,1.0,0.0,r,63.0,1.0,4.72585056748869,2.09887870490381,None,82.77726059999986,None,84.86069888999864,84.86069888999864,84.87786668999925,None,[],['b'],[0.2933156000017334],86.87279659999876,None,b,2.2933156000017334,0,0,0.0,None,91.60847869999998,None,91.60847869999998,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
1,0,1,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.526044641065533,3.24569326556923,None,93.41081419999864,None,96.64412199000017,96.64412199000017,96.66108438999927,None,[],['b'],[0.11719710000033956],98.65084269999898,None,b,2.1171971000003396,1,1,0.5,None,101.18126589999883,None,101.18126589999883,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
2,0,2,0,,,,,,,,,,2,2.0,0.0,r,27.0,1.0,2.82320408183943,2.15533949826702,None,102.99376490000031,None,105.12737408999911,105.12737408999911,105.1438627900001,None,[],['b'],[0.5637346999992587],107.13205389999894,None,b,2.5637346999992587,0,0,0.3333333333333333,None,109.96693059999961,None,109.96693059999961,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
3,0,3,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,2.792365600763554,1.27538462653558,None,111.77737269999852,None,113.02758868999936,113.02758868999936,113.0439460899992,None,[],None,,115.0316299999995,None,None,[],0,3,0.25,None,117.82180899999912,['r'],117.82180899999912,None,[0.0458944000001793],,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
4,0,4,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.73326136168326,1.60731937853708,None,119.6274287999986,None,121.21062248999934,121.21062248999934,121.22723858999908,None,[],['r'],[0.46903329999986454],123.2128464999987,None,r,2.4690332999998645,0,0,0.2,None,126.94023179999931,None,126.94023179999931,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
5,0,5,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.7134565917469198,1.90743690794447,None,128.74379500000032,None,130.6273689900003,130.6273689900003,130.64414378999882,None,[],None,,132.6324827999997,None,None,[],0,3,0.16666666666666666,None,135.35529829999905,['r'],135.35529829999905,None,[0.6908915000003617],,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
6,0,6,0,,,,,,,,,,1,1.0,3.0,r,27.0,1.0,4.53337421950507,1.43470440954152,None,137.16058389999853,None,138.5776773899992,138.5776773899992,138.59408788999954,b,['b'],None,,140.62108949999856,None,b,1.3446842000012111,0,0,0.14285714285714285,None,145.1549911000002,None,145.1549911000002,None,,1.3446842000012111,[1.3446842000012111],,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
7,0,7,0,,,,,,,,,,0,2.0,1.0,b,9.0,1.0,4.82531807167306,1.96568735158996,['r'],146.96055410000008,None,148.91080619000005,148.91080619000005,148.92718708999874,None,[],['b'],[0.08023490000050515],150.91359039999952,None,b,2.080234900000505,1,1,0.25,None,155.73712929999965,None,155.73712929999965,None,,,,[1.8977739000019938],,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
8,0,8,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.92731383428727,2.6299100644723,None,157.5439581999999,None,160.1440472899989,160.1440472899989,160.16098408999952,None,[],['b'],[0.7059772000011435],162.15042849999918,None,b,2.7059772000011435,1,1,0.3333333333333333,None,165.07663049999974,None,165.07663049999974,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
9,0,9,0,,,,,,,,,,1,2.0,3.0,r,63.0,1.0,3.2062024266105302,2.96653053743745,None,166.8774040999997,None,169.82717018999884,169.82717018999884,169.8439967899989,None,[],['r'],[1.3199333000011393],171.83184739999888,None,r,3.3199333000011393,1,1,0.4,None,175.0411684999999,None,175.0411684999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
10,0,10,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,3.31929419319838,1.52290599571961,None,176.84427089999917,None,178.34428348999919,178.34428348999919,178.360919189999,None,[],['b'],[2.097687400000723],180.3495769000001,None,b,4.097687400000723,0,0,0.36363636363636365,None,183.6707967000002,None,183.6707967000002,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
11,0,11,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,4.11514536789087,1.53122835510861,None,185.47771749999993,None,186.99400179000023,186.99400179000023,187.0104349899988,None,[],['r'],[0.41795340000135184],188.99679560000004,None,r,2.417953400001352,0,0,0.3333333333333333,None,193.10505600000033,None,193.10505600000033,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
12,0,12,0,,,,,,,,,,1,2.0,3.0,r,63.0,0.0,3.76873691643126,1.53243550275999,None,194.91042919999927,None,196.42783738999915,196.42783738999915,196.444186189999,None,[],['b'],[1.419179800001075],198.43091289999938,None,b,3.419179800001075,0,1,0.3076923076923077,None,202.21193979999953,None,202.21193979999953,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
13,0,13,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.01714354611405,3.40155979865722,None,204.0275034999995,None,207.41107688999855,207.41107688999855,207.42755068999887,None,[],None,,209.4181379999991,None,None,[],0,3,0.2857142857142857,None,213.4218093999989,['r'],213.4218093999989,None,[1.3496832000000722],,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
14,0,14,0,,,,,,,,,,0,3.0,2.0,r,63.0,1.0,4.190022164497369,0.80788063606262,None,215.22752359999868,None,216.01076238999977,216.01076238999977,216.02769228999878,b,"['b', 'r']",None,,218.0544315999996,None,b,0.11370159999933094,0,0,0.26666666666666666,None,222.23836680000022,None,222.23836680000022,None,,0.11370159999933094,"[0.11370159999933094, 1.2974849000001996]",,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
15,0,15,0,,,,,,,,,,2,2.0,0.0,r,27.0,1.0,4.7533305109883095,0.979776149765883,None,224.04390409999905,None,224.99411549000015,224.99411549000015,225.01086758999864,None,[],['b'],[0.17186279999987164],226.9977947999996,None,b,2.1718627999998716,0,0,0.25,None,231.76468589999968,None,231.76468589999968,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
16,0,16,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.666404967794728,1.64421109900286,None,233.5778381,None,235.194336689999,235.194336689999,235.21086498999958,None,[],['r'],[0.10201529999903869],237.19890849999865,None,r,2.1020152999990387,0,0,0.23529411764705882,None,239.86493749999863,None,239.86493749999863,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
17,0,17,0,,,,,,,,,,1,2.0,3.0,r,63.0,1.0,4.77034425507967,2.78346932462847,None,241.67773579999994,None,244.44454588999852,244.44454588999852,244.46097178999972,b,['b'],None,,246.4883919999993,None,b,1.8779718000005232,0,0,0.2222222222222222,None,251.25604059999932,None,251.25604059999932,None,,1.8779718000005232,[1.8779718000005232],,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
18,0,18,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.7500315165247198,1.18065738546375,None,253.06110819999958,None,254.22759878999878,254.22759878999878,254.2440630899995,None,[],['b'],[0.09003050000137591],256.2325036000002,None,b,2.090030500001376,1,1,0.2631578947368421,None,259.99433229999886,None,259.99433229999886,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
19,0,19,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,2.433630701072358,1.1243895841892,None,261.79459940000015,None,262.8947261899988,262.8947261899988,262.9114859899995,b,['b'],None,,264.93989259999944,None,b,1.5320558000003075,1,1,0.3,None,267.37217599999894,None,267.37217599999894,None,,1.5320558000003075,[1.5320558000003075],,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
20,0,20,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,2.629554641171433,1.78643585472448,None,269.17767079999976,None,270.9449131899995,270.9449131899995,270.9611970899999,None,[],['r'],[0.46407770000041637],272.9509839000002,None,r,2.4640777000004164,1,1,0.3333333333333333,None,275.59353159999955,None,275.59353159999955,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,004,5,2,2,16,0.95,2024-06-04_15h47.31.612,MSI_TV_v3,2022.1.1,59.901761111426005,
