trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,19.841362799999843,None,t,75.63257169999997,19.841362799999843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
,,,,,,,,,,None,95.49096550000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
0,0,0,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,2.629554641171433,2.6299100644723,None,95.70725700000003,None,98.375199600001,None,98.375199600001,None,98.3730972000003,None,None,98.375199600001,None,['b'],[0.5525194000001648],100.32417050000004,None,b,2.5525194000001648,0,0,0.0,102.96163250000063,None,None,102.96163250000063,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
1,0,1,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.77723667052879,1.25920145784721,None,104.75781800000004,None,106.01323880000018,None,106.01323880000018,None,106.02349754000006,None,['z'],106.01323880000018,None,None,,108.00845630000003,None,z,1.7471105999993597,1,1,0.5,112.79850090000036,None,None,112.79850090000036,None,[1.7471105999993597],,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
2,0,2,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.433630701072358,1.36309078069689,None,114.60777120000057,None,115.99943429999985,None,115.99943429999985,None,116.00768211999967,None,['b'],115.99943429999985,None,None,,117.99292090000017,None,b,1.5183254999992641,1,1,0.6666666666666666,120.43221059999996,None,None,120.43221059999996,None,[1.5183254999992641],,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
3,0,3,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.01714354611405,1.94858485820231,None,122.24111410000114,None,124.19295349999993,None,124.19295349999993,None,124.19006895999956,None,['z'],124.19295349999993,None,None,,126.19677700000102,None,z,1.0694317999987106,0,0,0.5,130.21156410000003,None,None,130.21156410000003,None,[1.0694317999987106],,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
4,0,4,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,3.2062024266105302,0.974903167432984,None,132.02471610000066,None,133.01200749999953,None,133.01200749999953,None,133.02426022000108,None,None,133.01200749999953,None,['z'],[0.3384755999995832],134.99145370000042,None,z,2.338475599999583,1,1,0.6,138.18642200000068,None,None,138.18642200000068,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
5,0,5,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.592312596923728,2.15533949826702,None,139.9915460000011,None,142.1428845999999,None,142.1428845999999,None,142.14037146000084,None,None,142.1428845999999,None,['b'],[0.243977599999198],144.1248214999996,None,b,2.243977599999198,1,1,0.6666666666666666,146.70717270000023,None,None,146.70717270000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
6,0,6,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.7500315165247198,3.1963008326951,None,148.5078852000006,None,151.72813959999985,None,151.72813959999985,None,151.72417804000017,None,None,151.72813959999985,None,['z'],[0.3360480999999709],153.70795610000096,None,z,2.336048099999971,1,1,0.7142857142857143,157.45010980000006,None,None,157.45010980000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
7,0,7,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.40017271499661,0.917519910446003,None,159.25790609999967,None,160.20156450000104,None,160.20156450000104,None,160.207627020001,None,None,160.20156450000104,None,['b'],[0.5540500000006432],162.17487400000027,None,b,2.554050000000643,1,1,0.75,166.56296210000073,None,None,166.56296210000073,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1027,001,5,1,7,2,0.95,2023-07-21_16h27.29.899,MSI_AV_v3,2022.1.1,59.94388053936202,
