trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.887650177,2.210349838,None,363.15710129999934,None,365.3789335999991,None,365.3789335999991,None,365.3901292999999,None,['b'],365.3789335999991,None,None,,367.37574609999865,None,b,1.719290799999726,1,1,0.8787878787878788,369.2611844000003,None,None,369.2611844000003,None,[1.719290799999726],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
33,0,33,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.278602942,1.883772966,None,371.27347499999996,None,373.1831353999987,None,373.1831353999987,None,373.19024009999885,None,"['b', 'z']",373.1831353999987,None,None,,375.17452799999955,None,b,1.1511745000007068,0,0,0.8529411764705882,377.4633190000004,None,None,377.4633190000004,None,"[1.1511745000007068, 1.7547498000003543]",,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
34,0,34,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,1.595506577,2.234398566,None,379.47355119999884,None,381.7267174999997,None,381.7267174999997,None,381.7235656999992,None,None,381.7267174999997,None,['b'],[0.5890627000007953],383.70699439999953,None,b,2.5890627000007953,1,1,0.8571428571428571,385.28429309999956,None,None,385.28429309999956,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
35,0,35,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.884449499,1.915207301,None,387.29039100000045,None,389.2327871999987,None,389.2327871999987,None,389.2402775999999,None,['b'],389.2327871999987,None,None,,391.22763979999945,None,b,1.7620700000006764,0,0,0.8333333333333334,395.1132942000004,None,None,395.1132942000004,None,[1.7620700000006764],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
36,0,36,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.742099981,1.910349838,None,397.1246031999999,None,399.05203979999897,None,399.05203979999897,None,399.0403054999997,None,['z'],399.05203979999897,None,None,,401.0438226999995,None,z,0.8761482999998407,1,1,0.8378378378378378,403.79739919999884,None,None,403.79739919999884,None,[0.8761482999998407],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
37,0,37,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.372527466,2.502774076,None,405.80666949999977,None,408.3284965999992,None,408.3284965999992,None,408.3402303999992,None,['b'],408.3284965999992,None,None,,410.3252343000004,None,b,0.8533025000015186,1,1,0.8421052631578947,412.6979993999994,None,None,412.6979993999994,None,[0.8533025000015186],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
38,0,38,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,1.610581685,3.274187802,None,414.70678860000044,None,417.9946369999998,None,417.9946369999998,None,418.0070096999989,None,None,417.9946369999998,None,['b'],[1.081471400000737],419.9737699999987,None,b,3.081471400000737,1,1,0.8461538461538461,421.56716249999954,None,None,421.56716249999954,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
39,0,39,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.309752164,3.276660373,None,423.57384830000046,None,426.86177849999876,None,426.86177849999876,None,426.8735987,None,['z'],426.86177849999876,None,None,,428.8601964999998,None,z,1.6719363000011072,1,1,0.85,433.17983639999875,None,None,433.17983639999875,None,[1.6719363000011072],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
40,0,40,0,,,,,,,,,,3,2.0,1.0,b,9.0,1.0,1.899747326,3.321420384,None,435.19049300000006,None,438.52898300000015,None,438.52898300000015,None,438.5405054999992,None,None,438.52898300000015,None,['b'],[0.20464370000081544],440.5068876999994,None,b,2.2046437000008154,1,1,0.8536585365853658,442.38927539999895,None,None,442.38927539999895,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
41,0,41,0,,,,,,,,,,1,1.0,0.0,b,63.0,0.0,1.219965572,1.448890429,None,444.3904318999994,None,445.86048259999916,None,445.86048259999916,None,445.8572766999996,None,None,445.86048259999916,None,['b'],[1.1012565000019094],447.84061680000013,None,b,3.1012565000019094,1,0,0.8571428571428571,449.0562348000003,None,None,449.0562348000003,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
42,0,42,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.208904638,2.7801224,None,451.0570647000004,None,453.8614318,None,453.8614318,None,453.8739311999998,None,['z'],453.8614318,None,None,,455.85863739999877,None,z,1.8047775000013644,1,1,0.8604651162790697,458.07956449999983,None,None,458.07956449999983,None,[1.8047775000013644],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
43,0,43,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.622505815,1.142638656,None,460.09041330000036,None,461.2456646999999,None,461.2456646999999,None,461.2570715999991,None,['z'],461.2456646999999,None,None,,463.2453095000001,None,z,1.1261036000014428,1,1,0.8636363636363636,466.87956250000025,None,None,466.87956250000025,None,[1.1261036000014428],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,468.89067129999967,None,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.8905414000001,None,None,473.8905414000001,None,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 3, 2]",0.9090909090909091,1.0,0.7272727272727273,0.8181818181818182,,,,,,,,,,,,
