trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,1.6718976049999998,3.274187802,None,299.5273376999994,None,302.77726762999976,302.77726762999976,302.79409562999956,None,[],None,,304.7788794999997,None,None,[],0,3,0.6296296296296297,None,306.4506782999997,['b'],306.4506782999997,None,,,[0.26141809999899124],,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
27,0,27,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.818459073,2.297139377,None,308.4603145000001,None,310.7438543300001,310.7438543300001,310.7602322299996,z,['z'],None,,312.7836453,None,z,1.3188288999990618,1,1,0.6428571428571429,None,315.60482279999997,None,315.60482279999997,None,1.3188288999990618,[1.3188288999990618],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
28,0,28,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.622505815,3.264468617,None,317.6104102999998,None,320.8603777300001,320.8603777300001,320.8770001299987,None,[],['z'],[3.349423300000126],322.8616044999999,None,z,5.349423300000126,0,0,0.6206896551724138,None,326.49085000000014,None,326.49085000000014,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
29,0,29,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.044827724,2.648704933,None,328.49446589999934,None,331.1271216299998,331.1271216299998,331.1435834299997,None,[],['z'],[0.24939740000081656],333.1300825999988,None,z,2.2493974000008166,1,1,0.6333333333333333,None,336.16628259999925,None,336.16628259999925,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
30,0,30,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,4.176609572,2.495793893,None,338.17698559999917,None,340.6437492299998,340.6437492299998,340.66031172999885,z,['z'],None,,342.70494619999954,None,z,1.6517787000011595,1,1,0.6451612903225806,None,346.8870654000002,None,346.8870654000002,None,1.6517787000011595,[1.6517787000011595],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
31,0,31,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,2.917714675,1.293060736,None,348.89368549999926,None,350.1608961299995,350.1608961299995,350.17719413,None,[],"['z', 'b']","[0.6508838999998261, 1.457837500000096]",352.161775999999,None,z,2.650883899999826,0,0,0.625,None,355.08679029999985,None,355.08679029999985,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
32,0,32,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,1.874984683,0.789129603,None,357.0936151999995,None,357.86039803000006,357.86039803000006,357.87704883000026,None,[],['z'],[0.24044700000013108],359.863323399999,None,z,2.240447000000131,1,1,0.6363636363636364,None,361.7325000000001,None,361.7325000000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
33,0,33,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.884449499,1.915207301,None,363.7440771999991,None,365.6438810299993,365.6438810299993,365.6605170299996,None,[],['z'],[0.12841079999998328],367.6473389999992,None,z,2.1284107999999833,1,1,0.6470588235294118,None,371.5311167999989,None,371.5311167999989,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
34,0,34,0,,,,,,,,,,0,0.0,1.0,b,63.0,0.0,4.334629553,1.84422311,None,373.5438775999992,None,375.36049222999884,375.36049222999884,375.3771603299998,None,[],['b'],[0.5275646999998571],377.36244089999855,None,b,2.527564699999857,1,0,0.6571428571428571,None,381.6971408999998,None,381.6971408999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
35,0,35,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.397501916,1.142638656,None,383.71049369999855,None,384.82727122999916,384.82727122999916,384.844100429999,None,[],['z'],[0.1872733000000153],386.8289573000002,None,z,2.1872733000000153,1,1,0.6666666666666666,None,389.23850479999965,None,389.23850479999965,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
