trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.52047235037039,3.06992456303453,None,548.6484769000003,None,551.6986878899997,551.6986878899997,551.7148863900002,None,[],['z'],553.7066888000004,None,z,4.836364400000548,1,1,0.6956521739130435,None,558.2224584999999,None,558.2224584999999,None,,,,[2.836364400000548],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
23,0,23,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,4.53337421950507,1.12425433982333,None,560.0302462000004,None,561.1321573900004,561.1321573900004,561.1481262899997,None,[],['z'],563.1385913999998,None,z,5.047821399999975,1,1,0.7083333333333334,None,567.6708307000004,None,567.6708307000004,None,,,,[3.0478213999999753],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
24,0,24,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.40017271499661,3.4543169006169,None,569.4818087999997,None,572.9137936899997,572.9137936899997,572.9301658900004,None,[],['z'],574.9088432000003,None,z,2.5004690000000664,1,1,0.72,None,579.3140466,None,579.3140466,None,,,,[0.5004690000000664],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
25,0,25,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,2.693348633324513,3.40155979865722,None,581.1147851000001,None,584.4983175899997,584.4983175899997,584.5149979899998,None,[],['b'],586.5015275999999,None,b,2.6181428000004416,1,1,0.7307692307692307,None,589.1972945000002,None,589.1972945000002,None,,,,[0.6181428000004416],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
26,0,26,0,,,,,,,,,,3,2.0,1.0,z,9.0,1.0,3.71372710086949,1.25920145784721,None,590.9968174,None,592.2314812900004,592.2314812900004,592.2479688900003,None,[],['z'],594.2369901999996,None,z,3.7910781000005045,1,1,0.7407407407407407,None,597.9575063999996,None,597.9575063999996,None,,,,[1.7910781000005045],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
27,0,27,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,3.7500315165247198,0.979776149765883,None,599.7654324,None,600.7318257899997,600.7318257899997,600.7482901900003,None,[],['b'],602.7362184999997,None,b,2.3141261000005215,1,1,0.75,None,606.5004978000002,None,606.5004978000002,None,,,,[0.31412610000052155],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
28,0,28,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.61004669244928,2.40378712856304,None,608.3149233999998,None,610.6984637900005,610.6984637900005,610.7151600899997,None,[],['b'],612.7027893999998,None,b,3.680832999999893,1,1,0.7586206896551724,None,617.31385,None,617.31385,None,,,,[1.6808329999998932],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
29,0,29,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.92731383428727,1.64421109900286,None,619.1139504999996,None,620.7318161900002,620.7318161900002,620.74842549,None,[],['z'],622.7367324000002,None,z,2.948350900000605,1,1,0.7666666666666667,None,625.6809959999996,None,625.6809959999996,None,,,,[0.9483509000006052],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
30,0,30,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,2.91303524001082,3.24569326556923,None,627.4817166999997,None,630.7152751900003,630.7152751900003,630.7320573899997,None,[],['z'],632.7202945000004,None,z,3.1966494000002967,0,0,0.7419354838709677,None,635.6395365000003,None,635.6395365000003,None,,,,[1.1966494000002967],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
31,0,31,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.72585056748869,2.96653053743745,None,637.448707,None,640.3984250900003,640.3984250900003,640.4150407899997,None,[],['z'],642.3970318999995,None,z,2.9753330000007736,0,0,0.71875,None,647.130866,None,647.130866,None,,,,[0.9753330000007736],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
