trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.646086599999762,None,t,50.753779899999245,25.646086599999762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
,,,,,,,,,,None,76.42914279999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
0,0,0,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.82531807167306,1.25817747924478,None,76.62922400000025,None,78.02161270000033,None,78.02161270000033,None,78.02895534999952,None,None,78.02161270000033,None,['z'],[0.9635711000000811],79.87946829999964,None,z,2.963571100000081,0,0,0.0,84.70933119999972,None,None,84.70933119999972,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
1,0,1,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.629554641171433,1.43470440954152,None,86.51242449999972,None,88.00719949999984,None,88.00719949999984,None,88.0126489000002,None,None,88.00719949999984,None,['z'],[0.529602700000396],89.94606229999954,None,z,2.529602700000396,1,1,0.5,92.56708359999993,None,None,92.56708359999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
2,0,2,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,4.61004669244928,1.78643585472448,None,94.37932040000032,None,96.24687319999975,None,96.24687319999975,None,96.24624114999969,None,None,96.24687319999975,None,['b'],[0.9790511000001061],98.16280800000004,None,b,2.979051100000106,1,1,0.6666666666666666,102.76369449999947,None,None,102.76369449999947,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
3,0,3,0,,,,,,,,,,3,1.0,2.0,b,9.0,1.0,2.592312596923728,0.974903167432984,None,104.57962750000024,None,105.56946659999994,None,105.56946659999994,None,105.57913430000026,None,None,105.56946659999994,None,['b'],[1.016230899999755],107.54609309999978,None,b,3.016230899999755,1,1,0.75,110.13256139999976,None,None,110.13256139999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
4,0,4,0,,,,,,,,,,1,2.0,0.0,z,27.0,1.0,4.11514536789087,2.78346932462847,None,111.94535470000028,None,114.7519927000003,None,114.7519927000003,None,114.7625113999995,None,None,114.7519927000003,None,['z'],[0.37722669999948266],116.7284952,None,z,2.3772266999994827,1,1,0.8,120.82821499999955,None,None,120.82821499999955,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
5,0,5,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.190022164497369,2.40378712856304,None,122.62933650000014,None,125.0689352999998,None,125.0689352999998,None,125.0795856499999,None,None,125.0689352999998,None,['z'],[1.356876700000612],127.02861080000002,None,z,3.356876700000612,1,1,0.8333333333333334,131.2067336,None,None,131.2067336,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
6,0,6,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.433630701072358,3.40155979865722,None,133.0129979000003,None,136.43393709999964,None,136.43393709999964,None,136.4293089500001,None,['b'],136.43393709999964,None,None,,138.4273733,None,b,0.9178575999994791,1,1,0.8571428571428571,140.8704773999998,None,None,140.8704773999998,None,[0.9178575999994791],,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
7,0,7,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,3.02234236141277,1.64421109900286,None,142.67869749999954,None,144.33402569999998,None,144.33402569999998,None,144.34598200000002,None,['b'],144.33402569999998,None,None,,146.3302891000003,None,b,1.1022693999993862,1,1,0.875,149.3532594999997,None,None,149.3532594999997,None,[1.1022693999993862],,,,,,,,,,,,,,,,,,,,,,CBC_1058,2,5,3,4,11,0.9,2024-01-26_14h15.51.953,MSI_AV_v3,2022.1.1,59.99898001721269,
