trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,243.97180780000053,None,t,56.51823619999959,243.97180780000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
,,,,,,,,,,None,300.51617409999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
0,0,0,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.2759877950103027,1.96568735158996,None,300.7161899999992,None,302.666181729999,302.666181729999,302.6826335299991,None,[],['b'],[0.8552599999984523],304.6696919999995,None,b,2.8552599999984523,1,1,1.0,None,306.97093850000056,None,306.97093850000056,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.71372710086949,0.80788063606262,None,308.7663494999997,None,309.54943753000026,309.54943753000026,309.5659841300001,None,[],['z'],[0.5966545999981463],311.5540837999997,None,z,2.5966545999981463,0,0,0.5,None,315.2743482999995,None,315.2743482999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
2,0,2,0,,,,,,,,,,0,1.0,2.0,z,9.0,1.0,2.7134565917469198,1.36309078069689,None,317.0830965999994,None,318.4165217299995,318.4165217299995,318.43338012999976,None,[],['z'],[1.1257607999996253],320.42315860000053,None,z,3.1257607999996253,1,1,0.6666666666666666,None,323.1539825,None,323.1539825,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
3,0,3,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,3.31929419319838,3.24569326556923,None,324.96645929999977,None,328.1995083300006,328.1995083300006,328.2164033299994,None,[],['z'],[0.4866717000004428],330.2042744999999,None,z,2.486671700000443,1,1,0.75,None,333.53036579999934,None,333.53036579999934,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
4,0,4,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.678526077912375,1.60731937853708,None,335.3334414000001,None,336.9162309300007,336.9162309300007,336.93289863000047,None,[],['b'],[0.5462255000002187],338.9197791000006,None,b,2.5462255000002187,1,1,0.8,None,341.61263829999916,None,341.61263829999916,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
5,0,5,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.72585056748869,1.53122835510861,None,343.4168537000005,None,344.9329787299992,344.9329787299992,344.94958492999996,None,[],['b'],[0.6689873999985139],346.93795409999984,None,b,2.668987399998514,0,0,0.6666666666666666,None,351.6644314999994,None,351.6644314999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
6,0,6,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.92731383428727,1.1243895841892,None,353.4663682999999,None,354.5662276300007,354.5662276300007,354.5827874299992,None,[],None,,356.57040889999917,None,None,[],0,3,0.5714285714285714,None,359.5095089999995,None,359.5095089999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
7,0,7,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,2.517541937862754,1.95130344756745,['z'],361.3168150999991,None,363.2499755299994,363.2499755299994,363.2664089299995,None,[],['b'],[0.3182161000004271],365.2526911999994,None,b,2.318216100000427,0,0,0.5,None,367.7738496999991,None,367.7738496999991,None,[0.5960937999989255],,,,,,,,,,,,,,,,,,,,,,CBC_1045,003,1,1,3,22,0.95,2024-03-15_16h44.49.446,MSI_TV_v3,2022.1.1,60.029846839557614,
