trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_6.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
10;0;10;0;;;;;;;;;;3;1;0;z;63;1;2.592312597;2.155339498;None;257.5737835;None;259.7061212;259.7061212;259.7224652;None;[];['b'];[1.774376299999858];261.7009397;None;b;3.7743763;0;0;0.727272727;None;264.2969091;None;264.2969091;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
11;0;11;0;;;;;;;;;;0;0;1;z;63;1;4.825318072;0.91751991;None;266.1067732;None;267.0066907;267.0066907;267.0232113;None;[];['z'];[2.8824813999999606];269.0077447;None;z;4.8824814;1;1;0.75;None;273.8228901;None;273.8228901;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
12;0;12;0;;;;;;;;;;1;2;3;z;63;1;3.750031517;2.783469325;None;275.6235844;None;278.3902294;278.3902294;278.4074367;None;[];['b'];[0.3487545999996655];280.3941164;None;b;2.3487546;0;0;0.692307692;None;284.1449779;None;284.1449779;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
13;0;13;0;;;;;;;;;;0;1;3;b;27;1;2.275987795;0.807880636;None;285.9570338;None;286.7406197;286.7406197;286.7571189;None;[];['b'];[0.8460023999996338];288.7442074;None;b;2.8460024;1;1;0.714285714;None;291.0083839;None;291.0083839;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
14;0;14;0;;;;;;;;;;2;3;2;z;63;1;2.342239579;1.965687352;None;292.8225796;None;294.7571192;294.7571192;294.7739113;None;[];['b'];[0.3485298999985389];296.7594519;None;b;2.3485299;0;0;0.666666667;None;299.0965379;None;299.0965379;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
15;0;15;0;;;;;;;;;;2;2;0;b;27;1;4.725850567;1.12425434;None;300.9070713;None;302.0070207;302.0070207;302.0233188;None;[];['b'];[0.5978838999981235];304.0084085;None;b;2.5978839;1;1;0.6875;None;308.7202866;None;308.7202866;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
16;0;16;0;;;;;;;;;;3;0;3;b;9;1;2.517541938;3.142444956;None;310.5237065;None;313.6402917;313.6402917;313.6570282;None;[];['b'];[0.5732742999989568];315.6436029;None;b;2.5732743;1;1;0.705882353;None;318.1556809;None;318.1556809;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
17;0;17;0;;;;;;;;;;2;2;3;b;63;0;3.351334582;1.363090781;None;319.957286;None;321.3059344;321.3059344;321.3227069;None;[];['z'];[0.44265529999938735];323.2998005;None;z;2.4426553;0;1;0.666666667;None;326.6531911;None;326.6531911;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
18;0;18;0;;;;;;;;;;3;1;0;z;63;1;4.469240022;1.907436908;None;328.4570009;None;330.3403604;330.3403604;330.3569187;None;[];['z'];[0.5233822999980475];332.343825;None;z;2.5233823;1;1;0.684210526;None;336.8086228;None;336.8086228;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
19;0;19;0;;;;;;;;;;1;3;2;b;63;1;4.124852712;3.454316901;None;338.6237554;None;342.0570014;342.0570014;342.0737995;None;[];['z'];[0.5000738999988243];344.0608876;None;z;2.5000739;0;0;0.65;None;348.1877758;None;348.1877758;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
