trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
14,0,14,0,,,,,,,,,,2,1,0,z,63,1,3.2062024266105302,1.38289892513751,None,213.9201122000004,None,215.30420400000003,None,215.30420400000003,None,215.30243860000007,None,None,215.30420400000003,None,['b'],[0.7818642000002001],217.30334700000003,None,b,2.7818642000002,0,0,0.6,220.50620470000013,None,None,220.50620470000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
15,0,15,0,,,,,,,,,,0,3,1,b,27,1,3.76873691643126,1.21250262048173,None,222.32001899999977,None,223.56043990000035,None,223.56043990000035,None,223.57010309999967,None,None,223.56043990000035,None,['b'],[0.4839821999994456],225.5357313000004,None,b,2.4839821999994456,1,1,0.625,229.28393070000038,None,None,229.28393070000038,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
16,0,16,0,,,,,,,,,,3,0,1,z,63,1,2.91303524001082,0.979776149765883,None,231.08652859999984,None,232.07192829999985,None,232.07192829999985,None,232.07042184999963,None,None,232.07192829999985,None,['z'],[1.5625270000000455],234.05306740000015,None,z,3.5625270000000455,1,1,0.6470588235294118,236.9627271999998,None,None,236.9627271999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
17,0,17,0,,,,,,,,,,1,2,3,b,63,0,4.52047235037039,2.09887870490381,None,238.7701648000002,None,240.8746573999997,None,240.8746573999997,None,240.88630294999993,None,None,240.8746573999997,None,['z'],[0.10855240000000776],242.87035939999987,None,z,2.1085524000000078,0,1,0.6111111111111112,247.3865467000005,None,None,247.3865467000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
18,0,18,0,,,,,,,,,,2,2,0,z,27,1,3.26539063535182,1.53243550275999,None,249.18684529999973,None,250.74312519999967,None,250.74312519999967,None,250.75362779999958,None,None,250.74312519999967,None,['b'],[2.071416899999349],252.72012470000027,None,b,4.071416899999349,0,0,0.5789473684210527,256.0021598000003,None,None,256.0021598000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
19,0,19,0,,,,,,,,,,0,3,2,b,63,1,3.35133458220192,1.53122835510861,None,257.8034267000003,None,259.3551416999999,None,259.3551416999999,None,259.3534120499999,None,['b'],259.3551416999999,None,None,,261.35469250000006,None,b,1.6765873999993346,1,1,0.6,264.7097325000004,None,None,264.7097325000004,None,,[1.6765873999993346],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
20,0,20,0,,,,,,,,,,3,3,1,z,27,1,2.517541937862754,1.1243895841892,None,266.5202519000004,None,267.6573939,None,267.6573939,None,267.65352034999984,None,['z'],267.6573939,None,None,,269.6547521000002,None,z,1.2025440999996135,1,1,0.6190476190476191,272.17496800000026,None,None,272.17496800000026,None,,[1.2025440999996135],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
21,0,21,0,,,,,,,,,,1,3,2,z,63,1,2.92731383428727,3.40155979865722,None,273.9869786999998,None,277.4053412000003,None,277.4053412000003,None,277.40354184999984,None,None,277.4053412000003,None,['z'],[0.1634727999999086],279.3869659000002,None,z,2.1634727999999086,1,1,0.6363636363636364,282.2969380000004,None,None,282.2969380000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
22,0,22,0,,,,,,,,,,2,0,1,b,63,1,2.82320408183943,1.96568735158996,None,284.10337510000045,None,286.08920639999997,None,286.08920639999997,None,286.0872756500003,None,None,286.08920639999997,None,['z'],[0.5311365999996269],288.07020400000056,None,z,2.531136599999627,0,0,0.6086956521739131,290.9304216999999,None,None,290.9304216999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
23,0,23,0,,,,,,,,,,3,2,1,z,9,1,2.433630701072358,1.64421109900286,None,292.7370498999999,None,294.3897297000003,None,294.3897297000003,None,294.3870347499997,None,None,294.3897297000003,None,['z'],[0.3364921000002141],296.37023920000047,None,z,2.336492100000214,1,1,0.625,298.7906109000005,None,None,298.7906109000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
24,0,24,0,,,,,,,,,,1,2,3,b,63,1,2.7134565917469198,1.78643585472448,None,300.60348760000034,None,302.4048049000003,None,302.4048049000003,None,302.4035535499998,None,['z'],302.4048049000003,None,None,,304.40536020000036,None,z,1.5806791999993948,0,0,0.6,307.12609990000055,None,None,307.12609990000055,None,,[1.5806791999993948],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
25,0,25,0,,,,,,,,,,0,2,3,z,63,1,3.02234236141277,1.18065738546375,None,308.93720810000013,None,310.1471158000004,None,310.1471158000004,None,310.15366499999965,None,None,310.1471158000004,None,['z'],[0.1074916999996276],312.12032890000046,None,z,2.1074916999996276,1,1,0.6153846153846154,315.1234236999999,None,None,315.1234236999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
26,0,26,0,,,,,,,,,,3,0,1,z,63,1,4.72585056748869,2.78346932462847,None,316.9372820999997,None,319.74421260000054,None,319.74421260000054,None,319.7538273999997,None,['z'],319.74421260000054,None,None,,321.7322039999999,None,z,1.0801353999995627,1,1,0.6296296296296297,326.4633942999999,None,None,326.4633942999999,None,,[1.0801353999995627],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
27,0,27,0,,,,,,,,,,2,0,2,b,27,1,2.2759877950103027,1.60731937853708,None,328.2703760000004,None,329.8936110000004,None,329.8936110000004,None,329.90432500000026,None,None,329.8936110000004,None,['z'],[0.31468479999966803],331.8706970000003,None,z,2.314684799999668,0,0,0.6071428571428571,334.1326618000003,None,None,334.1326618000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
28,0,28,0,,,,,,,,,,0,1,3,z,27,1,3.7500315165247198,0.761758675042088,None,335.9373099000004,None,336.72949700000026,None,336.72949700000026,None,336.7375356999999,None,['z'],336.72949700000026,None,None,,338.7224518000003,None,z,1.8097368999997343,1,1,0.6206896551724138,342.4755378,None,None,342.4755378,None,,[1.8097368999997343],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
29,0,29,0,,,,,,,,,,2,1,0,z,63,1,3.31929419319838,3.33124983260532,None,344.2871894,None,347.6383318999997,None,347.6383318999997,None,347.63719874999975,None,['z'],347.6383318999997,None,None,,349.63402490000044,None,z,1.7562685999992027,1,1,0.6333333333333333,352.96167310000055,None,None,352.96167310000055,None,,[1.7562685999992027],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
30,0,30,0,,,,,,,,,,1,2,0,b,27,1,2.693348633324513,2.10421507306074,None,354.7704082999999,None,356.8879042999997,None,356.8879042999997,None,356.88755425000005,None,None,356.8879042999997,None,['z'],[1.0448587999990195],358.8702014999999,None,z,3.0448587999990195,0,0,0.6129032258064516,361.56128979999994,None,None,361.56128979999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
31,0,31,0,,,,,,,,,,0,2,3,z,63,1,3.3728785608729996,2.22427187882546,None,363.3538527999999,None,365.59421829999974,None,365.59421829999974,None,365.60405109999994,None,['z'],365.59421829999974,None,['z'],[0.037372400000094785],367.5854035000002,None,z,1.07317890000013,1,1,0.625,370.9589348999998,None,None,370.9589348999998,None,,[1.07317890000013],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
32,0,32,0,,,,,,,,,,3,1,0,b,63,1,4.53337421950507,0.952147612306987,None,372.7705143000003,None,373.7388105,None,373.7388105,None,373.73713985,None,['b'],373.7388105,None,None,,375.7347754000002,None,b,1.5836836999997104,1,1,0.6363636363636364,380.2772557999997,None,None,380.2772557999997,None,,[1.5836836999997104],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
33,0,33,0,,,,,,,,,,2,0,1,b,63,1,3.6438386551209,1.12425433982333,None,382.08726279999973,None,383.22262070000033,None,383.22262070000033,None,383.2207441499996,None,None,383.22262070000033,None,['b'],[0.8735430999995515],385.20362920000025,None,b,2.8735430999995515,1,1,0.6470588235294118,388.84430599999996,None,None,388.84430599999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
34,0,34,0,,,,,,,,,,0,2,3,z,63,0,3.71372710086949,1.34668860557497,None,390.6542592000005,None,392.00920229999974,None,392.00920229999974,None,392.0208493999997,None,None,392.00920229999974,None,['z'],[0.44058749999931024],393.9874937000004,None,z,2.4405874999993102,1,0,0.6571428571428571,397.6850578000003,None,None,397.6850578000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
