trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.rt,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,,,,2,0,3,z,9,1,2.792365600763554,1.1243895841892,None,382.3349529999996,None,383.4352207199989,383.4352207199989,383.45177662000043,None,[],['z'],[0.872227900001235],385.44022380000024,None,z,2.872227900001235,1,1,0.41935483870967744,None,388.23284369999965,None,388.23284369999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
31,0,31,0,,,,,,,,,,3,1,0,b,63,1,3.73326136168326,1.53243550275999,None,390.0349449999994,None,391.5507561199991,391.5507561199991,391.5679854200005,None,[],['b'],[0.8693347000007634],393.54837339999904,None,b,2.8693347000007634,1,1,0.4375,None,397.27619009999944,None,397.27619009999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
32,0,32,0,,,,,,,,,,0,1,0,z,63,1,3.2062024266105302,0.80788063606262,None,399.08441049999965,None,399.8684013199998,399.8684013199998,399.88492641999966,None,[],['b'],[1.7251691000001301],401.8679773999993,None,b,3.72516910000013,0,0,0.42424242424242425,None,405.0805072000003,None,405.0805072000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
33,0,33,0,,,,,,,,,,3,1,0,b,63,1,2.433630701072358,2.40378712856304,None,406.8841107999997,None,409.268058219999,409.268058219999,409.2843623200004,None,[],['z'],[1.2535057999994024],411.2653916999989,None,z,3.2535057999994024,0,0,0.4117647058823529,None,413.70333629999914,None,413.70333629999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
34,0,34,0,,,,,,,,,,1,3,2,z,63,1,4.40017271499661,1.25920145784721,None,415.51855799999976,None,416.75220041999984,416.75220041999984,416.7687883199995,None,[],['b'],[0.9876895000015793],418.7565658000003,None,b,2.9876895000015793,0,0,0.4,None,423.1589533999995,None,423.1589533999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
35,0,35,0,,,,,,,,,,0,0,2,b,27,1,3.76873691643126,3.06992456303453,None,424.96836769999936,None,428.01852782000043,428.01852782000043,428.0351062200005,None,[],None,,430.0184680000002,None,None,[],0,3,0.3888888888888889,None,433.796126199999,None,433.796126199999,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
36,0,36,0,,,,,,,,,,3,1,0,b,63,1,2.91303524001082,1.60731937853708,None,435.60207679999985,None,437.18539151999886,437.18539151999886,437.2024633199997,None,[],['b'],[2.8587938000000577],439.19128929999897,None,b,4.858793800000058,1,1,0.40540540540540543,None,442.1441235000002,None,442.1441235000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
37,0,37,0,,,,,,,,,,3,3,1,z,27,1,4.12485271162806,1.94858485820231,None,443.952033399999,None,445.8851800199989,445.8851800199989,445.90200711999915,None,[],None,,447.88672360000055,None,None,[],0,3,0.39473684210526316,None,452.01226529999985,None,452.01226529999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
38,0,38,0,,,,,,,,,,1,3,2,z,63,1,4.53337421950507,2.6299100644723,None,453.81868609999947,None,456.43542512000005,456.43542512000005,456.45216581999904,None,[],['b'],[0.3463443000000552],458.441020799999,None,b,2.3463443000000552,0,0,0.38461538461538464,None,462.963561999999,None,462.963561999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
39,0,39,0,,,,,,,,,,2,3,1,b,27,1,2.7134565917469198,1.36309078069689,None,464.7691993999997,None,466.1187529199995,466.1187529199995,466.1353609199994,None,[],['b'],[2.260497500001293],468.1191340000005,None,b,4.260497500001293,1,1,0.4,None,470.83893720000015,None,470.83893720000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
40,0,40,0,,,,,,,,,,1,1,2,z,9,1,2.592312596923728,1.78643585472448,None,472.6523094999993,None,474.4189908200004,474.4189908200004,474.43536791999924,None,[],['b'],[0.8939848000009079],476.423753699999,None,b,2.893984800000908,0,0,0.3902439024390244,None,479.00903970000036,None,479.00903970000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
41,0,41,0,,,,,,,,,,3,0,1,z,63,0,2.294664843639333,2.78346932462847,None,480.817640199999,None,483.5848121199995,483.5848121199995,483.6013284199997,None,[],['z'],[0.08678380000128527],485.5814086999999,None,z,2.0867838000012853,1,0,0.40476190476190477,None,487.87933729999895,None,487.87933729999895,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
42,0,42,0,,,,,,,,,,2,3,2,b,63,1,2.92731383428727,0.974903167432984,None,489.6857524999996,None,490.63589911999935,490.63589911999935,490.6524244199989,None,[],None,,492.6395785000004,None,None,[],0,3,0.3953488372093023,None,495.5778515000002,None,495.5778515000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
43,0,43,0,,,,,,,,,,0,0,1,b,63,1,4.52047235037039,0.761758675042088,['z'],497.3858428000003,None,498.13552042000066,498.13552042000066,498.1520825200003,z,['z'],None,,500.180091799999,None,z,0.2627460000003339,0,0,0.38636363636363635,None,504.69515200000023,None,504.69515200000023,None,0.2627460000003339,[0.2627460000003339],[0.07133350000003702],,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,506.50173919999907,None,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.46921739999925,None,b,0.07954079999944952,511.46921739999925,None,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 3, 1, 2]",0.45454545454545453,0.36363636363636365,0.45454545454545453,0.2727272727272727,15,5,24,,,,,,,,,,,,
