trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.58888719999959,None,t,67.6378238999987,27.58888719999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
,,,,,,,,,,None,95.25676940000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
0,0,0,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.72585056748869,0.979776149765883,None,95.4568006999998,None,96.40729589000003,96.40729589000003,96.42407629000118,None,[],['z'],[0.6676886999994167],98.41335760000038,None,z,2.6676886999994167,1,1,1.0,None,103.14638089999971,None,103.14638089999971,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
1,0,1,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.77723667052879,1.96568735158996,None,104.95778700000119,None,106.9077589900011,106.9077589900011,106.92421778999997,None,[],['z'],[1.196936199999982],108.91142820000096,None,z,3.196936199999982,0,0,0.5,None,113.6954141999995,None,113.6954141999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
2,0,2,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.71372710086949,1.94858485820231,None,115.5074779000006,None,117.44066319000049,117.44066319000049,117.45744048999987,None,[],['z'],[1.682254399998783],119.44570879999992,None,z,3.682254399998783,1,1,0.6666666666666666,None,123.16383029999997,None,123.16383029999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
3,0,3,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.12485271162806,1.1243895841892,None,124.9740952000011,None,126.07358089000118,126.07358089000118,126.08985459000033,None,[],['z'],[0.7342871999990166],128.06866629999968,None,z,2.7342871999990166,1,1,0.75,None,132.18868190000103,None,132.18868190000103,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
4,0,4,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.82320408183943,3.1424449555106,None,133.99069400000008,None,137.10754219000083,137.10754219000083,137.12372669000106,None,[],None,,139.1103218999997,None,None,[],0,3,0.6,None,141.93514800000048,['z'],141.93514800000048,None,[0.061807000000044354],,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
5,0,5,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.294664843639333,2.22427187882546,None,143.7400379999999,None,145.9410349900012,145.9410349900012,145.95775628999982,None,[],['b'],[0.4449062000003323],147.94807840000067,None,b,2.4449062000003323,1,1,0.6666666666666666,None,150.25786610000068,None,150.25786610000068,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
6,0,6,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.31929419319838,1.95130344756745,None,152.0578299000008,None,153.9899753900012,153.9899753900012,154.00641699000008,None,[],['z'],[1.445007299998906],155.98547970000072,None,z,3.445007299998906,1,1,0.7142857142857143,None,159.29579110000122,None,159.29579110000122,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
7,0,7,0,,,,,,,,,,2,2.0,1.0,b,9.0,1.0,4.190022164497369,3.06992456303453,None,161.10728150000068,None,164.15727069000096,164.15727069000096,164.1729069899997,None,[],['b'],[0.8932144999980665],166.15257120000024,None,b,2.8932144999980665,1,1,0.75,None,170.3373571000011,None,170.3373571000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
8,0,8,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.35133458220192,3.33124983260532,None,172.1395676000011,None,175.4407110899996,175.4407110899996,175.45723799000044,None,[],['z'],[3.1200336999991123],177.44251480000094,None,z,5.120033699999112,0,0,0.6666666666666666,None,180.80384650000087,None,180.80384650000087,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
9,0,9,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.6391747348430608,2.40378712856304,None,182.60733559999971,None,184.98994329000053,184.98994329000053,185.00695789000056,None,[],['z'],[1.2088994999994611],186.98742680000032,None,z,3.208899499999461,1,1,0.7,None,189.62632370000028,None,189.62632370000028,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
10,0,10,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.91303524001082,2.10421507306074,None,191.44056900000032,None,193.52409429000036,193.52409429000036,193.54057079000123,None,[],['z'],[2.4892001999996864],195.52720320000117,None,z,4.4892001999996864,1,1,0.7272727272727273,None,198.44957890000114,None,198.44957890000114,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
11,0,11,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,2.526044641065533,1.25817747924478,None,200.25625969999965,None,201.49052719000102,201.49052719000102,201.50785249000037,None,[],['z'],[0.7898092999985238],203.49528649999957,None,z,2.789809299998524,0,0,0.6666666666666666,None,206.0226913000006,None,206.0226913000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
12,0,12,0,,,,,,,,,,1,2.0,3.0,z,63.0,0.0,2.629554641171433,2.09887870490381,None,207.82325479999963,None,209.89126308999985,209.89126308999985,209.90782878999963,None,[],['z'],[1.0604991000000155],211.8955158000008,None,z,3.0604991000000155,1,0,0.6923076923076923,None,214.53035070000078,None,214.53035070000078,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
13,0,13,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.433630701072358,3.1963008326951,None,216.34057680000114,None,219.52417989000097,219.52417989000097,219.5406905900003,None,[],None,,221.52725590000045,None,None,[],0,3,0.6428571428571429,None,223.96625380000114,['b'],223.96625380000114,None,[0.6803994000001694],,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
14,0,14,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.02234236141277,0.917519910446003,None,225.77329070000087,None,226.67423049000027,226.67423049000027,226.69088609000065,None,[],['z'],[0.2917931999982102],228.67782760000046,None,z,2.29179319999821,1,1,0.6666666666666666,None,231.70350040000085,None,231.70350040000085,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
