trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,56.59529769999972,None,t,76.52819479999926,56.59529769999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
,,,,,,,,,,None,133.15025290000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
0,0,0,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.190022164497369,1.18065738546375,None,133.3661002000008,None,134.516882720001,134.516882720001,134.53374312000014,None,[],['b'],[0.6123095999992074],136.52781590000086,None,b,2.6123095999992074,1,1,1.0,None,140.75658380000095,None,140.75658380000095,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
1,0,1,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.496959177995529,3.1963008326951,None,142.53320920000078,None,145.71673992000032,145.71673992000032,145.73359732000026,None,[],['z'],[0.6487497999987681],147.7231453000004,None,z,2.648749799998768,1,1,1.0,None,150.22705979999955,None,150.22705979999955,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
2,0,2,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.82320408183943,0.974903167432984,None,152.0336274000001,None,152.98386632000037,152.98386632000037,153.00075892000095,None,[],['b'],[0.46874039999966044],154.9880551999995,None,b,2.4687403999996604,1,1,1.0,None,157.81481669999994,None,157.81481669999994,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
3,0,3,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.592312596923728,1.78643585472448,None,159.6170813000008,None,161.38405052000016,161.38405052000016,161.4005608200001,None,[],['b'],[0.7742985999993834],163.38259440000002,None,b,2.7742985999993834,1,1,1.0,None,165.9788609999996,None,165.9788609999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
4,0,4,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.31929419319838,1.43470440954152,None,167.783324,None,169.1990543200005,169.1990543200005,169.2158432200009,None,[],['z'],[1.4137621999998373],171.19686290000027,None,z,3.4137621999998373,1,1,1.0,None,174.50474250000116,None,174.50474250000116,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
5,0,5,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.61004669244928,1.53243550275999,None,176.31713820000004,None,177.83338861999945,177.83338861999945,177.84997441999948,None,[],"['b', 'z']","[1.0488438999982463, 4.4444958999993105]",179.8368148999998,None,b,3.0488438999982463,0,0,0.8333333333333334,None,184.4667814000004,None,184.4667814000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
6,0,6,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,4.01714354611405,1.25817747924478,None,186.2666962000003,None,187.49994972000022,187.49994972000022,187.51696041999966,None,[],['b'],[0.8796127999994496],189.5056822000006,None,b,2.8796127999994496,1,1,0.8571428571428571,None,193.5292798999999,None,193.5292798999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
7,0,7,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,4.46924002178158,2.40378712856304,None,195.33369029999994,None,197.7160206200002,197.7160206200002,197.73281452000046,None,[],['z'],[0.4859813999992184],199.7139012000007,None,z,2.4859813999992184,1,1,0.875,None,204.18683460000102,None,204.18683460000102,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
8,0,8,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.73326136168326,1.90743690794447,None,206.00022340000032,None,207.88279651999946,207.88279651999946,207.89924931999994,None,[],['z'],[0.8356568999988667],209.88059160000012,None,z,2.8356568999988667,1,1,0.8888888888888888,None,213.60043419999965,None,213.60043419999965,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
9,0,9,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,4.11514536789087,1.34668860557497,None,215.39901629999986,None,216.71714672000016,216.71714672000016,216.73356342000042,None,[],['b'],[0.6435691000006045],218.7226612000013,None,b,2.6435691000006045,1,1,0.9,None,222.83023820000017,None,222.83023820000017,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
10,0,10,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.2759877950103027,2.78346932462847,None,224.63418140000067,None,227.4004943199994,227.4004943199994,227.41725532000018,None,[],['z'],[1.4582448000001023],229.40425340000002,None,z,3.4582448000001023,0,0,0.8181818181818182,None,231.67968850000034,None,231.67968850000034,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
11,0,11,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.6438386551209,2.49839527409216,None,233.4824733000005,None,235.95023062000072,235.95023062000072,235.96683511999944,None,[],"['z', 'b', 'b']","[0.7335521999993944, 2.4041034999991098, 3.389902799999618]",237.9537818000008,None,z,2.7335521999993944,1,1,0.8333333333333334,None,241.60082409999995,None,241.60082409999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,1,1,6,17,0.95,2024-09-11_16h55.09.046,MSI_TV_v3,2022.1.1,59.971345691233346,
