trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,230.55091000000175,None,t,68.51977259999694,230.55091000000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
,,,,,,,,,,None,299.09214129999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
0,0,0,0,,,,,,,,,,3,1,3,b,27,1,4.52047235037039,2.96653053743745,None,299.29187699999966,None,302.404087400002,None,302.404087400002,None,302.40839285000146,None,None,302.404087400002,None,['b'],[0.6529625999974087],304.25834849999956,None,b,2.6529625999974087,1,1,1.0,308.7802702000008,None,None,308.7802702000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
1,0,1,0,,,,,,,,,,2,3,2,z,63,1,2.526044641065533,2.09887870490381,None,310.5750874000005,None,312.73171379999985,None,312.73171379999985,None,312.7415544000025,None,None,312.73171379999985,None,['z'],[1.6875593999975536],314.6752935000004,None,z,3.6875593999975536,1,1,1.0,317.19075160000284,None,None,317.19075160000284,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
2,0,2,0,,,,,,,,,,1,3,2,b,63,1,3.73326136168326,3.24569326556923,None,318.99166900000273,None,322.2962755000008,None,322.2962755000008,None,322.29176865000227,None,None,322.2962755000008,None,['b'],[1.3297773999984202],324.2417529000013,None,b,3.32977739999842,1,1,1.0,327.97122840000156,None,None,327.97122840000156,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
3,0,3,0,,,,,,,,,,3,0,1,z,63,0,3.7500315165247198,2.49839527409216,None,329.775160600002,None,332.32086250000066,None,332.32086250000066,None,332.32514645000083,None,None,332.32086250000066,None,['z'],[0.3827117000000726],334.2752944999993,None,z,2.3827117000000726,1,0,1.0,338.014809100001,None,None,338.014809100001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
4,0,4,0,,,,,,,,,,0,0,3,b,9,1,4.82531807167306,1.60731937853708,None,339.82514040000024,None,341.48399600000266,None,341.48399600000266,None,341.49185549999964,None,None,341.48399600000266,None,['b'],[1.2234663999988697],343.4250176000023,None,b,3.2234663999988697,1,1,1.0,348.2363159000015,None,None,348.2363159000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
5,0,5,0,,,,,,,,,,1,3,2,b,63,1,2.342239579230602,1.53243550275999,None,350.041875400002,None,351.5952298000011,None,351.5952298000011,None,351.5918893500016,None,None,351.5952298000011,None,['b'],[0.8236971999976959],353.57528490000186,None,b,2.823697199997696,1,1,1.0,355.90877580000233,None,None,355.90877580000233,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
6,0,6,0,,,,,,,,,,2,0,2,z,27,1,2.693348633324513,3.33124983260532,None,357.7083383999998,None,361.06713110000055,None,361.06713110000055,None,361.07533760000007,None,None,361.06713110000055,None,['b'],[1.2791212999982235],363.0414531000024,None,b,3.2791212999982235,0,0,0.8571428571428571,365.7321641000017,None,None,365.7321641000017,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,4.53337421950507,1.53122835510861,None,367.5423234000009,None,369.09942450000017,None,369.09942450000017,None,369.1087252000005,None,None,369.09942450000017,None,['b'],[1.4343841999980214],371.07518189999973,None,b,3.4343841999980214,1,1,0.875,375.60839040000064,None,None,375.60839040000064,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
