trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
24,0,24,0,,,,,,,,,,1,2,3,z,63,1,3.7500315165247198,2.09887870490381,None,298.87481910000497,None,300.97881719999714,None,300.97881719999714,None,300.97550814001005,None,None,300.97881719999714,None,['b'],[1.4170464999915566],302.95875800000795,None,b,3.4170464999915566,0,0,0.4,306.69571130000986,None,None,306.69571130000986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
25,0,25,0,,,,,,,,,,0,2,0,b,27,1,4.11514536789087,2.40378712856304,None,308.50891960000445,None,310.92669999999634,None,310.92669999999634,None,310.9253996400104,None,None,310.92669999999634,None,['z'],[1.2234944000083487],312.90880469999684,None,z,3.2234944000083487,0,0,0.38461538461538464,317.0177110000077,None,None,317.0177110000077,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
26,0,26,0,,,,,,,,,,2,1,0,b,63,1,4.52047235037039,3.06992456303453,None,318.82541240000864,None,321.8955704999971,None,321.8955704999971,None,321.90800854000844,None,None,321.8955704999971,None,['b'],[1.1941859000071418],323.8755441000103,None,b,3.1941859000071418,1,1,0.4074074074074074,328.3835612999974,None,None,328.3835612999974,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
27,0,27,0,,,,,,,,,,3,0,1,b,63,1,4.12485271162806,3.1424449555106,None,330.19227390000015,None,333.34776740000234,None,333.34776740000234,None,333.3590309200022,None,None,333.34776740000234,None,['b'],[1.807548400000087],335.32547950001026,None,b,3.807548400000087,1,1,0.42857142857142855,339.4371974000096,None,None,339.4371974000096,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
28,0,28,0,,,,,,,,,,0,3,2,z,63,0,4.77723667052879,1.18065738546375,None,341.2420878999983,None,342.4271483000048,None,342.4271483000048,None,342.4249372599995,None,None,342.4271483000048,None,['b'],[1.0572708000108832],344.4090159000043,None,b,3.0572708000108832,0,1,0.41379310344827586,349.1750283000001,None,None,349.1750283000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
29,0,29,0,,,,,,,,,,1,3,1,b,27,1,2.7134565917469198,1.38289892513751,None,350.9763482999988,None,352.3640971999994,None,352.3640971999994,None,352.37463644000235,None,None,352.3640971999994,None,['z'],[0.8108476000052178],354.3425792000053,None,z,2.810847600005218,0,0,0.4,357.04012600000715,None,None,357.04012600000715,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
30,0,30,0,,,,,,,,,,3,1,0,z,63,1,2.629554641171433,3.24569326556923,None,358.84235700000136,None,362.11371040000813,None,362.11371040000813,None,362.1092771400028,None,None,362.11371040000813,None,['z'],[0.5497095000173431],364.0924543000001,None,z,2.549709500017343,1,1,0.41935483870967744,366.7054184000008,None,None,366.7054184000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
31,0,31,0,,,,,,,,,,1,3,2,b,63,1,3.26539063535182,3.4543169006169,None,368.50908889999846,None,371.98120320000453,None,371.98120320000453,None,371.992481820003,None,None,371.98120320000453,None,['z'],[1.1272361000155797],373.95923970000877,None,z,3.1272361000155797,0,0,0.40625,377.20729750000464,None,None,377.20729750000464,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
32,0,32,0,,,,,,,,,,2,2,1,z,9,1,4.61004669244928,1.78643585472448,None,379.009177800006,None,380.7954047000094,None,380.7954047000094,None,380.80811174000263,None,None,380.7954047000094,None,['b'],[0.9302280999982031],382.7761299999984,None,b,2.930228099998203,0,0,0.3939393939393939,387.38506630000484,None,None,387.38506630000484,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
33,0,33,0,,,,,,,,,,3,1,0,z,63,1,4.77034425507967,0.974903167432984,None,389.19273000000976,None,390.18156199999794,None,390.18156199999794,None,390.1930261200119,None,None,390.18156199999794,None,['b'],[1.289568899999722],392.1592399000074,None,b,3.289568899999722,0,0,0.38235294117647056,396.9261400000105,None,None,396.9261400000105,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
