trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,181.8745858000002,None,t,73.03421409999919,181.8745858000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
,,,,,,,,,,None,254.9409308000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,4.82531807167306,1.21250262048173,None,255.14063310000074,None,256.53731980000066,None,256.53731980000066,None,256.5405054000007,None,None,256.53731980000066,None,['z'],[0.5982490999995207],258.35781340000085,None,z,2.5982490999995207,0,0,0.0,263.22526390000075,None,None,263.22526390000075,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,2.526044641065533,1.53243550275999,None,264.9908697000001,None,266.6449186,None,266.6449186,None,266.64093130000083,None,None,266.6449186,None,['b'],[0.6315061999994214],268.52424560000054,None,b,2.6315061999994214,0,0,0.0,271.0352077000007,None,None,271.0352077000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
2,0,2,0,,,,,,,,,,0,0,2,z,27,1,3.3728785608729996,1.64421109900286,None,272.84070210000027,None,274.52860520000013,None,274.52860520000013,None,274.5240695000007,None,None,274.52860520000013,None,['z'],[0.7000486999986606],276.47418730000027,None,z,2.7000486999986606,1,1,0.3333333333333333,279.8772437000007,None,None,279.8772437000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
3,0,3,0,,,,,,,,,,3,0,1,b,63,1,3.7500315165247198,2.49839527409216,None,281.6578870000003,None,284.1793548000005,None,284.1793548000005,None,284.19081000000006,None,None,284.1793548000005,None,['b'],[0.47709279999980936],286.15741790000084,None,b,2.4770927999998094,1,1,0.5,289.8992080000007,None,None,289.8992080000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
4,0,4,0,,,,,,,,,,1,1,3,b,27,1,3.71372710086949,1.1243895841892,None,291.70761760000005,None,292.8608331000005,None,292.8608331000005,None,292.85728890000064,None,None,292.8608331000005,None,['z'],[0.7117352999994182],294.8243725000002,None,z,2.711735299999418,0,0,0.4,298.5285683000002,None,None,298.5285683000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
5,0,5,0,,,,,,,,,,0,3,2,z,63,1,3.2062024266105302,0.974903167432984,None,300.34074190000047,None,301.3299341000002,None,301.3299341000002,None,301.3409564000003,None,None,301.3299341000002,None,['z'],[0.6189590999993015],303.3077632000004,None,z,2.6189590999993015,1,1,0.5,306.49504220000017,None,None,306.49504220000017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
6,0,6,0,,,,,,,,,,2,3,2,b,63,0,2.629554641171433,1.34668860557497,None,308.3077426,None,309.6766428000001,None,309.6766428000001,None,309.67420190000075,None,['z'],309.6766428000001,None,None,,311.6772667000005,None,z,1.8648906999987958,0,1,0.42857142857142855,314.31130360000043,None,None,314.31130360000043,None,[1.8648906999987958],,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
7,0,7,0,,,,,,,,,,1,0,1,z,63,1,2.592312596923728,3.4543169006169,None,316.1245783000004,None,319.59536520000074,None,319.59536520000074,None,319.59109520000084,None,None,319.59536520000074,None,['z'],[0.6069365999992442],321.5745215000006,None,z,2.606936599999244,1,1,0.5,324.1613575000001,None,None,324.1613575000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
8,0,8,0,,,,,,,,,,3,2,0,z,27,1,2.6391747348430608,3.1424449555106,None,325.97495340000023,None,329.1305447000004,None,329.1305447000004,None,329.14120900000034,None,None,329.1305447000004,None,['z'],[2.1027464999988297],331.1076845000007,None,z,4.10274649999883,1,1,0.5555555555555556,333.7295601000005,None,None,333.7295601000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
9,0,9,0,,,,,,,,,,2,3,0,b,9,1,2.496959177995529,0.77703640172831,None,335.54131470000084,None,336.33065110000007,None,336.33065110000007,None,336.34103380000033,None,None,336.33065110000007,None,None,,338.30766870000025,None,[],[],0,3,0.5,340.83649870000045,None,None,340.83649870000045,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
10,0,10,0,,,,,,,,,,0,2,3,b,63,1,3.73326136168326,2.10421507306074,None,342.60788460000003,None,344.72690650000004,None,344.72690650000004,None,344.7246127000003,None,None,344.72690650000004,None,['z'],[0.18884439999965252],346.70774000000074,None,z,2.1888443999996525,0,0,0.45454545454545453,350.4315802000001,None,None,350.4315802000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
11,0,11,0,,,,,,,,,,1,0,1,z,63,1,3.26539063535182,0.979776149765883,None,352.24083640000026,None,353.24259130000064,None,353.24259130000064,None,353.2409543000008,None,['z'],353.24259130000064,None,None,,355.2442278000008,None,z,1.7869441999991977,1,1,0.5,358.5121788000006,None,None,358.5121788000006,None,[1.7869441999991977],,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
12,0,12,0,,,,,,,,,,2,2,3,z,63,1,4.77034425507967,1.94858485820231,None,360.32461990000047,None,362.29281640000045,None,362.29281640000045,None,362.2910050000005,None,None,362.29281640000045,None,['z'],[1.864381699999285],364.27458020000086,None,z,3.864381699999285,1,1,0.5384615384615384,369.0293741000005,None,None,369.0293741000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
13,0,13,0,,,,,,,,,,0,2,3,b,63,1,4.12485271162806,1.95130344756745,None,370.84117120000064,None,372.80886680000003,None,372.80886680000003,None,372.8079274000006,None,['z'],372.80886680000003,None,None,,374.80370960000073,None,z,1.4983010999994804,0,0,0.5,378.92703690000053,None,None,378.92703690000053,None,[1.4983010999994804],,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
14,0,14,0,,,,,,,,,,1,3,1,z,27,1,2.91303524001082,2.09887870490381,None,380.74142030000075,None,382.86562720000074,None,382.86562720000074,None,382.8744996000005,None,None,382.86562720000074,None,None,,384.84082150000086,None,[],[],0,3,0.4666666666666667,387.7311343000001,None,None,387.7311343000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,001,3,2,2,20,0.90,2024-08-06_15h06.49.385,MSI_AV_v3,2022.1.1,59.89777845129298,
