trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,0,0,1,b,63,1,4.01714354611405,1.18065738546375,None,181.29070440000032,None,182.49368920000052,None,182.49368920000052,None,182.49072720000095,None,None,,182.49368920000052,None,['z'],184.474323800001,None,z,2.324484599997959,0,0,0.7777777777777778,188.47765040000013,None,None,188.47765040000013,None,[0.32448459999795887],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
9,0,9,0,,,,,,,,,,1,2,0,b,27,1,3.02234236141277,1.43470440954152,None,190.29078760000084,None,191.74588100000074,None,191.74588100000074,None,191.75745260000076,None,['b'],[1.635724299998401],191.74588100000074,None,None,193.75090120000095,None,b,1.635724299998401,1,1,0.8,196.76541150000048,None,None,196.76541150000048,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
10,0,10,0,,,,,,,,,,3,0,1,z,63,1,4.52047235037039,2.78346932462847,None,198.57456850000017,None,201.37857020000047,None,201.37857020000047,None,201.39079830000082,None,None,,201.37857020000047,None,['b'],203.35759440000038,None,b,2.6520274999984395,0,0,0.7272727272727273,207.8600892000013,None,None,207.8600892000013,None,[0.6520274999984395],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
11,0,11,0,,,,,,,,,,0,0,1,b,63,1,2.342239579230602,1.36309078069689,None,209.67441320000034,None,211.06173669999953,None,211.06173669999953,None,211.07395760000145,None,None,,211.06173669999953,None,['z'],213.0405955999995,None,z,3.4339050999988103,0,0,0.6666666666666666,215.37433750000127,None,None,215.37433750000127,None,[1.4339050999988103],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
12,0,12,0,,,,,,,,,,1,3,2,z,63,1,2.666404967794728,1.25920145784721,None,217.17465100000118,None,218.44725610000023,None,218.44725610000023,None,218.4578720999998,None,None,,218.44725610000023,None,['b'],220.42447999999968,None,b,2.5456264999993437,0,0,0.6153846153846154,223.07208250000076,None,None,223.07208250000076,None,[0.5456264999993437],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
13,0,13,0,,,,,,,,,,0,0,2,b,27,1,2.91303524001082,0.761758675042088,None,224.8743355000006,None,225.6467131999998,None,225.6467131999998,None,225.6576978000012,None,None,,225.6467131999998,None,['z'],227.62456220000058,None,z,2.4067406999984087,0,0,0.5714285714285714,230.5259076000002,None,None,230.5259076000002,None,[0.4067406999984087],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
14,0,14,0,,,,,,,,,,3,1,0,b,63,1,4.46924002178158,1.90743690794447,None,232.34104110000044,None,234.26023270000042,None,234.26023270000042,None,234.25736810000035,None,['b'],[1.6057346999987203],234.26023270000042,None,None,236.26021310000033,None,b,1.6057346999987203,1,1,0.6,240.73193770000034,None,None,240.73193770000034,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
15,0,15,0,,,,,,,,,,3,0,1,z,63,1,2.294664843639333,3.06992456303453,None,242.54125290000047,None,245.63082680000116,None,245.63082680000116,None,245.6413248000008,None,['z'],[1.6089204999989306],245.63082680000116,None,None,247.62322070000118,None,z,1.6089204999989306,1,1,0.625,249.9158595000008,None,None,249.9158595000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
16,0,16,0,,,,,,,,,,1,3,2,z,63,1,3.68371079902891,1.60731937853708,None,251.72481979999975,None,253.3449868000007,None,253.3449868000007,None,253.3411266000012,None,None,,253.3449868000007,None,['z'],255.3245880000013,None,z,3.4069387999988976,1,1,0.6470588235294118,259.00032120000105,None,None,259.00032120000105,None,[1.4069387999988976],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
17,0,17,0,,,,,,,,,,2,3,1,b,27,1,4.7533305109883095,2.22427187882546,None,260.8081671,None,263.0426793000006,None,263.0426793000006,None,263.0409641000015,None,['b'],[1.870651799998086],263.0426793000006,None,None,265.04297790000055,None,b,1.870651799998086,1,1,0.6666666666666666,269.79782840000007,None,None,269.79782840000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
18,0,18,0,,,,,,,,,,1,1,2,z,9,1,2.526044641065533,0.917519910446003,None,271.60766590000094,None,272.54412220000086,None,272.54412220000086,None,272.5413070000004,None,['z'],[1.0560267999990174],272.54412220000086,None,None,274.5422982,None,z,1.0560267999990174,1,1,0.6842105263157895,277.08070810000027,None,None,277.08070810000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
19,0,19,0,,,,,,,,,,3,3,1,z,27,1,3.2062024266105302,1.21250262048173,None,278.8914323000008,None,280.1112045000009,None,280.1112045000009,None,280.107567,None,None,,280.1112045000009,None,['z'],282.0909588000013,None,z,4.788910399998713,1,1,0.7,285.28920260000086,None,None,285.28920260000086,None,[2.788910399998713],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
20,0,20,0,,,,,,,,,,2,3,2,b,63,1,3.3728785608729996,1.53243550275999,None,287.0911842000005,None,288.64797929999986,None,288.64797929999986,None,288.6581029000008,None,['b'],[1.549278199998298],288.64797929999986,None,None,290.64171929999975,None,b,1.549278199998298,1,1,0.7142857142857143,294.01367050000044,None,None,294.01367050000044,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
21,0,21,0,,,,,,,,,,3,1,0,b,63,0,3.71372710086949,2.09887870490381,None,295.8248056000011,None,297.9435153000013,None,297.9435153000013,None,297.9414142000014,None,['z'],[1.7723042999987229],297.9435153000013,None,None,299.93850460000067,None,z,1.7723042999987229,0,1,0.6818181818181818,303.6472023999995,None,None,303.6472023999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
22,0,22,0,,,,,,,,,,0,3,0,z,9,1,2.2759877950103027,1.38289892513751,None,305.4577011000001,None,306.8630193000008,None,306.8630193000008,None,306.87477580000086,None,None,,306.8630193000008,None,['b'],308.8415765000009,None,b,2.634854299998551,0,0,0.6521739130434783,311.1018991000001,None,None,311.1018991000001,None,[0.6348542999985511],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
23,0,23,0,,,,,,,,,,2,2,3,z,63,1,3.26539063535182,1.95130344756745,None,312.90811120000035,None,314.87953410000046,None,314.87953410000046,None,314.8750141999999,None,['z'],[1.2965054999986023],314.87953410000046,None,None,316.87327110000115,None,z,1.2965054999986023,1,1,0.6666666666666666,320.14889910000056,None,None,320.14889910000056,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
24,0,24,0,,,,,,,,,,3,1,3,b,27,1,4.77723667052879,3.33124983260532,None,321.95824320000065,None,325.31215619999966,None,325.31215619999966,None,325.30815710000115,None,['z'],[1.300604399999429],325.31215619999966,None,None,327.3084761000009,None,z,1.300604399999429,0,0,0.64,332.0973704000007,None,None,332.0973704000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
25,0,25,0,,,,,,,,,,1,2,3,b,63,1,2.92731383428727,1.64421109900286,None,333.9084657000003,None,335.56043339999997,None,335.56043339999997,None,335.5582462000011,None,['b'],[1.9404589999976452],335.56043339999997,None,None,337.56121669999993,None,b,1.9404589999976452,1,1,0.6538461538461539,340.4982479999999,None,None,340.4982479999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
26,0,26,0,,,,,,,,,,1,2,0,b,27,1,4.40017271499661,1.96568735158996,None,342.30818309999995,None,344.2948462000004,None,344.2948462000004,None,344.2913004000011,None,None,,344.2948462000004,None,['b'],346.2747376999996,None,b,2.2259261999988667,1,1,0.6666666666666666,350.66740670000036,None,None,350.66740670000036,None,[0.22592619999886665],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
27,0,27,0,,,,,,,,,,3,0,1,z,63,1,2.82320408183943,0.80788063606262,None,352.47500000000036,None,353.29688780000106,None,353.29688780000106,None,353.3080065000013,None,None,,353.29688780000106,None,['b'],355.27492060000077,None,b,2.6324678999990283,0,0,0.6428571428571429,358.0951060999996,None,None,358.0951060999996,None,[0.6324678999990283],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
28,0,28,0,,,,,,,,,,1,2,3,b,63,1,3.7500315165247198,3.1963008326951,None,359.9085646000003,None,363.13033879999966,None,363.13033879999966,None,363.14135030000034,None,None,,363.13033879999966,None,['z'],365.10818130000007,None,z,2.2026360999989265,0,0,0.6206896551724138,368.8491604999999,None,None,368.8491604999999,None,[0.2026360999989265],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
