trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,32.62281669999902,None,t,50.915258600000016,32.62281669999902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
,,,,,,,,,,None,83.5671743999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
0,0,0,0,,,,,,,,,,3,1,0,z,63,1,2.7134565917469198,2.40378712856304,None,83.76665030000004,None,86.3672760999998,None,86.3672760999998,None,86.36674924000071,None,None,86.3672760999998,None,['b'],[0.1713878000009572],88.16703929999858,None,b,2.171387800000957,0,0,0.0,90.88304499999867,None,None,90.88304499999867,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
1,0,1,0,,,,,,,,,,1,3,2,b,63,1,4.7533305109883095,1.64421109900286,None,92.68356049999966,None,94.43230009999934,None,94.43230009999934,None,94.43361279000037,None,None,94.43230009999934,None,['z'],[0.4940353000001778],96.31706809999923,None,z,2.494035300000178,0,0,0.0,101.07227020000028,None,None,101.07227020000028,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,4.40017271499661,0.979776149765883,None,102.88353279999865,None,103.90435139999863,None,103.90435139999863,None,103.90012923999966,None,None,103.90435139999863,None,['b'],[0.5070844000001671],105.86692409999887,None,b,2.507084400000167,1,1,0.3333333333333333,110.25602099999924,None,None,110.25602099999924,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
3,0,3,0,,,,,,,,,,3,1,0,z,63,1,2.517541937862754,0.952147612306987,None,112.06693559999985,None,113.03633179999997,None,113.03633179999997,None,113.03358542999977,None,None,113.03633179999997,None,['z'],[0.18996059999881254],115.0169533999997,None,z,2.1899605999988125,1,1,0.5,117.51745729999857,None,None,117.51745729999857,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
4,0,4,0,,,,,,,,,,0,3,1,z,27,1,4.77723667052879,1.34668860557497,None,119.31714230000034,None,120.73228050000034,None,120.73228050000034,None,120.7334605600001,None,['b'],120.73228050000034,None,None,,122.67388219999884,None,b,1.8067673000005016,0,0,0.4,127.4398330999993,None,None,127.4398330999993,None,[1.8067673000005016],,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,3.26539063535182,3.40155979865722,None,129.2532345999989,None,132.66750239999965,None,132.66750239999965,None,132.66679953000002,None,None,132.66750239999965,None,['z'],[1.017479000000094],134.65015519999906,None,z,3.017479000000094,0,0,0.3333333333333333,137.90855229999943,None,None,137.90855229999943,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
6,0,6,0,,,,,,,,,,1,2,3,z,63,0,4.01714354611405,3.24569326556923,None,139.71685199999956,None,142.96317180000005,None,142.96317180000005,None,142.96683982999875,None,None,142.96317180000005,None,None,,144.95021309999902,None,[],[],0,3,0.2857142857142857,148.9570066999986,None,['b'],148.9570066999986,None,,[1.5586966000009852],,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
7,0,7,0,,,,,,,,,,0,1,0,b,63,1,4.12485271162806,1.53122835510861,None,150.76688569999897,None,152.3232398,None,152.3232398,None,152.33375503999994,None,None,152.3232398,None,['z'],[0.4499504000013985],154.30037019999872,None,z,2.4499504000013985,0,0,0.25,158.41206239999883,None,None,158.41206239999883,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1020,006,4,3,6,19,0.8,2023-06-28_17h19.47.712,MSI_AV_v3,2022.1.1,59.97976282754257,
