trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.433630701072358,2.09887870490381,None,631.2492973000008,None,633.332595390001,633.332595390001,633.3493345900013,None,[],,,['b'],635.335959,None,b,2.772135700000945,1,1,0.8055555555555556,None,637.7808431000012,None,637.7808431000012,None,[0.7721357000009448],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
36,0,36,0,,,,,,,,,,0,2.0,1.0,z,9.0,1.0,3.6438386551209,1.90743690794447,None,639.5831072000001,None,641.4660122900011,641.4660122900011,641.4828150900018,None,[],,,['z'],643.4650599000015,None,z,3.484036300000298,1,1,0.8108108108108109,None,647.1214911999996,None,647.1214911999996,None,[1.484036300000298],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
37,0,37,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,3.71372710086949,1.78643585472448,None,648.9328485000005,None,650.6996363900023,650.6996363900023,650.7164603900007,None,[],,,['b'],652.7055536000007,None,b,2.6488612000030116,1,1,0.8157894736842105,None,656.4146376999997,None,656.4146376999997,None,[0.6488612000030116],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
38,0,38,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.26539063535182,0.77703640172831,None,658.2159291999997,None,658.9660069900008,658.9660069900008,658.9828074900022,z,['z'],1.7053772000035679,[1.7053772000035679],None,660.9876433999998,None,z,1.7053772000035679,1,1,0.8205128205128205,None,664.2638869000002,None,664.2638869000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
39,0,39,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.72585056748869,3.40155979865722,None,666.0660281000019,None,669.450050189999,669.450050189999,669.4660732899999,None,[],,,['z'],671.4498319000013,None,z,3.1098716000014974,0,0,0.8,None,676.1791722000016,None,676.1791722000016,None,[1.1098716000014974],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
40,0,40,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.666404967794728,3.1963008326951,None,677.9828233000007,None,681.1495338900011,681.1495338900011,681.1665587900013,None,[],,,['b'],683.1553404000006,None,b,2.979074999999284,0,0,0.7804878048780488,None,685.8166263000021,None,685.8166263000021,None,[0.979074999999284],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
41,0,41,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,4.53337421950507,0.917519910446003,None,687.6171275000015,None,688.5161386899988,688.5161386899988,688.5328652900014,None,[],,,['b'],690.5228420000021,None,b,2.1618097000027774,1,1,0.7857142857142857,None,695.0508453000002,None,695.0508453000002,None,[0.1618097000027774],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
42,0,42,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.7500315165247198,1.21250262048173,None,696.8651793999998,None,698.0499358900004,698.0499358900004,698.0662115900002,None,[],,,['z'],700.056881200002,None,z,2.361696600000869,1,1,0.7906976744186046,None,703.798623300001,None,703.798623300001,None,[0.3616966000008688],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
43,0,43,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.92731383428727,2.15533949826702,None,705.5997750999995,None,707.7332378900016,707.7332378900016,707.7498754899996,None,[],,,['z'],709.7337133000001,None,z,3.1510011999998824,1,1,0.7954545454545454,None,712.6588517000018,None,712.6588517000018,None,[1.1510011999998824],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,714.4663814000014,None,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.4502882000015,None,None,719.4502882000015,724.4337756000023,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 0, 2, 3]",0.7272727272727273,0.7272727272727273,1.0,0.7272727272727273,35,1,8,,,,,,,,,,,,
