trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,26.143023200000243,None,t,47.90892829999939,26.143023200000243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
,,,,,,,,,,None,74.0806932000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,2.693348633324513,2.10421507306074,None,74.2809427000011,None,76.36419777000064,76.36419777000064,76.38083187000102,z,['z'],1.8261559999973542,[1.8261559999973542],None,78.39429139999993,None,z,1.8261559999973542,0,0,0.0,None,81.11468100000093,None,81.11468100000093,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
1,0,1,0,,,,,,,,,,0,2,3,b,63,1,4.72585056748869,1.34668860557497,None,82.89741110000068,None,84.23093847,84.23093847,84.24755137000083,b,['b'],1.5605244999987917,[1.5605244999987917],None,86.25639600000068,None,b,1.5605244999987917,1,1,0.5,None,90.97271590000128,None,90.97271590000128,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
2,0,2,0,,,,,,,,,,3,2,0,z,27,1,4.12485271162806,0.952147612306987,None,92.7797309000016,None,93.71403717000048,93.71403717000048,93.73053407000025,None,[],,,['z'],95.70515890000024,None,z,2.0607754999982717,1,1,0.6666666666666666,None,99.82876810000016,None,99.82876810000016,None,[0.0607754999982717],,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
3,0,3,0,,,,,,,,,,1,0,1,z,63,1,2.629554641171433,1.43470440954152,None,101.63089740000032,None,103.0464023700004,103.0464023700004,103.06325137000003,b,['b'],1.6423305999978766,[1.6423305999978766],None,105.05884200000037,None,b,1.6423305999978766,0,0,0.5,None,107.70030550000047,None,107.70030550000047,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
4,0,4,0,,,,,,,,,,2,3,2,b,63,1,2.6391747348430608,1.1243895841892,None,109.49765939999997,None,110.59655727000045,110.59655727000045,110.61319827000061,None,[],,,['z'],112.58448769999995,None,z,2.075236499998937,0,0,0.4,None,115.2241294000014,None,115.2241294000014,None,[0.07523649999893678],,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
5,0,5,0,,,,,,,,,,1,2,1,z,9,1,2.7134565917469198,2.09887870490381,None,117.03085480000118,None,119.11418167000174,119.11418167000174,119.13079307000025,b,['b'],1.9783727999983967,[1.9783727999983967],None,121.14309959999991,None,b,1.9783727999983967,0,0,0.3333333333333333,None,123.85451850000027,None,123.85451850000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
6,0,6,0,,,,,,,,,,2,3,1,b,27,1,4.53337421950507,1.25817747924478,None,125.66327430000092,None,126.89738237000147,126.89738237000147,126.91419637000017,None,[],,,['z'],128.89030559999992,None,z,2.22683749999851,0,0,0.2857142857142857,None,133.42041710000012,None,133.42041710000012,None,[0.22683749999850988],,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,3.6438386551209,0.917519910446003,None,135.23075940000126,None,136.12980747000057,136.12980747000057,136.14658637000122,None,[],,,['b'],138.11826440000004,None,b,2.6953253999981825,1,1,0.375,None,141.76642340000035,None,141.76642340000035,None,[0.6953253999981825],,,,,,,,,,,,,,,,,,,,,CBC_1021,4,1,2,0,20,0.95,2023-07-18_16h24.41.177,MSI_TV_v3,2022.1.1,60.053567782463254,
