trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,58.11305760000005,None,t,92.70708800000011,58.11305760000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
,,,,,,,,,,None,150.84113939999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
0,0,0,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.82531807167306,3.1963008326951,None,151.0406796000002,None,154.45371569999998,None,154.45371569999998,None,154.45847770000046,None,None,154.45371569999998,None,['z'],[0.7329663000000437],156.2409278,None,z,2.7329663000000437,1,1,1.0,161.0713010999998,None,None,161.0713010999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.792365600763554,0.974903167432984,None,162.87403270000004,None,163.87817320000022,None,163.87817320000022,None,163.87491242000013,None,None,163.87817320000022,None,['b'],[0.36574830000017755],165.84146169999985,None,b,2.3657483000001776,1,1,1.0,168.63173289999986,None,None,168.63173289999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
2,0,2,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.6391747348430608,0.979776149765883,None,170.4410681999998,None,171.5218530000002,None,171.5218530000002,None,171.52484644000023,None,None,171.5218530000002,None,['z'],[0.7048179000003074],173.4241763,None,z,2.7048179000003074,1,1,1.0,176.05560109999988,None,None,176.05560109999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
3,0,3,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,4.190022164497369,1.64421109900286,None,177.85747919999994,None,179.51509609999994,None,179.51509609999994,None,179.52486942000021,None,['b'],179.51509609999994,None,None,,181.50794989999986,None,b,1.452002800000173,0,0,0.75,185.68973619999997,None,None,185.68973619999997,None,[1.452002800000173],,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
4,0,4,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.3728785608729996,2.15533949826702,None,187.49118559999988,None,189.6637599999999,None,189.6637599999999,None,189.67483852000012,None,['b'],189.6637599999999,None,None,,191.6592982000002,None,b,1.586174700000356,1,1,0.8,195.03266729999996,None,None,195.03266729999996,None,[1.586174700000356],,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
5,0,5,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,3.26539063535182,1.53243550275999,None,196.8413856000002,None,198.40232689999993,None,198.40232689999993,None,198.40723061999986,None,None,198.40232689999993,None,['z'],[1.4809606000003441],200.3741540000001,None,z,3.480960600000344,0,0,0.6666666666666666,203.62810189999982,None,None,203.62810189999982,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
6,0,6,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.496959177995529,1.53122835510861,None,205.4412395999998,None,206.99790010000015,None,206.99790010000015,None,207.00776832,None,None,206.99790010000015,None,['b'],[0.8049884000001839],208.9741537,None,b,2.804988400000184,0,0,0.5714285714285714,211.46115259999988,None,None,211.46115259999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
7,0,7,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.693348633324513,1.36309078069689,None,213.2745756999998,None,214.66344489999983,None,214.66344489999983,None,214.6747982200002,None,None,214.66344489999983,None,['b'],[1.1212220000002162],216.6412332,None,b,3.121222000000216,0,0,0.5,219.31696539999984,None,None,219.31696539999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,001,3,2,0,14,0.95,2024-01-04_12h44.35.607,MSI_AV_v3,2022.1.1,60.58083694845079,
