trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,40.2170045999992,None,t,49.24031190000096,40.2170045999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
,,,,,,,,,,None,89.48347139999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
0,0,0,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,2.7134565917469198,0.952147612306987,None,89.68322800000169,None,90.703207999999,None,90.703207999999,None,90.70040530000115,None,None,90.703207999999,None,['r'],[0.436348100000032],92.63417929999923,None,r,2.436348100000032,0,0,0.0,95.35886089999985,None,None,95.35886089999985,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
1,0,1,0,,,,,,,,,,3,3.0,2.0,r,63.0,1.0,2.592312596923728,3.24569326556923,None,97.1671348000018,None,100.42047119999916,None,100.42047119999916,None,100.41725059999918,None,None,100.42047119999916,None,['b'],[0.22079060000032769],102.39963960000023,None,b,2.2207906000003277,0,0,0.0,104.97732579999865,None,None,104.97732579999865,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
2,0,2,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,2.91303524001082,0.917519910446003,None,106.7840326000005,None,107.70504280000023,None,107.70504280000023,None,107.7163867000014,None,['b'],107.70504280000023,None,None,,109.70196030000079,None,b,1.5677495999989333,1,1,0.3333333333333333,112.61662290000095,None,None,112.61662290000095,None,[1.5677495999989333],,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
3,0,3,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.678526077912375,1.94858485820231,None,114.41759879999881,None,116.4041967000012,None,116.4041967000012,None,116.40108240000045,None,None,116.4041967000012,None,['b'],[0.6221354000008432],118.36736430000019,None,b,2.622135400000843,1,1,0.5,121.03565209999942,None,None,121.03565209999942,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
4,0,4,0,,,,,,,,,,0,0.0,1.0,r,63.0,1.0,3.26539063535182,1.78643585472448,None,122.84966300000087,None,124.6572273999991,None,124.6572273999991,None,124.66743589999969,None,None,124.6572273999991,None,['r'],[0.4061815999993996],126.63408859999981,None,r,2.4061815999993996,1,1,0.6,129.89320189999853,None,None,129.89320189999853,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
5,0,5,0,,,,,,,,,,3,3.0,2.0,r,63.0,1.0,4.77723667052879,1.43470440954152,None,131.70079220000116,None,133.13733739999952,None,133.13733739999952,None,133.13366520000125,None,None,133.13733739999952,None,['r'],[3.8016100999993796],135.13420340000084,None,r,5.80161009999938,1,1,0.6666666666666666,139.89350299999933,None,None,139.89350299999933,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
6,0,6,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,3.7500315165247198,1.27538462653558,None,141.70094590000008,None,143.00220030000128,None,143.00220030000128,None,143.00084430000132,None,['b'],143.00220030000128,None,None,,144.98307449999993,None,b,1.9266016999972635,1,1,0.7142857142857143,148.73357069999838,None,None,148.73357069999838,None,[1.9266016999972635],,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
7,0,7,0,,,,,,,,,,3,1.0,2.0,r,9.0,1.0,4.01714354611405,2.10421507306074,None,150.53426839999884,None,152.65146440000171,None,152.65146440000171,None,152.6505893999998,None,None,152.65146440000171,None,"['r', 'b', 'b']","[0.6163639000005787, 1.2535881000003428, 1.6588765000014973]",154.63439440000002,None,r,2.6163639000005787,1,1,0.75,158.63558710000143,None,None,158.63558710000143,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,3,6,3,6,7,0.95,2024-05-26_14h20.21.975,MSI_AV_v3,2022.1.1,60.01648052571681,
