trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,136.6433274000001,None,t,65.5641786999995,136.6433274000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
,,,,,,,,,,None,202.22741190000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
0,0,0,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.71372710086949,1.96568735158996,None,202.42743940000037,None,204.3774004200005,204.3774004200005,204.39396622000012,None,[],['b'],[0.7982964000002539],206.3854609,None,b,2.798296400000254,1,1,1.0,None,210.10316450000028,None,210.10316450000028,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.11514536789087,0.77703640172831,None,211.91091460000007,None,212.67756801999994,212.67756801999994,212.6941021200001,None,[],['b'],[0.281076999999641],214.68116370000007,None,b,2.281076999999641,1,1,1.0,None,218.79209100000026,None,218.79209100000026,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.92731383428727,1.53243550275999,None,220.59400879999976,None,222.11130521999993,222.11130521999993,222.12766451999968,None,[],['b'],[0.8017115000002377],224.1156845000005,None,b,2.8017115000002377,0,0,0.6666666666666666,None,227.03464650000024,None,227.03464650000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.77034425507967,2.49839527409216,None,228.84442630000012,None,231.32789882000006,231.32789882000006,231.34384041999974,None,[],['b'],[0.3741202000001067],233.3317337999997,None,b,2.3741202000001067,0,0,0.5,None,238.09934369999974,None,238.09934369999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
4,0,4,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.592312596923728,3.24569326556923,None,239.91113380000024,None,243.14427322000037,243.14427322000037,243.1606958200001,None,[],['b'],[0.8566174999996292],245.14835120000043,None,b,2.856617499999629,1,1,0.6,None,247.73215789999995,None,247.73215789999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
5,0,5,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.294664843639333,1.53122835510861,None,249.54402540000046,None,251.0613733199999,251.0613733199999,251.07769201999972,None,[],['z'],[0.6230128999995941],253.0661611000005,None,z,2.623012899999594,1,1,0.6666666666666666,None,255.35598310000023,None,255.35598310000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.91303524001082,1.52290599571961,None,257.16057569999975,None,258.66081902000053,258.66081902000053,258.67762452,None,[],['b'],[1.3902652999995553],260.66353750000053,None,b,3.3902652999995553,1,1,0.7142857142857143,None,263.58691830000043,None,263.58691830000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.35133458220192,3.33124983260532,None,265.39402640000026,None,268.71091592000005,268.71091592000005,268.72780351999984,None,[],['z'],[0.3168495999998413],270.71691740000006,None,z,2.3168495999998413,1,1,0.75,None,274.07189449999987,None,274.07189449999987,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1040,001,6,2,3,17,0.9,2023-12-20_15h38.50.725,MSI_TV_v3,2022.1.1,60.05464973129501,
