trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,2.088920167,2.128027194,None,404.48203750000175,None,406.58186770000174,406.58186770000174,406.5985005000013,None,[],['z'],[0.2481936999993195],408.5833668000014,None,z,2.2481936999993195,1,1,0.5833333333333334,None,410.68157730000166,None,410.68157730000166,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
36,0,36,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.956662465,2.407383959,None,412.6815241000004,None,415.0661002000008,415.0661002000008,415.08194180000027,None,[],['z'],[0.5897088000001531],417.0694912000017,None,z,2.589708800000153,1,1,0.5945945945945946,None,421.0142844000002,None,421.0142844000002,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
37,0,37,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.278602942,1.554037824,None,423.01529800000026,None,424.54867120000125,424.54867120000125,424.5653801,None,[],['b'],[0.3616167999989557],426.5532114000016,None,b,2.3616167999989557,1,1,0.6052631578947368,None,428.8292704000014,None,428.8292704000014,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
38,0,38,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.589438522,3.274187802,None,430.83217050000167,None,434.0827564000003,434.0827564000003,434.09860770000085,None,[],['z'],[0.5212001999989297],436.08422840000094,None,z,2.5212001999989297,1,1,0.6153846153846154,None,439.6791777000017,None,439.6791777000017,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
39,0,39,0,,,,,,,,,,3,2.0,3.0,b,63.0,0.0,2.078483356,1.732943574,None,441.6818893000018,None,443.3988314000009,443.3988314000009,443.41542340000086,None,[],['b'],[0.73736899999858],445.4015648000004,None,b,2.73736899999858,1,0,0.625,None,447.5006127000015,None,447.5006127000015,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
40,0,40,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.884449499,2.962224669,None,449.5153988000002,None,452.44877840000044,452.44877840000044,452.46544830000056,None,[],['z'],[0.3529627999996592],454.4526741000009,None,z,2.352962799999659,1,1,0.6341463414634146,None,458.33737480000127,None,458.33737480000127,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
41,0,41,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.176609572,2.234398566,None,460.3488204000005,None,462.56544460000003,462.56544460000003,462.5821024000008,None,[],['b'],[3.347194199999649],464.5677833000009,None,b,5.347194199999649,1,1,0.6428571428571429,None,468.74975600000107,None,468.74975600000107,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
42,0,42,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,1.758742576,0.971483559,None,470.7486405000018,None,471.69877560000094,471.69877560000094,471.7153037000018,None,[],['z'],[0.3703892999983509],473.7008429000016,None,z,2.370389299998351,1,1,0.6511627906976745,None,475.4719948000002,None,475.4719948000002,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
43,0,43,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.501824497,1.883772966,None,477.48244800000066,None,479.34886210000076,479.34886210000076,479.36564650000145,None,[],['z'],[0.29477289999886125],481.3537644000007,None,z,2.2947728999988612,0,0,0.6363636363636364,None,484.8461408000003,None,484.8461408000003,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,486.84891590000007,None,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.8323623000015,None,None,491.8323623000015,496.81572720000077,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 3, 2]",0.6363636363636364,0.5454545454545454,0.45454545454545453,0.9090909090909091,,,,,,,,,,,,
