trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,35.24573800000053,None,t,61.8091545999996,35.24573800000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
,,,,,,,,,,None,97.0835962000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
0,0,0,0,,,,,,,,,,3,3,1,z,27,1,2.82320408183943,2.40378712856304,None,97.2837797000002,None,99.77501699999993,None,99.77501699999993,None,99.78385706000081,None,['b'],[1.4320901000000958],99.77501699999993,None,None,101.70236690000002,None,b,1.4320901000000958,0,0,0.0,104.53803860000062,None,None,104.53803860000062,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
1,0,1,0,,,,,,,,,,0,2,3,b,63,1,3.26539063535182,1.25920145784721,None,106.33450630000061,None,107.61304380000001,None,107.61304380000001,None,107.61737608000077,None,['b'],[1.3553430999991178],107.61304380000001,None,None,109.59936110000035,None,b,1.3553430999991178,1,1,0.5,112.87736899999982,None,None,112.87736899999982,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
2,0,2,0,,,,,,,,,,1,2,3,z,63,1,3.7500315165247198,1.78643585472448,None,114.68480069999987,None,116.5388311000006,None,116.5388311000006,None,116.53447582000027,None,['z'],[1.1120507999994516],116.5388311000006,None,None,118.48842239999976,None,z,1.1120507999994516,1,1,0.6666666666666666,122.24129700000049,None,None,122.24129700000049,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
3,0,3,0,,,,,,,,,,3,1,0,b,63,0,2.693348633324513,1.90743690794447,None,124.05122279999978,None,125.98435590000008,None,125.98435590000008,None,125.98500068000031,None,['b'],[1.370046299999558],125.98435590000008,None,None,127.95332099999996,None,b,1.370046299999558,1,0,0.75,130.65062579999994,None,None,130.65062579999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
4,0,4,0,,,,,,,,,,2,3,0,z,9,1,2.342239579230602,2.6299100644723,None,132.45136840000032,None,135.12058140000045,None,135.12058140000045,None,135.1178972800004,None,None,,135.12058140000045,None,['b'],137.08484990000034,None,b,2.2261745999994673,0,0,0.6,139.41198650000024,None,None,139.41198650000024,None,[0.22617459999946732],,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
5,0,5,0,,,,,,,,,,1,2,3,z,63,1,4.53337421950507,1.94858485820231,None,141.21809380000013,None,143.17086650000056,None,143.17086650000056,None,143.18370741000055,None,None,,143.17086650000056,None,['z'],145.15130810000028,None,z,2.968650899999375,1,1,0.6666666666666666,149.67006860000038,None,None,149.67006860000038,None,[0.9686508999993748],,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
6,0,6,0,,,,,,,,,,0,2,0,b,27,1,4.7533305109883095,1.52290599571961,None,151.48488980000002,None,153.0211149000006,None,153.0211149000006,None,153.0180807100007,None,None,,153.0211149000006,None,['b'],155.0013055999998,None,b,2.4018719999994573,1,1,0.7142857142857143,159.74402100000043,None,None,159.74402100000043,None,[0.40187199999945733],,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
7,0,7,0,,,,,,,,,,2,1,0,z,63,1,4.40017271499661,1.25817747924478,None,161.55155560000003,None,162.82672940000066,None,162.82672940000066,None,162.83511968000002,None,None,,162.82672940000066,None,['b'],164.80173340000056,None,b,2.737720199999785,0,0,0.625,169.1869716000001,None,None,169.1869716000001,None,[0.7377201999997851],,,,,,,,,,,,,,,,,,,,,,CBC_1087,2,1,1,5,16,0.90,2024-03-23_10h00.48.030,MSI_AV_v3,2022.1.1,59.92125149113902,
