trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,39.796916899998905,None,t,65.94461119999687,39.796916899998905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
,,,,,,,,,,None,105.76937929999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.02234236141277,1.38289892513751,None,105.96939659999771,None,107.52157399999851,None,107.52157399999851,None,107.51907821999848,None,['b'],[1.624830299999303],107.52157399999851,None,None,109.3715486000001,None,b,1.624830299999303,1,1,1.0,112.42460840000058,None,None,112.42460840000058,None,,,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
1,0,1,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.31929419319838,1.64421109900286,None,114.21961079999892,None,115.87440050000077,None,115.87440050000077,None,115.88594103999931,None,['b'],[1.4474238000002515],115.87440050000077,None,None,117.87216550000085,None,b,1.4474238000002515,1,1,1.0,121.19319929999983,None,None,121.19319929999983,None,,,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.517541937862754,0.761758675042088,None,123.00287009999738,None,123.80994880000071,None,123.80994880000071,None,123.81951285999894,None,['z'],[1.2456266999979562],123.80994880000071,None,None,125.77136219999738,None,z,1.2456266999979562,1,1,1.0,128.29210129999774,None,None,128.29210129999774,None,,,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
3,0,3,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.7533305109883095,2.22427187882546,None,130.10291359999974,None,132.3390217999986,None,132.3390217999986,None,132.33634397999813,None,None,,132.3390217999986,None,['b'],134.31972210000094,None,b,2.3827352999978757,0,0,0.75,139.0535807999986,None,None,139.0535807999986,None,[0.3827352999978757],,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
4,0,4,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,4.61004669244928,3.1424449555106,None,140.8526251000003,None,144.03884130000006,None,144.03884130000006,None,144.03581689999737,None,None,,144.03884130000006,None,['b'],145.98596859999816,None,b,2.039480999996158,1,1,0.8,150.57589820000067,None,None,150.57589820000067,None,[0.03948099999615806],,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
5,0,5,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.52047235037039,3.33124983260532,None,152.38637000000017,None,155.74015569999756,None,155.74015569999756,None,155.73581497999876,None,None,,155.74015569999756,None,['z'],157.71947440000076,None,z,2.2871615999974892,1,1,0.8333333333333334,162.22359349999897,None,None,162.22359349999897,None,[0.28716159999748925],,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.629554641171433,2.09887870490381,None,164.0362591999983,None,166.1551963999991,None,166.1551963999991,None,166.1527554799981,None,None,,166.1551963999991,None,['b'],168.13618339999812,None,b,2.214441899999656,1,1,0.8571428571428571,170.77543309999965,None,None,170.77543309999965,None,[0.21444189999965602],,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
7,0,7,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.592312596923728,2.40378712856304,None,172.56921779999902,None,174.99091449999833,None,174.99091449999833,None,175.00258843999765,None,None,,174.99091449999833,None,['z'],176.96921699999803,None,z,2.559010799999669,1,1,0.875,179.54294469999877,None,None,179.54294469999877,None,[0.559010799999669],,,,,,,,,,,,,,,,,,CBC_1013,4,3,1,3,12,0.95,2023-06-23_16h50.00.877,MSI_AV_v3,2022.1.1,60.045165973495045,
